stage_number,stage_name,input_files,output_files,script_files,report_files,active_or_archive,notes
1,Raw public/source gathering,data/source_archives/public_baseline; data/raw/collected_smishing_candidates.csv; data/external_datasets,data/00_raw_sources,scripts/public_sources/*; import_* scripts,reports/source_coverage.md; reports/acquisition_progress.md,archive_and_reference,Raw source files retained for traceability.
2,Public source standardization,data/00_raw_sources/public_baseline,data/01_working/public_source_organization,scripts/public_sources/organize_public_sources.py,reports/public_sources_organization.md,working,Uniform source files are compatibility copies.
3,Duplicate/overlap audit,data/01_working/public_source_organization,data/01_working/public_source_organization/duplicate_overlap_clusters.csv,scripts/public_sources/analyze_uniform_duplicates.py,reports/dataset_balance_tracker.md,working,Overlap artifacts retained.
4,Raw/clean text verification,data/01_working/public_source_organization,data/01_working/raw_text_verification,scripts/raw_text/verify_and_add_raw_clean_text_columns.py; scripts/raw_text/classify_raw_text_availability.py,reports/raw_clean_text_verification.md,working,Verifies raw and clean text columns.
5,Redacted raw recovery/replacement,data/01_working/raw_text_verification,data/01_working/raw_recovery,scripts/raw_text/recover_or_replace_redacted_gathered_smishing.py,reports/gathered_7k_raw_replacement_report.md,working,Raw recovery outputs retained.
6,Strict raw quality validation,data/01_working/raw_recovery,data/01_working/raw_quality,scripts/raw_text/audit_strict_raw_text_quality.py; scripts/raw_text/repair_strict_raw_text_dataset.py,reports/strict_raw_text_quality_audit.md; reports/strict_raw_text_repair_report.md,working,Strict raw-quality outputs retained.
7,Smishing content quality filtering,data/01_working/raw_quality,data/01_working/content_quality,scripts/content_quality/audit_smishing_content_quality.py; scripts/content_quality/build_content_quality_filtered_dataset.py,reports/smishing_content_quality_audit.md; reports/content_quality_filtered_dataset_report.md,working,Content-quality outputs retained.
8,Strong campaign-family deduplication,data/01_working/content_quality,data/01_working/campaign_family_quality; data/05_final_datasets/active/public_master_campaign_family_filtered_10226.csv,scripts/content_quality/audit_strong_campaign_families.py; scripts/content_quality/build_campaign_family_filtered_dataset.py,reports/strong_campaign_family_audit.md; reports/campaign_family_filtered_dataset_report.md,active_reference,Current best public master.
9,Manual ham extraction/review,data/00_raw_sources/manual_ham_drive,data/02_manual_ham/extracted; data/02_manual_ham/reviewed,scripts/manual_ham/import_manual_ham_drive.py; scripts/manual_ham/create_manual_ham_review_excel.py; scripts/manual_ham/validate_manual_ham_review.py,reports/manual_ham_drive_summary.md,working,Manual review artifacts retained.
10,Manual ham split/artifact cleanup,data/02_manual_ham/reviewed,data/02_manual_ham/cleaned/approved_manual_ham_cleaned_320.csv,scripts/manual_ham/detect_manual_ham_split_messages.py; scripts/manual_ham/remove_manual_ham_artifacts.py,reports/manual_ham_split_detection_report.md; reports/manual_ham_artifact_cleanup_report.md,active_source,Cleaned manual ham source.
11,Research-backed synthetic ham generation,data/02_manual_ham/cleaned; data/03_synthetic_ham/template_research,data/03_synthetic_ham/research_backed,scripts/synthetic_ham/create_research_backed_ham_template_library.py; scripts/synthetic_ham/generate_research_backed_synthetic_ham.py,data/03_synthetic_ham/research_backed/*.md,working,Synthetic rows remain separately marked.
12,Final dataset builds,data/01_working/campaign_family_quality; data/02_manual_ham/cleaned; data/03_synthetic_ham/research_backed,data/05_final_datasets/active,scripts/final_dataset_build/*,data/05_final_datasets/reports,active,Use ACTIVE_OUTPUTS.md for current files.
13,Expert review / IAA packet construction,data/05_final_datasets/active/public_master_campaign_family_filtered_10226.csv; data/04_expert_review_iaa/pools,data/04_expert_review_iaa/active_packet,scripts/expert_review_iaa/*,data/04_expert_review_iaa/reports,active_packet,Expert review rows are not final training labels yet.
