id,message_raw,message_clean,label,original_label,label_mapping_notes,source_name,source_url,source_type,dataset_name,original_file_format,date_collected,scam_category,country_or_region,language,contains_url,contains_phone,contains_otp,redaction_status,duplicate_status,review_status,reviewer_notes
smishx_smishing_0001,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,<Forwarded from <OTP>>FREE entry into our £250 weekly comp just send the word ENTER to <OTP> NOW. 18 T&C <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0002,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: https://51.fi/aJzP Cyprus Post Office .,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: <URL> Cyprus Post Office .,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0004,Alert   -   Netflix   :   Payment   failed   we   will   close   your   account   due   to   missing   on   payments   watch   time   log-in   :   https://tt.vg/memebership,Alert - Netflix : Payment failed we will close your account due to missing on payments watch time log-in : <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0005,"sms370017@2-tdbanking.sms.com / Zelle Detected / Please, log in to https://acortartu.link/vu4ne and verify your latest zelle payment. This is an automated alert","<EMAIL> / Zelle Detected / Please, log in to <URL> and verify your latest zelle payment. This is an automated alert",smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0007,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,FREE entry into our £250 weekly competition just text the word WIN to <OTP> NOW. 18 T&C <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0009,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0010,LACaixa   Online   :   https://51.fi/loc16Â§laxaica,LACaixa Online : <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0012,Sent   by:   D-H-L   Do   not   reply   to   this   message.   Your   parcel   is   lined   up   for   delivery.   Confirm   the   settlement   in   order   for   us   to   proceed   with   the   delivery:   https://51.fi/aJdD,Sent by: D-H-L Do not reply to this message. Your parcel is lined up for delivery. Confirm the settlement in order for us to proceed with the delivery: <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0013,Derrick discover proven Property &Business Methods to grow your revenue in 2022. Starts Sat 10am! https://tx.vc/r/346Qz Optout https://tx.vc/o/8d122,Derrick discover proven Property &Business Methods to grow your revenue in <OTP>. Starts Sat 10am! <URL> Optout <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0014,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,+123 Congratulations - in this week's competition draw u have won the £<OTP> prize to claim just call <ACCT> b4280703. T&Cs/stop SMS <ACCT>. Over 18 only 150ppm,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,false,true,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=0; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0017,GOV: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here at: https://rebate.energy-uk-claim.com,GOV: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here at: <URL>,smishing,smishing,SmishX original label 'smishing' maps directly to thesis label 'smishing'.,SmishX,https://github.com/yizhu-joy/SmishX,GitHub_dataset,yizhu-joy/SmishX,CSV,2026-05-07,other,,English,true,false,false,redacted,unique,approved,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
