id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
imc25_english_smish_06267,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Flipkart Update: We've been trying to reach you as requested but were not successful. For assistance reach us here: <URL>,smishing,approved,others,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: authority. Named entity tag: flipkart. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_02667,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear HDFC User Your HDFC NetBanking will be Blocked Today Please update your PAN Card no click here link. <URL> Please try again,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: HDFC Bank. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04214,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your HDFC Account has been blocked <DATE_TIME> please update your Pan card <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: HDFC Bank. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00538,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Thanks for purchase $570.25 has charged on your card Total Gym XTREME Home Gym Order-id PLMW7541 on <DATE_TIME>. Not you? Ring us: <PHONE_NUMBER>,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: total gym. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03006,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Payment Due! Complete your EMI Card Fee before <DATE_TIME> and get Rs. 100 Cashback. Click to pay,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01392,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Hey <NAMED_ENTITY>, help us answer a fast survey. We will give you a free watch in return. <URL> Txt Stop to end",smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_01402,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,LINE OTP <OTP>: Please enter <US_DRIVER_LICENSE> into LINE within <DATE_TIME>. Reply STOP to Cancel.,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: line. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00177,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,IRS FRAUD: As an increased security and fraud protection your IRS account has been put on hold as we noticed a few unusual transactions. Verify now at <URL> with idme to prevent permanent account closure,smishing,approved,government,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: IRS. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01792,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"T---[I]Mobile / We're all ears, help us to improve the T-Mobile experience for you affiliation .software/agri euro /<US_DRIVER_LICENSE>-<OTP>?url=<URL> <URL> u",smishing,approved,telecom,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction. Named entity tag: T-Mobile. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02638,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your Account has been accessed and requires verification. Please visit this link:,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
