record_id,screenshot_file,screenshot_index,message_order,source,visible_date_label,extracted_text
1,precleaned\Bernard - April 21 - 22 Imgs\IMG_8468.PNG,1,1,TablePlus,"Mon, 23 Mar at 7:05PM",TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on tbplus88.com
2,precleaned\Bernard - April 21 - 22 Imgs\IMG_8469.PNG,2,1,Grab,"Sat, 21 Feb at 6:51PM","Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! ikrfhf.de"
3,precleaned\Bernard - April 21 - 22 Imgs\IMG_8470.PNG,3,1,Unknown,"Tue, 10 Feb at 11:54 AM","Free P200 and 120 Free Spins Today! Join our https://bit.ly/ 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now."
4,precleaned\Bernard - April 21 - 22 Imgs\IMG_8471.PNG,4,1,Unknown,"Tue, 20 Jan at 12:42 AM","Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at BangoWin.com"
5,precleaned\Bernard - April 21 - 22 Imgs\IMG_8472.PNG,5,1,Unknown,,"FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : free.lucky.ph/funny"
6,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,1,Globe,,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:
7,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,2,Unknown,,- Turn ON mobile data.
8,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,3,Unknown,,- Open GlobeOne and tap Register your SIM.
9,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,4,Unknown,,- Fill out the form with accurate details.
10,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,5,Unknown,,- Upload a clear photo of a valid government ID.
