old_review_id,old_message_raw,old_failure_reason,replacement_candidate_id,replacement_message_raw,replacement_source_name,replacement_dataset_name,replacement_candidate_reason,replacement_priority_score,notes
EXP-SPAM-0168,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP <URL> Text stop to stop 150p/text",placeholder_raw,rawrep_994d720ae6bf,Your package address is wrong and we cannot deliver it to your door fill in the address so that we can deliver it on time.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0183,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO <URL> THERE'S A FANTASTIC PRIZEAWAITING YOU!,placeholder_raw,rawrep_e457bef44e23,103 We unfortunately could not deliver your parcel today. Please redirect for dispatch: dpspst.me,SMS Phishing Dataset,wspr-ncsu/sms-phishing,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0209,"New TRXE~Login || www.usdtrxe.com || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ NrEpvA",not_sms_like_artifact,rawrep_a5f084ad8b47,You are shortlisted in REALME You (Win) 2nd Prize Maruti Swift Dzire Value 8.20Lac. For more Information Contact Realme Branch:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0213,"New COIN~Login || www.usdtwtrc.com|| Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ rYmGq",not_sms_like_artifact,rawrep_e0a2ea67e6d3,You've been in close contact with someone who has recently tested positive. Please order a test kit:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0215,"New TRXE~Login || www.usdtrxe.com || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ NVJXhX",not_sms_like_artifact,rawrep_2927ee454a9d,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0217,"New TRXE~Login || www.usdtrxe.com || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ YwlWXL",not_sms_like_artifact,rawrep_bc602b9d7e24,USPostal: Your package delivery has been paused due to missing street information for the package delivery city. uspkgos.homes/D4d5t6,SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0218,"New TRXE~Login || www.usdtrxe.com || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ AHcwEJ",not_sms_like_artifact,rawrep_7a0538f2b384,"Urgent recruitment:
Office assistant
Accommodation and meals provided",Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0219,"New TRXE~Login || www.usdtrxe.com || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ uUvQGo",not_sms_like_artifact,rawrep_023542913957,Dear 983341XXXX Your A/C No 52XXX is Credited With Rs 72500/- For Details Check Now:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0222,"New COIN~Login || www.usdtwtrc.com|| Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ acENT",not_sms_like_artifact,rawrep_5979d1ae01d9,100% home loan facility without any deposit. Approval within 24 hours. Contact: 01567546390,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0224,"New COIN~Login || www.usdtwtrc.com|| Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ vNRmu",not_sms_like_artifact,rawrep_da859be081c5,"Hi, this is Lieutenant Heimer again, just wanted to follow up. If you are interested in learning more we can schedule a time and date to talk on the phone and discuss this opportunity further.",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0226,"New COIN~Login || www.usdtwtrc.com|| Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ KPswX",not_sms_like_artifact,rawrep_456b48afeee6,Christmas gift! You are one of the 10 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ?? groupm.�.to/wfELH?id=2f57943 Hurry up to pick up the prize within a day!,SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0227,"New COIN~Login || www.usdtwtrc.com|| Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ AoTXp",not_sms_like_artifact,rawrep_0f947fef98ba,Tax audit penalty 31826 TK due immediately: urgent-bd.bd/urgent,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0237,U 2.,too_short,rawrep_063a4317ef47,"Hey, is the item I found still available?  https",Smishing-Dataset-IMC25,Gathered approved smishing 7k,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0238,"Update TXRM L0gin || www.usdtrxm.com || Login code: trxn Total: 3,853,40.73ÙŠÐТ =【%%【",not_sms_like_artifact,rawrep_86109d28348b,Bloomberg -Message center +447797706009 Why wait? Apply for your futur,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
