id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
smishx_smishing_0003,SmishX,yizhu-joy/SmishX,[emailÂ protected] / TD#Alerts#ID12136 / TD#ID21-(URGENT) Access-Locked. please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0006,SmishX,yizhu-joy/SmishX,"/ ""WFAlert-ID#<OTP>"" / We now need to confirm some of your information: <URL> Thank You",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0015,SmishX,yizhu-joy/SmishX,[emailÂ protected] / U-S-P-S ID <OTP> / We could not find the correct info provided for your item: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0028,SmishX,yizhu-joy/SmishX,[emailÂ protected] / no subject / Are you interested in discreet affair? Open My Link I'll show you everything I'm live On My Website it's free join... <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0029,SmishX,yizhu-joy/SmishX,[emailÂ protected] / T.D.Alerts / TDBank: To Review Recent Activity Please Log In: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0033,SmishX,yizhu-joy/SmishX,<EMAIL> / no subject / gmail <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0035,SmishX,yizhu-joy/SmishX,Support#<EMAIL> / TD#(URGENT)#ID231721 / TD#ID17-Access-Locked.please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0036,SmishX,yizhu-joy/SmishX,[emailÂ protected] / U-S-P-S ID <OTP> / Your item will not be shipped. <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0040,SmishX,yizhu-joy/SmishX,"Din pakke er ankommet til det lokale posthus, betal venligst de nÃ¸dvendige gebyrer, sÃ¥ vi kan fortsÃ¦tte med leveringen: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0043,SmishX,yizhu-joy/SmishX,"/ (URGENT) CaseID#TD15 / Access-Locked. Please,Validate By clicking the following link: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
