template_id,service_category,institution_type,template_text,variable_slots,derived_from_unified_ids,example_original_message,template_status,template_quality_score,notes
service_ham_template_00001,banking,BPI,Banks closed this Holy Week. Deposit or withdraw from your <BRAND> account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.,"[""BRAND""]",manual_ham_final_000016,Banks closed this Holy Week. Deposit or withdraw from your BPI account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00002,banking,BPI,"Get up to <AMOUNT> eGCs for fuel, groceries, and more with a new <BRAND> Credit Card - plus waived annual fees*! Apply in just 3 minutes via the <BRAND> app or <BRAND> online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to <ACCT> until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to <PHONE> to unsubscribe.","[""AMOUNT"", ""BRAND""]",manual_ham_final_000015,"Get up to Php 18,000 eGCs for fuel, groceries, and more with a new BPI Credit Card - plus waived annual fees*! Apply in just 3 minutes via the BPI app or BPI online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to 22565068 until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to 09221101742 to unsubscribe.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00003,banking,Lazada,"Get a chance to win up to <BRAND>voucher when you buy at least <AMOUNT> regular <BRAND> load on the <BRAND> App. Just log in to your account, and tap 'Send Load"". Promo runs from <DATE_TIME> to <DATE_TIME>, 2026. T&Cs apply. <BRAND> is BSP-regulated. DT1248176","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000020,"Get a chance to win up to PHP 150 Lazada voucher when you buy at least PHP 300 regular Smart load on the Metrobank App. Just log in to your account, and tap 'Send Load"". Promo runs from Feb 15 to Mar 15, 2026. T&Cs apply. Metrobank is BSP-regulated. DT1248176",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00004,banking,Lazada,"Score deals at the <BRAND> Birthday Sale with your RCBC Mastercard Credit Card! Enjoy extra <AMOUNT> OFF, min. spend <AMOUNT>. Offer is until Mar. 27, 2026. Discount auto-applied at checkout; no code needed. For info, search LAZBDAY26 on the RCBC Credit website. DTI#252224","[""AMOUNT"", ""BRAND""]",manual_ham_final_000080,"Score deals at the Lazada Birthday Sale with your RCBC Mastercard Credit Card! Enjoy extra P500 OFF, min. spend P5,000. Offer is until Mar. 27, 2026. Discount auto-applied at checkout; no code needed. For info, search LAZBDAY26 on the RCBC Credit website. DTI#252224",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00005,banking,Metrobank,"1ue, Mar ot at 9-92 FM Last chance to earn eGCs! Start referring friends now to apply for their first <BRAND> credit card using your code ACO135. Earn <AMOUNT> eGCs for every successful referral until <DATE_TIME>, 2026 only! Visit our website for the application link & T&Cs. DTI245534S2025 CCPD26-041","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000104,"1ue, Mar ot at 9-92 FM Last chance to earn eGCs! Start referring friends now to apply for their first Metrobank credit card using your code ACO135. Earn P5,000 eGCs for every successful referral until March 31, 2026 only! Visit our website for the application link & T&Cs. DTI245534S2025 CCPD26-041",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00006,banking,Metrobank,<BRAND> is regulated by the BSP.,"[""BRAND""]",manual_ham_final_000113,Metrobank is regulated by the BSP.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00007,banking,Metrobank,"Attending a concert in Korea or Japan? Enjoy these deals until 04/10/<OTP>! - AGODA: USD80 cashback for amin. spend of USD6O0. Register now! - KLOOK: <AMOUNT> OFF for a min. spend of <AMOUNT>. Select stay dates apply. Use code: MBWORLDTOUR Download the <BRAND> app, click ""Promos"" before logging in and search for ""USD 80 CASHBACK at Agoda"" and ""20% OFF in Korea and Japan at Klook"" to know more. T&Cs apply DTI252629S26. CCPD26-133. <BRAND> is regulated by the BSP.","[""AMOUNT"", ""BRAND"", ""OTP""]",manual_ham_final_000103,"Attending a concert in Korea or Japan? Enjoy these deals until 04/10/2026! - AGODA: USD80 cashback for amin. spend of USD6O0. Register now! - KLOOK: P4,000 OFF for a min. spend of P20,000. Select stay dates apply. Use code: MBWORLDTOUR Download the Metrobank app, click ""Promos"" before logging in and search for ""USD 80 CASHBACK at Agoda"" and ""20% OFF in Korea and Japan at Klook"" to know more. T&Cs apply DTI252629S26. CCPD26-133. Metrobank is regulated by the BSP.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00008,banking,Metrobank,"Avoid additional charges by not missing your next due date on <DATE_TIME>. The outstanding balance of your <BRAND> credit card ending in <ACCT> is <AMOUNT>. Pay at least the minimum amount due of <AMOUNT>, immediately. You may pay via <BRAND> Online, <BRAND> App or using other banking apps. Disregard if already paid.","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000098,"Avoid additional charges by not missing your next due date on 13 Apr 2026. The outstanding balance of your Metrobank credit card ending in 2538 is PHP 57,875.54. Pay at least the minimum amount due of PHP 2,025.64, immediately. You may pay via Metrobank Online, Metrobank App or using other banking apps. Disregard if already paid.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00009,banking,Metrobank,"ENDING <DATE_TIME>! Drop by The <BRAND> Travel Fair at the Glorietta Activity Center, OAM to 8PM to enjoy exclusive deals on: - Airlines - Hotel Accommodations - Cruises - Travel Agencies - Other Travel-Related Merchants T&Cs apply. DTI244768. CCPD26-01","[""BRAND"", ""DATE_TIME""]",manual_ham_final_000119,"ENDING TODAY! Drop by The Metrobank Travel Fair at the Glorietta Activity Center, OAM to 8PM to enjoy exclusive deals on: - Airlines - Hotel Accommodations - Cruises - Travel Agencies - Other Travel-Related Merchants T&Cs apply. DTI244768. CCPD26-01",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00010,banking,Metrobank,"Flying just got easier using your <BRAND> credit card! Book now with Philippine Airlines and enjoy 0% installment for 3 months plus Shop Now, Pay Later up to 90 days after for a min. single-receipt of <AMOUNT>. Available in all ticketing offices nationwide until <DATE_TIME>, 2026. Promo is not applicable to online bookings. T&Cs apply. DTI244434S26. CCPD26-095. <BRAND> is regulated by the BSP.","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000114,"Flying just got easier using your Metrobank credit card! Book now with Philippine Airlines and enjoy 0% installment for 3 months plus Shop Now, Pay Later up to 90 days after for a min. single-receipt of P20,000. Available in all ticketing offices nationwide until December 31, 2026. Promo is not applicable to online bookings. T&Cs apply. DTI244434S26. CCPD26-095. Metrobank is regulated by the BSP.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
