review_id,message_for_review,message_raw,message_clean,source_label,normalized_label_before_review,candidate_reason,source_name,dataset_name,source_group,contains_url,contains_phone,contains_otp,contains_amount,suggested_category,raw_quality_status,source_traceability_status,expert_label,expert_confidence,expert_notes,reviewer_name,review_date,normalized_label,likely_review_bucket,bucket_reason,spam_signal_score,smishing_signal_score,selection_priority_score,candidate_origin,duplicate_key
EXP-SPAM-0003,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,opt_out_ad;original_spam_label,6,0,52,current_raw_complete_packet,sms ac < > posts hello you seem cool wanted to say hi hi stop send stop to 62468
EXP-SPAM-0004,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,False,False,True,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,ringtone_subscription;link_present;original_spam_label,6,1,58,current_raw_complete_packet,get 3 lions england tone reply lionm 4 mono or lionp < > oly 4 more go 2 < > the original n best tones < > network operator rates apply
EXP-SPAM-0008,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;payment_bait;original_spam_label,5,3,68,current_raw_complete_packet,call germany for only < > ence per minute call from a fixed line via access number < > no prepayment direct access
EXP-SPAM-0009,"Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free","Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free","Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free",spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,True,False,False,False,promotional spam,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;ringtone_subscription;link_present;original_spam_label,8,1,62,current_raw_complete_packet,over 3 0 000 songs on the www music < > download 5 free tracks from the nokia music store download now at < >
EXP-SPAM-0010,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468","TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468","TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,ringtone_subscription;original_spam_label,6,0,52,current_raw_complete_packet,themob> check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468
EXP-SPAM-0012,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,<forwarded from < > >hi this is your mailbox messaging sms alert you have 40 matches please call back on < > to retrieve your messages and matches cc < > min
EXP-SPAM-0015,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;original_spam_label,5,0,50,current_raw_complete_packet,call < > and send our girls into erotic ecstacy just < > min to stop texts call < > nat rate
EXP-SPAM-0018,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,True,False,False,promotional spam,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;premium_number_ad;link_present;payment_bait;original_spam_label,7,4,78,current_raw_complete_packet,call germany for only < > ence per minute call from a fixed line via access number < > no prepayment direct access < >
EXP-SPAM-0019,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;original_spam_label,5,0,50,current_raw_complete_packet,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update vco free on < >
EXP-SPAM-0020,Winters & Weddings. Enjoy the season with glittering garments. Wardrobe Drycleaning Best Quality @ Affordable rates. Over 60 outlets in NCR. Call 9654726000,Winters & Weddings. Enjoy the season with glittering garments. Wardrobe Drycleaning Best Quality @ Affordable rates. Over 60 outlets in NCR. Call 9654726000,Winters & Weddings. Enjoy the season with glittering garments. Wardrobe Drycleaning Best Quality @ Affordable rates. Over 60 outlets in NCR. Call 9654726000,Spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;original_spam_label,5,0,50,current_raw_complete_packet,winters weddings enjoy the season with glittering garments wardrobe drycleaning best quality affordable rates over 60 outlets in ncr call < >
