unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels
uci_003377,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,3377,:),ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,,dup_000001,4,true,Mishra & Soni + UCI SMS Spam Collection,ham
gathered_imc25_english_smish_09252,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_09252,00C9ALSACC:00C9 / We noticed unusual activity on your card! Please call <PHONE_NUMBER>,smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row.,00c9alsacc 00c9 we noticed unusual activity on your card please call <phone number>,,1,true,Smishing-Dataset-IMC25,smishing
uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,dup_000002,2,true,Mishra & Soni + UCI SMS Spam Collection,spam
gathered_imc25_english_smish_01354,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_01354,"0Z0W PAYMENT: A payment was sent to you via SARS <DATE_TIME> Return. <URL> to link payment to your Credit/Cheque account, FSP36911 T&Cs Apply",smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=government; strict-clean approved gathered smishing row.,0z0w payment a payment was sent to you via sars <date time> return <url> to link payment to your credit cheque account fsp36911 t cs apply,,1,true,Smishing-Dataset-IMC25,smishing
smishtank_752,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,752,1-1/ CID: CO4125 https:http://3260518391/co.php,verified_smishing,smishing,accepted,accepted,true,false,true,data\source_archives\public_baseline\analysisdataset.csv,category=Other; brand=; sender_type=Email To Text; url=http://3260518391/co.php; domain=dakitis.com,1 1 cid co4125 https <url>,,1,true,SmishTank,smishing
smishtank_751,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,751,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::http://194.87.140.6#yfuy.php Send 0 to stop ==79,verified_smishing,smishing,accepted,accepted,true,false,true,data\source_archives\public_baseline\analysisdataset.csv,category=Other; brand=Costco; sender_type=Email To Text; url=http://194.87.140.6#yfuy.php; domain=194.87.140.6,1 1 co stco holidays for cid <num> https <num> <url> send 0 to stop 79,,1,true,SmishTank,smishing
smishtank_750,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,750,1-1/ Coscto has good news for User#63817 http://109.236.50.8/CST.php Send 0 to stop,verified_smishing,smishing,accepted,accepted,true,false,true,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=Costco; sender_type=Email To Text; url=http://109.236.50.8/CST.php; domain=dakitis.com,1 1 coscto has good news for user <num> <url> send 0 to stop,,1,true,SmishTank,smishing
uci_000460,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,460,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 20 that call cost which i guess isnt bad miss ya need ya want ya love ya,dup_000003,2,true,Mishra & Soni + UCI SMS Spam Collection,ham
smishtank_471,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,471,1 5 Minute Survey For $100 Gift From Home Depot http://conquerpassing.com/L7NHjn,verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=Home Depot; sender_type=Phone Number; url=http://conquerpassing.com/L7NHjn; domain=conquerpassing.com,1 5 minute survey for <num> gift from home depot <url>,,1,true,SmishTank,smishing
gathered_smishx_smishing_0189,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0189,1.Don't let your pack age get lost in limbo! Update your deIivery information now <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,1 don t let your pack age get lost in limbo update your deiivery information now <url>,,1,true,SmishX,smishing
smishtank_1107,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1107,(1)-ERROR ALERT-Wells Fargo Confirm Infos instantly: wfmobi1r3st.com,verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=Wells Fargo; sender_type=; url=wfmobi1r3st.com; domain=wfmobi1r3st.com,1 error alert wells fargo confirm infos instantly <url>,,1,true,SmishTank,smishing
mishra_004190,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4190,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Enjoy!!!",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press lt gt 5 gently remove ur hand enjoy,,1,true,Mishra & Soni,ham
uci_001374,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1374,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press lt gt 5 gently remove ur hand its interesting,dup_000004,4,true,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_005732,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,5732,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. See what happens",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press lt gt 5 gently remove ur hand see what happens,,1,true,Mishra & Soni,ham
uci_004370,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,4370,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 i don t have her number and 2 its gonna be a massive pain in the ass and i d rather not get involved if that s possible,dup_000005,2,true,Mishra & Soni + UCI SMS Spam Collection,ham
smishtank_1665,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1665,"1 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS]",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Finance/Crypto; brand=IRS; sender_type=Phone Number; url=https://irs.gov.direct-capitals.com; domain=irs.gov.direct-capitals.com,1 i r s you will receive a tax refund of <num> 00 but cannot process it due to incomplete personal information in order to expedite the processing of your refund and avoid potential delays or penalties please provide accurate personal information immediately to ensure precise payment deadline november 15 <num> <url> please reply y then exit the message reopen the message to activate the link or copy the link and open it in the safari browser thank you for your cooperation sincerely irs,,1,true,SmishTank,smishing
smishtank_1511,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1511,"1 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-paying.com (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Account Alert; brand=IRS; sender_type=Phone Number; url=https://irs.gov.direct-paying.com; domain=irs.gov.direct-paying.com,1 i r s you will receive a tax refund of <num> 00 but cannot process it due to incomplete personal information please confirm your information in the link <url> please reply y then exit the sms open the sms activation link again or copy the link and open it in safari browser the mission of the irs is to help american taxpayers understand and meet their tax obligations and to provide them with the highest quality service,,1,true,SmishTank,smishing
uci_005261,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,5261,1 in cbe. 2 in chennai.,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 in cbe 2 in chennai,dup_000006,2,true,Mishra & Soni + UCI SMS Spam Collection,ham
gathered_smishx_smishing_0141,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0141,(1)message Helene Je veux sentir tes levres sur les miennes Noah! Viens tchatter avant de finir sous la couette rejoins moi ici <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,1 message helene je veux sentir tes levres sur les miennes noah viens tchatter avant de finir sous la couette rejoins moi ici <url>,,1,true,SmishX,smishing
gathered_smishx_smishing_0125,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0125,(1)message Helene Je veux sentir tes levres sur les miennes Pierre! Viens tchatter avant de finir sous la couette rejoins moi ici <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,1 message helene je veux sentir tes levres sur les miennes pierre viens tchatter avant de finir sous la couette rejoins moi ici <url>,,1,true,SmishX,smishing
