unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,contains_url,contains_email,contains_phone,contains_otp,contains_amount,contains_account_hint,service_category,institution_type,source_file,reviewer_notes,data_origin,is_synthetic,synthetic_template_id,template_basis,research_source_id,synthetic_template_family_id,generation_method,notes
synthetic_research_service_ham_000001,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000001,Microsoft security code: 433218. Use this to verify your sign-in.,Microsoft security code: <OTP>. Use this to verify your sign-in.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_microsoft,research_backed_template,microsoft_support,fixed_format_big_brand_otp_microsoft,research_and_manual_template_slot_sampling,Microsoft documents SMS security codes; use conservative code-only style. Brand=Microsoft; synthetic values only.
synthetic_research_service_ham_000002,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000002,Amazon security code: 18495. Enter this code to continue signing in.,Amazon security code: <OTP>. Enter this code to continue signing in.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_amazon,research_backed_template,amazon_customer_service,fixed_format_big_brand_otp_amazon,research_and_manual_template_slot_sampling,Amazon help documents 2-Step Verification codes. Brand=Amazon; synthetic values only.
synthetic_research_service_ham_000003,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000003,Google verification code: 7672. Enter this code to continue.,Google verification code: <OTP>. Enter this code to continue.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_google,research_backed_template,google_account_help,fixed_format_big_brand_otp_google,research_and_manual_template_slot_sampling,Google help documents SMS verification codes for account workflows. Brand=Google; synthetic values only.
synthetic_research_service_ham_000004,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000004,Microsoft security code: 281489. Use this to verify your sign-in. Do not share this code.,Microsoft security code: <OTP>. Use this to verify your sign-in. Do not share this code.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_microsoft,research_backed_template,microsoft_support,fixed_format_big_brand_otp_microsoft,research_and_manual_template_slot_sampling,Microsoft documents SMS security codes; use conservative code-only style. Brand=Microsoft; synthetic values only.
synthetic_research_service_ham_000005,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000005,Apple Account verification code: 713315. Enter this code to sign in.,Apple Account verification code: <OTP>. Enter this code to sign in.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,True,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_apple,research_backed_template,apple_support,fixed_format_big_brand_otp_apple,research_and_manual_template_slot_sampling,Apple support centers on verification codes for trusted numbers. Brand=Apple; synthetic values only.
synthetic_research_service_ham_000006,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000006,Microsoft security code: 51333. Use this to verify your sign-in. Enter it only in the official app or site.,Microsoft security code: <OTP>. Use this to verify your sign-in. Enter it only in the official app or site.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_microsoft,research_backed_template,microsoft_support,fixed_format_big_brand_otp_microsoft,research_and_manual_template_slot_sampling,Microsoft documents SMS security codes; use conservative code-only style. Brand=Microsoft; synthetic values only.
synthetic_research_service_ham_000007,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000007,Amazon security code: 4309. Enter this code to continue signing in. Do not share this code.,Amazon security code: <OTP>. Enter this code to continue signing in. Do not share this code.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_amazon,research_backed_template,amazon_customer_service,fixed_format_big_brand_otp_amazon,research_and_manual_template_slot_sampling,Amazon help documents 2-Step Verification codes. Brand=Amazon; synthetic values only.
synthetic_research_service_ham_000008,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000008,Apple Account verification code: 10799. Enter this code to sign in. Do not share this code.,Apple Account verification code: <OTP>. Enter this code to sign in. Do not share this code.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,True,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_apple,research_backed_template,apple_support,fixed_format_big_brand_otp_apple,research_and_manual_template_slot_sampling,Apple support centers on verification codes for trusted numbers. Brand=Apple; synthetic values only.
synthetic_research_service_ham_000009,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000009,Microsoft security code: 640052. Use this to verify your sign-in. No reply is needed.,Microsoft security code: <OTP>. Use this to verify your sign-in. No reply is needed.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_microsoft,research_backed_template,microsoft_support,fixed_format_big_brand_otp_microsoft,research_and_manual_template_slot_sampling,Microsoft documents SMS security codes; use conservative code-only style. Brand=Microsoft; synthetic values only.
synthetic_research_service_ham_000010,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000010,Amazon security code: 5634. Enter this code to continue signing in. Enter it only in the official app or site.,Amazon security code: <OTP>. Enter this code to continue signing in. Enter it only in the official app or site.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_amazon,research_backed_template,amazon_customer_service,fixed_format_big_brand_otp_amazon,research_and_manual_template_slot_sampling,Amazon help documents 2-Step Verification codes. Brand=Amazon; synthetic values only.
synthetic_research_service_ham_000011,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000011,PayPal security code: 93406. Enter this code on the screen.,PayPal security code: <OTP>. Enter this code on the screen.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,fintech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_paypal,research_backed_template,paypal_help,fixed_format_big_brand_otp_paypal,research_and_manual_template_slot_sampling,PayPal help documents SMS security codes entered on-screen. Brand=PayPal; synthetic values only.
synthetic_research_service_ham_000012,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000012,Google verification code: 214895. Enter this code to continue. Do not share this code.,Google verification code: <OTP>. Enter this code to continue. Do not share this code.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_google,research_backed_template,google_account_help,fixed_format_big_brand_otp_google,research_and_manual_template_slot_sampling,Google help documents SMS verification codes for account workflows. Brand=Google; synthetic values only.
synthetic_research_service_ham_000013,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000013,Google verification code: 889579. Enter this code to continue. Enter it only in the official app or site.,Google verification code: <OTP>. Enter this code to continue. Enter it only in the official app or site.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_google,research_backed_template,google_account_help,fixed_format_big_brand_otp_google,research_and_manual_template_slot_sampling,Google help documents SMS verification codes for account workflows. Brand=Google; synthetic values only.
synthetic_research_service_ham_000014,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_research_row_000014,Amazon security code: 3669. Enter this code to continue signing in. No reply is needed.,Amazon security code: <OTP>. Enter this code to continue signing in. No reply is needed.,ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,not applicable; synthetic template row,False,False,False,True,False,False,fixed_format_big_brand_otp,big_tech,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\template_research\research_backed_ham_template_families.csv,,synthetic_template,True,fixed_format_big_brand_otp_amazon,research_backed_template,amazon_customer_service,fixed_format_big_brand_otp_amazon,research_and_manual_template_slot_sampling,Amazon help documents 2-Step Verification codes. Brand=Amazon; synthetic values only.
