manual_id,source_file,source_row_id,message_raw,message_clean,provisional_label,service_category,institution_type,country_or_region,language,contains_url,contains_phone,contains_otp,contains_amount,contains_account_hint,extraction_status,review_status,reviewer_notes
manual_ham_000001,drive_export/THESIS/CLEANED/cleaned_dataset.csv,1,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,unsure,unsure,TablePlus,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8468.PNG; source_hint=TablePlus; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000002,drive_export/THESIS/CLEANED/cleaned_dataset.csv,2,"Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! <URL>","Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! <URL>",unsure,unsure,Grab,unknown,English,False,False,False,True,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8469.PNG; source_hint=Grab; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000003,drive_export/THESIS/CLEANED/cleaned_dataset.csv,3,"Free P200 and 120 Free Spins Today! Join our <URL> 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.","Free P200 and 120 Free Spins Today! Join our <URL> 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.",unsure,account_security,Unknown,unknown,English,False,False,False,True,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8470.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000004,drive_export/THESIS/CLEANED/cleaned_dataset.csv,4,"Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at <URL>","Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at <URL>",unsure,unsure,Unknown,unknown,English,False,False,False,True,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8471.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000005,drive_export/THESIS/CLEANED/cleaned_dataset.csv,5,"FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : <URL>","FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : <URL>",unsure,unsure,Unknown,unknown,English,False,False,False,True,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8472.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000006,drive_export/THESIS/CLEANED/cleaned_dataset.csv,6,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,unsure,telecom,Globe,Philippines,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Globe; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000007,drive_export/THESIS/CLEANED/cleaned_dataset.csv,7,- Turn ON mobile data.,- Turn ON mobile data.,unsure,unsure,Unknown,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000008,drive_export/THESIS/CLEANED/cleaned_dataset.csv,8,- Open GlobeOne and tap Register your SIM.,- Open GlobeOne and tap Register your SIM.,unsure,telecom,Unknown,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000009,drive_export/THESIS/CLEANED/cleaned_dataset.csv,9,- Fill out the form with accurate details.,- Fill out the form with accurate details.,unsure,unsure,Unknown,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000010,drive_export/THESIS/CLEANED/cleaned_dataset.csv,10,- Upload a clear photo of a valid government ID.,- Upload a clear photo of a valid government ID.,unsure,unsure,Unknown,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000011,drive_export/THESIS/CLEANED/cleaned_dataset.csv,11,"- Take a selfie (portrait mode, no accessories, plain background, well-lit).","- Take a selfie (portrait mode, no accessories, plain background, well-lit).",unsure,unsure,Unknown,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000012,drive_export/THESIS/CLEANED/cleaned_dataset.csv,12,- Complete your registration— you're all set!,- Complete your registration— you're all set!,unsure,unsure,Unknown,unknown,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000013,drive_export/THESIS/CLEANED/cleaned_dataset.csv,13,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,unsure,telecom,Globe,Philippines,English,False,False,False,False,True,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG; source_hint=Globe; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
manual_ham_000014,drive_export/THESIS/CLEANED/cleaned_dataset.csv,14,"Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.","Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.",unsure,telecom,Globe,Philippines,English,False,False,False,False,False,imported_structured_archive_text,needs_review,screenshot_file=precleaned\Bernard - April 21 - 22 Imgs\IMG_8474.PNG; source_hint=Globe; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
