augmentation_id,original_final_row_id,variant_index,perturbation_level,perturbation_techniques,num_chars_changed,changed_token_count,achieved_perturbation_rate,quality_status,label_preserved,seed,notes
aug_train_v3_public_manual_research_synthetic_row_008706_v1,v3_public_manual_research_synthetic_row_008706,1,20,spacing_punctuation_case_noise;homoglyph_substitution,78,2,0.7723,pass,True,2158683268,urgency_paraphrasing:no_urgency_phrase | url_variation:no_url_found | separator_injection:no_separator_keyword | spacing_punctuation_case_noise:noise_edits=3 | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=1 | leetspeak_obfuscation:leet_chars=0 | numeric_otp_variation:no_digit_sequence
aug_train_v3_public_manual_research_synthetic_row_008706_v2,v3_public_manual_research_synthetic_row_008706,2,20,spacing_punctuation_case_noise;homoglyph_substitution,86,3,0.8515,pass,True,413182219,url_variation:no_url_found | separator_injection:no_separator_keyword | institution_substitution:no_context_safe_institution_swap | urgency_paraphrasing:no_urgency_phrase | leetspeak_obfuscation:leet_chars=0 | numeric_otp_variation:no_digit_sequence | spacing_punctuation_case_noise:noise_edits=2 | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_010325_v1,v3_public_manual_research_synthetic_row_010325,1,20,homoglyph_substitution;url_variation;leetspeak_obfuscation,37,3,0.2913,pass,True,720761974,homoglyph_substitution:homoglyph_chars=2 | urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | separator_injection:no_separator_keyword | url_variation:url_domain_changed_to_safe_invalid_tld | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_010325_v2,v3_public_manual_research_synthetic_row_010325,2,20,numeric_otp_variation;spacing_punctuation_case_noise;url_variation,54,6,0.4252,pass,True,1234833579,numeric_otp_variation:numeric_sequences=1 | leetspeak_obfuscation:leet_chars=0 | urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=2 | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_005634_v1,v3_public_manual_research_synthetic_row_005634,1,20,homoglyph_substitution;url_variation;spacing_punctuation_case_noise,104,16,1.0612,pass,True,1580042812,urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=1 | separator_injection:no_separator_keyword | leetspeak_obfuscation:leet_chars=0 | url_variation:url_domain_changed_to_safe_invalid_tld | numeric_otp_variation:no_digit_sequence | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_005634_v2,v3_public_manual_research_synthetic_row_005634,2,20,homoglyph_substitution;url_variation;separator_injection,38,7,0.3878,pass,True,2381593379,homoglyph_substitution:homoglyph_chars=1 | leetspeak_obfuscation:leet_chars=0 | url_variation:url_domain_changed_to_safe_invalid_tld | numeric_otp_variation:no_digit_sequence | urgency_paraphrasing:no_urgency_phrase | separator_injection:separator_keyword=account
aug_train_v3_public_manual_research_synthetic_row_007228_v1,v3_public_manual_research_synthetic_row_007228,1,20,spacing_punctuation_case_noise;leetspeak_obfuscation;homoglyph_substitution,78,5,0.4105,pass,True,3380292996,spacing_punctuation_case_noise:noise_edits=3 | urgency_paraphrasing:no_urgency_phrase | url_variation:no_url_found | numeric_otp_variation:no_digit_sequence | institution_substitution:no_context_safe_institution_swap | leetspeak_obfuscation:leet_chars=2 | separator_injection:no_separator_keyword | homoglyph_substitution:homoglyph_chars=2
aug_train_v3_public_manual_research_synthetic_row_007228_v2,v3_public_manual_research_synthetic_row_007228,2,20,spacing_punctuation_case_noise;homoglyph_substitution;separator_injection,73,5,0.3842,pass,True,4050258453,spacing_punctuation_case_noise:noise_edits=2 | numeric_otp_variation:no_digit_sequence | homoglyph_substitution:homoglyph_chars=2 | institution_substitution:no_context_safe_institution_swap | separator_injection:separator_keyword=account
aug_train_v3_public_manual_research_synthetic_row_009567_v1,v3_public_manual_research_synthetic_row_009567,1,20,spacing_punctuation_case_noise;homoglyph_substitution;separator_injection,65,4,0.8553,pass,True,596984645,spacing_punctuation_case_noise:noise_edits=2 | urgency_paraphrasing:no_urgency_phrase | homoglyph_substitution:homoglyph_chars=1 | institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:no_digit_sequence | separator_injection:separator_keyword=account
aug_train_v3_public_manual_research_synthetic_row_009567_v2,v3_public_manual_research_synthetic_row_009567,2,20,leetspeak_obfuscation;spacing_punctuation_case_noise;homoglyph_substitution,59,10,0.7763,pass,True,1290784562,url_variation:no_url_found | leetspeak_obfuscation:leet_chars=4 | numeric_otp_variation:no_digit_sequence | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=3 | urgency_paraphrasing:no_urgency_phrase | separator_injection:no_separator_keyword | homoglyph_substitution:homoglyph_chars=1
