unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels,message_raw,message_clean,raw_text_available,raw_text_status,cleaning_status,redaction_detected_in_raw,raw_lookup_status,raw_lookup_notes
gathered_smishx_smishing_0001,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0001,<Forwarded from <OTP>>FREE entry into our £250 weekly comp just send the word ENTER to <OTP> NOW. 18 T&C <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,<forwarded from <otp>>free entry into our <num> weekly comp just send the word enter to <otp> now 18 t c <url>,,1,true,SmishX,smishing,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,<Forwarded from 88877>FREE entry into our <AMOUNT> weekly comp just send the word ENTER to 88877 NOW. 18 T&C <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0002,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0002,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: <URL> Cyprus Post Office .,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,your package arrives at the cyprus post office <url> delivery <url> cyprus post office,,1,true,SmishX,smishing,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: https://51.fi/aJzP Cyprus Post Office .,Your package arrives at the Cyprus Post Office <URL> delivery: <URL> Cyprus Post Office.,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0004,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0004,Alert - Netflix : Payment failed we will close your account due to missing on payments watch time log-in : <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,alert netflix payment failed we will close your account due to missing on payments watch time log in <url>,,1,true,SmishX,smishing,Alert   -   Netflix   :   Payment   failed   we   will   close   your   account   due   to   missing   on   payments   watch   time   log-in   :   https://tt.vg/memebership,Alert - Netflix: Payment failed we will close your account due to missing on payments watch time log-in: <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0005,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0005,"<EMAIL> / Zelle Detected / Please, log in to <URL> and verify your latest zelle payment. This is an automated alert",smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,<email> zelle detected please log in to <url> and verify your latest zelle payment this is an automated alert,,1,true,SmishX,smishing,"sms370017@2-tdbanking.sms.com / Zelle Detected / Please, log in to https://acortartu.link/vu4ne and verify your latest zelle payment. This is an automated alert","<EMAIL> / Zelle Detected / Please, log in to <URL> and verify your latest zelle payment. This is an automated alert",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0007,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0007,FREE entry into our £250 weekly competition just text the word WIN to <OTP> NOW. 18 T&C <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,free entry into our <num> weekly competition just text the word win to <otp> now 18 t c <url>,,1,true,SmishX,smishing,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,FREE entry into our <AMOUNT> weekly competition just text the word WIN to 80086 NOW. 18 T&C <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0009,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0009,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,natalie 20 f is inviting you to be her friend reply yes <num> or no <num> see her <url>,dup_002854,2,true,Mishra & Soni + SmishX,smishing,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0010,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0010,LACaixa Online : <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,lacaixa online <url>,,1,true,SmishX,smishing,LACaixa   Online   :   https://51.fi/loc16Â§laxaica,LACaixa Online: <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0012,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0012,Sent by: D-H-L Do not reply to this message. Your parcel is lined up for delivery. Confirm the settlement in order for us to proceed with the delivery: <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,sent by d h l do not reply to this message your parcel is lined up for delivery confirm the settlement in order for us to proceed with the delivery <url>,,1,true,SmishX,smishing,Sent   by:   D-H-L   Do   not   reply   to   this   message.   Your   parcel   is   lined   up   for   delivery.   Confirm   the   settlement   in   order   for   us   to   proceed   with   the   delivery:   https://51.fi/aJdD,Sent by: D-H-L Do not reply to this message. Your parcel is lined up for delivery. Confirm the settlement in order for us to proceed with the delivery: <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0013,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0013,Derrick discover proven Property &Business Methods to grow your revenue in <OTP>. Starts Sat 10am! <URL> Optout <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,derrick discover proven property business methods to grow your revenue in <otp> starts sat 10am <url> optout <url>,,1,true,SmishX,smishing,Derrick discover proven Property &Business Methods to grow your revenue in 2022. Starts Sat 10am! https://tx.vc/r/346Qz Optout https://tx.vc/o/8d122,Derrick discover proven Property &Business Methods to grow your revenue in 2022. Starts Sat 10am! <URL> Optout <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0014,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0014,+123 Congratulations - in this week's competition draw u have won the £<OTP> prize to claim just call <ACCT> b4280703. T&Cs/stop SMS <ACCT>. Over 18 only 150ppm,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,<num> congratulations in this week s competition draw u have won the <otp> prize to claim just call <acct> b4280703 t cs stop sms <acct> over 18 only 150ppm,,1,true,SmishX,smishing,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,+123 Congratulations - in this week's competition draw u have won the <AMOUNT> prize to claim just call <PHONE> b4280703. T&Cs/stop SMS <PHONE>. Over 18 only 150ppm,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0017,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0017,GOV: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here at: <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,gov you are eligible for a discounted energy bill under the energy bills support scheme you can apply here at <url>,,1,true,SmishX,smishing,GOV: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here at: https://rebate.energy-uk-claim.com,GOV: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here at: <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0019,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0019,kengleang top financial expert shares Insider Secrets of what works in The Markets & How to Invest <URL> Optout <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,kengleang top financial expert shares insider secrets of what works in the markets how to invest <url> optout <url>,,1,true,SmishX,smishing,"kengleang top financial expert shares Insider Secrets of what works in The Markets & How to Invest https://tx.vc/r/2OXiY
 Optout
 https://tx.vc/o/8d122",kengleang top financial expert shares Insider Secrets of what works in The Markets & How to Invest <URL> Optout <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
gathered_smishx_smishing_0020,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0020,We can not arrange shipment to you for a lack of address. Confirm your address to deliver <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,we can not arrange shipment to you for a lack of address confirm your address to deliver <url>,,1,true,SmishX,smishing,We can not arrange shipment to you for a lack of address. Confirm your address to deliver https://tinyurl.com/mrkznprt,We can not arrange shipment to you for a lack of address. Confirm your address to deliver <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.
