unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason,campaign_template_key,campaign_cluster_id,campaign_cluster_size,campaign_duplicate_status,is_campaign_representative,campaign_representative_reason
strict_replacement_ncsu_sms_phishing_026732,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026732,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026732,replacement_imc25_english_smish_18888,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_18888; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,80,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_027076,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_027076,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ %}","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ %}",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_027076,replacement_imc25_english_smish_04585,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=delivery; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_04585; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,83,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_027106,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_027106,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ **","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ **",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_027106,replacement_imc25_english_smish_05668,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=delivery; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_05668; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=banking,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,83,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_representative,True,selected under max 3 per template cap
replacement_ncsu_sms_phishing_016423,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,ncsu_sms_phishing_016423,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT %","Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT %",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_016423,gathered_imc25_english_smish_09424,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_016423; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,97,16,False,likely_sms,kept_strict_raw,True,,your usdtcoin access < > username mak88 login code < > balance < > usdt,camp_000002,21,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_016424,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_016424,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT (","Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT (",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_016424,replacement_imc25_english_smish_13463,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_13463; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=banking,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,97,16,False,likely_sms,replaced_with_strict_raw_candidate,True,,your usdtcoin access < > username mak88 login code < > balance < > usdt,camp_000002,21,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_016425,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_016425,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT #","Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT #",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_016425,replacement_imc25_english_smish_13519,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_13519; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=banking,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,97,16,False,likely_sms,replaced_with_strict_raw_candidate,True,,your usdtcoin access < > username mak88 login code < > balance < > usdt,camp_000002,21,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_016546,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_016546,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT !~~77.83.1.88","Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT !~~<PHONE>",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_016546,replacement_imc25_english_smish_16041,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_16041; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=government,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,109,20,False,likely_sms,replaced_with_strict_raw_candidate,True,,your usdtcoin access < > username mak88 login code < > balance < > usdt < >,camp_000003,21,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_016724,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_016724,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT 【~~77.83.1.92","Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT 【~~<PHONE>",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_016724,replacement_imc25_english_smish_16259,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_16259; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=government,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,109,20,False,likely_sms,replaced_with_strict_raw_candidate,True,,your usdtcoin access < > username mak88 login code < > balance < > usdt < >,camp_000003,21,campaign_representative,True,selected under max 3 per template cap
strict_replacement_ncsu_sms_phishing_016941,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_016941,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT [~~77.83.1.30","Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT [~~<PHONE>",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_016941,replacement_imc25_english_smish_17056,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_17056; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,109,20,False,likely_sms,replaced_with_strict_raw_candidate,True,,your usdtcoin access < > username mak88 login code < > balance < > usdt < >,camp_000003,21,campaign_representative,True,selected under max 3 per template cap
replacement_ncsu_sms_phishing_003619,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,ncsu_sms_phishing_003619,Your verification code for BaitSalam.com is: 739548 Enter this code on the web to verify your phone number. BaitSalam,Your verification code for <URL> is: 739548 Enter this code on the web to verify your phone number. BaitSalam,phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_003619,gathered_imc25_english_smish_03277,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_003619; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,117,20,False,likely_sms,kept_strict_raw,True,,your verification < > for < > is < > enter this code on the web to verify your phone number baitsalam,camp_000004,9,campaign_representative,True,selected under max 2 per template cap
