id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
imc25_english_smish_00741,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,<NAMED_ENTITY> is doing her biggest giveaway! Voucher#<US_DRIVER_LICENSE>,smishing,needs_review,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: herd,need and greed. Named entity tag: oprah. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_07802,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Article No:IT145971105IN received @ New Delhi NSH,smishing,needs_review,delivery,English,unique,"Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_03381,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer Your Request could not be processed please get in touch with your nearest KMBL Branch or call our <DATE_TIME> Call Center for more information.-KOTAK BANK As per your request your mobile number has been changed for CRN <NAMED_ENTITY> from to <US_BANK_NUMBER> Your preferred mobile no is <PHONE_NUMBER>-Kotak Bank,smishing,needs_review,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Kotak Mahindra Bank. | round1_source_triage 2026-05-07: needs_review; IMC25 row is too short, too long, or fragmentary for direct approval. confidence=medium"
imc25_english_smish_04617,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your <NAMED_ENTITY> has been locked. We have locked your <LOCATION> because our service has detected two unauthorized devices. For unlock your account you must verify your <NAMED_ENTITY> in order to prove that it was your account. Click the link below to unlock your <NAMED_ENTITY> <URL> <NAMED_ENTITY> will be automatically unlock after finishing the account verification as soon as possible.,smishing,needs_review,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: venmo. | round1_source_triage 2026-05-07: needs_review; IMC25 row is too short, too long, or fragmentary for direct approval. confidence=medium"
imc25_english_smish_05559,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear SBI Account User Your Account has been blocked <DATE_TIME> please update PAN card again Update Online Processing Self Verify here,smishing,needs_review,banking,English,near_duplicate,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high"
imc25_english_smish_07639,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer Your SBI Netbanking Account will be Suspended by <DATE_TIME>. please Update your PANCARD now <LOCATION>,smishing,needs_review,banking,English,near_duplicate,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high"
imc25_english_smish_01875,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Wanna netflix and chill? Don't weather the storm <DATE_TIME> alone. Download The Right Stuff now!,smishing,needs_review,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_04193,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear consumer your electricity will disconnect at <DATE_TIME> Because your previous bill was not update. Immediately contact electricity Officer <NAMED_ENTITY>,smishing,needs_review,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: electricity. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_02336,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,dear user your sbi yono account will close <DATE_TIME> click here on the link update your pan card number,smishing,needs_review,banking,English,near_duplicate,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high"
imc25_english_smish_08082,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your refund of 265.84GBP is pending to proceed please follow our secure link below. Your bank may require extra verification.,smishing,needs_review,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_04534,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,EVRI: Your order (<NRP>) was brought back to our depot. In order to get your item re-shipped visit:,smishing,needs_review,delivery,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: evri. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_00875,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your SSN has been blocked due to recent activities. Unblock your account using the link,smishing,needs_review,government,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_00551,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"We're thankful for YOU! To show our gratitude, The Joint Chiropractic is offering pain relief and prevention made easy. BUY <DATE_TIME>, GET <DATE_TIME> Let's get back to health <DATE_TIME>! For more information, visit <DATE_TIME> or a location near you. Reply STOP to quit THE SAVINGS ARE COMING IN HOT! Treat yourself to 2 FREE MONTHS of care at The Joint Chiropractic! Yes, you heard us right! Take control and get back to health <DATE_TIME>! The sales won't last forever, so visit <URL> to claim yours before it's too late! Reply STOP to quit",smishing,needs_review,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. Named entity tag: the joint chiropractic. | round1_source_triage 2026-05-07: needs_review; IMC25 row is too short, too long, or fragmentary for direct approval. confidence=medium"
imc25_english_smish_02829,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,DearEmployees You are selected join our company and wage is <OTP> RS.,smishing,needs_review,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. Named entity tag: straive corporate. | round1_source_triage 2026-05-07: needs_review; IMC25 row lacks a clear phishing action, URL, contact hook, or account-risk lure. confidence=medium"
imc25_english_smish_02570,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear HDFC user your HDFC Netbanking will be Block Today. Please click on the link and update your PAN-card no. imme-diately <URL> HDFC team,smishing,needs_review,banking,English,near_duplicate,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: HDFC Bank. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high"
imc25_english_smish_05248,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear HDFC Customer Your HDFC Net BANKING will be Suspended. <DATE_TIME> please Update Your PAN CARD Now visit below the <URL> Thank you.,smishing,needs_review,banking,English,near_duplicate,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: HDFC Bank. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high"
imc25_english_smish_00435,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,hello can you speak mandarin?,smishing,needs_review,wrong number,English,unique,Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: needs_review; IMC25 wrong-number lure lacks a clear phishing action in the message text. confidence=medium
