final_dataset_version,final_row_id,final_split_eligible,final_dataset_role,data_origin,is_synthetic,source_name,dataset_name,source_group,normalized_label,message_raw,message_clean,service_category,scam_category,label_status,review_status,notes,unified_id,source_row_id,source_label,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,contains_url,contains_email,contains_phone,contains_otp,contains_amount,contains_account_hint,institution_type,source_file,reviewer_notes,synthetic_template_id,generation_method
v1_public_real_only,v1_public_real_only_row_000001,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya","1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000460,460,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000002,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Enjoy!!!","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#>. 5)Gently remove Ur hand.. Enjoy!!!",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_004190,4190,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000003,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#>. 5)Gently remove Ur hand.. Its interesting..:)",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_001374,1374,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000004,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. See what happens","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#>. 5)Gently remove Ur hand.. See what happens",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_005732,5732,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000005,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_004370,4370,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000006,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,1 in cbe. 2 in chennai.,1 in cbe. 2 in chennai.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_005261,5261,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000007,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,1's finish meeting call me.,1's finish meeting call me.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_001234,1234,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000008,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,1's reach home call me.,1's reach home call me.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_002839,2839,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000009,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face <#> .joker face.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_004871,4871,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000010,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,10 min later k...,10 min later k...,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000451,451,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
