unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status
smishtank_853,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,853,<BANK OF AMERICA MSG 088 >: Your EDD Card has been Closed Due To Fraudulent Transactions Made To Your Account. Login to ensure safety at: bitly.com/helpEDD,<BANK OF AMERICA MSG 088 >: Your EDD Card has been Closed Due To Fraudulent Transactions Made To Your Account. Login to ensure safety at: <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Account Alert; brand=BANK OF AMERICA; sender_type=Phone Number; url=bitly.com/helpEDD; domain=helpingsolutions.zapto.org,True,1,BANK OF AMERICA MSG 088,fail_placeholder_anonymized,message_raw contains angle-bracket placeholder/anonymized tokens.,155,27,False,likely_sms
uci_001613,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1613,645,645,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,3,1,False,needs_review
uci_000288,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,288,Ok..,Ok..,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,4,1,False,needs_review
uci_005176,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,5176,U 2.,U 2.,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,4,2,False,needs_review
smishtank_430,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,430,"UNIONBANK<ATTENTION> A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://www.UnionBank.Org_@bit.ly/3T1lhlE to cancel payment.","UNIONBANK<ATTENTION> A payment of <AMOUNT> has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://<EMAIL>/3T1lhlE to cancel payment.",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,true,false,category=Finance/Crypto; brand=Chase Morgan; sender_type=Phone Number; url=Https://www.UnionBank.Org_@bit.ly/3T1lhlE; domain=www.powr.io,True,1,ATTENTION,fail_placeholder_anonymized,message_raw contains angle-bracket placeholder/anonymized tokens.,176,31,False,likely_sms
smishtank_600,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,600,UNIONBANK<ATTENTION> All funds are on hold due to multiple fraudulent direct deposits. Remaining direct deposits will remain in pending. Visit Https://www.UnionBank.Org_@nx.tn/EjmCx to remove hold.,UNIONBANK<ATTENTION> All funds are on hold due to multiple fraudulent direct deposits. Remaining direct deposits will remain in pending. Visit Https://<EMAIL>/EjmCx to remove hold.,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,true,false,category=Account Alert; brand=UNIONBANK; sender_type=Phone Number; url=Https://www.UnionBank.Org_@nx.tn/EjmCx; domain=secure.unionbank.uthru.cyou,True,1,ATTENTION,fail_placeholder_anonymized,message_raw contains angle-bracket placeholder/anonymized tokens.,197,31,False,likely_sms
uci_000262,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,262,Yup,Yup,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,3,1,False,needs_review
replacement_imc25_english_smish_00633,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,imc25_english_smish_00633,Congratulations! 🏆🏆🏆 You are one of the 100 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ➡️➡️ http://winner@<US_BANK_NUMBER>/tpi23?id=2f57943 Hurry up to pick up your prize today! ⏳⏳,Congratulations! 🏆🏆🏆 You are one of the 100 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ➡️➡️ <URL><US_BANK_NUMBER>/tpi23?id=2f57943 Hurry up to pick up your prize today! ⏳⏳,smishing_corpus_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,imc25_english_smish_00633,gathered_imc25_english_smish_00013,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=delivery; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_00633; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=spam,True,1,US_BANK_NUMBER,fail_placeholder_anonymized,message_raw contains angle-bracket placeholder/anonymized tokens.,229,40,False,likely_sms
replacement_imc25_english_smish_03637,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,imc25_english_smish_03637,Dear User You’ve earned <LOCATION> 5000 bonus cash on Specials. Click on https://t.jio/winnings-MYIPL5K to claim your coupon! T&C Team JioCoupon,Dear User You’ve earned <LOCATION> 5000 bonus cash on Specials. Click on <URL> to claim your coupon! T&C Team JioCoupon,smishing_corpus_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,imc25_english_smish_03637,gathered_imc25_english_smish_00057,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_03637; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=spam,True,1,LOCATION,fail_placeholder_anonymized,message_raw contains angle-bracket placeholder/anonymized tokens.,144,26,False,likely_sms
gathered_imc25_english_smish_00060,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_00060,to continue streaming http://<IP_ADDRESS> ee,to continue streaming http://<IP_ADDRESS> ee,smishing_corpus_row,smishing,accepted,approved,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,kept_original_raw_available,,,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=telecom; strict-clean approved gathered smishing row.,True,1,IP_ADDRESS,fail_placeholder_anonymized,message_raw contains angle-bracket placeholder/anonymized tokens.,44,7,False,needs_review
