record_id,screenshot_file,screenshot_index,message_order,source,visible_date_label,extracted_text
3,analysisdataset (2).csv,1,1,Costco,"03/31/2022, 21:58:50","Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve"
5,analysisdataset (2).csv,2,1,UPS,"04/02/2022, 02:59:56","Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice."
6,analysisdataset (2).csv,3,1,WELLS FARGO,"04/02/2022, 03:03:00","wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe"
7,analysisdataset (2).csv,4,1,Unknown,"04/02/2022, 23:42:38","Hi, are you who played golf together last time? I'm Lisa"
8,analysisdataset (2).csv,5,1,Phone Number,"04/02/2022, 23:46:34","(8 Hi Julianne long time no see, I'm Aleen, how are you doing"
10,analysisdataset (2).csv,6,1,Phone Number,"04/03/2022, 00:14:52","hi Jessie, it's been a long time since I came out, what are you doing recently?"
11,analysisdataset (2).csv,7,1,Whatsapp,"04/03/2022, 00:16:34","Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm"
12,analysisdataset (2).csv,8,1,CITI,"04/03/2022, 00:43:01","CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch."
13,analysisdataset (2).csv,9,1,Phone Number,"04/03/2022, 01:48:17","Evanie, I'm Anna, how have you been, I'm back in Denver."
14,analysisdataset (2).csv,10,1,Phone Number,"04/03/2022, 01:50:49","Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend."
15,analysisdataset (2).csv,11,1,Bank of America,"04/03/2022, 02:12:57","BofA:Your account has been restricted, visit secbofa.page.link/NLt"
16,analysisdataset (2).csv,12,1,Phone Number,"04/03/2022, 02:41:54",https://rebrand.ly/grppwwr AVOI6Y
17,analysisdataset (2).csv,13,1,Phone Number,"04/03/2022, 15:31:07","Amazing news!, your application has been accepted. Finish the process: http://klkln.cc/vnbcbtd"
18,analysisdataset (2).csv,14,1,Phone Number,"04/04/2022, 05:39:30",https://b.link/h21bc br7ca2
19,analysisdataset (2).csv,15,1,Phone Number,"04/04/2022, 12:51:18","Hey Niaz, help us answer a fast survey. We will give you a free watch in return. lksr.link/9pvvbF Txt Stop to end"
21,analysisdataset (2).csv,16,1,Unknown,"04/04/2022, 23:04:36",Hi! I am Lisa's friend. Are you the Smith that Lisa recommended to me? I am Erin.
22,analysisdataset (2).csv,17,1,FedEx,"04/05/2022, 01:34:03",1 of 2 FRM:japho-Fe d3x.Ne.ws - MSG: Unsuccessful package from 1 April owed to you. Kindly assume ownership and confirm for delivery. (Con't) 2 of 2 https://wwj4w-fedex.us/jWXHwj?47965169(End) O?
23,analysisdataset (2).csv,18,1,Bank of America,"04/05/2022, 05:34:09",<Subject: c4c26> Z??? Bank Of America Hurry up ! Offers Have arrived! ($$90 value). /.//storag e.googleapis.com/jzoxubc/1fhg3lf BANK OF AMERICA
24,analysisdataset (2).csv,19,1,Phone Number,"04/07/2022, 01:28:38",You received money. Reply <<ok>> for details.
25,analysisdataset (2).csv,20,1,Phone Number,"04/08/2022, 10:35:11","<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: mentioningdears.com/nzWjdtrM93"
26,analysisdataset (2).csv,21,1,Phone Number,"04/08/2022, 16:34:29","<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: sirreeprematurely.com/X9cSSE4SfA"
27,analysisdataset (2).csv,22,1,CashBack,"04/08/2022, 19:27:43",Your 2021 Auto-Policy may have Been Over-charged by 1275. Check for Possible CashBackfor 2022. xyzthriftyquotes.com/60ef6eec47
28,analysisdataset (2).csv,23,1,FedEx,"04/08/2022, 19:45:41","FRM:719132-Fed_EX.906697 MSG:flm-;it will be returned to sender, We have made several attempts to reach you, https://jf245-fedex.me/y.jDxio?37588372"
29,analysisdataset (2).csv,24,1,wepay,"04/08/2022, 20:02:51","Dale We are interested in buying your home for cash, as-is, at or above any valid offer. Valid: 4/8 wepay-topvalue.com/bf2f414d45"
30,analysisdataset (2).csv,25,1,Phone Number,"04/08/2022, 22:43:37","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: vocalsprolonged.com/ZSgingd6vi"
31,analysisdataset (2).csv,26,1,Phone Number,"04/08/2022, 23:11:15","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: reamvino.com/SvjMeq1eKD"
32,analysisdataset (2).csv,27,1,Phone Number,"04/08/2022, 23:43:34","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: slappingtasting.com/Hamw6PokCc"
33,analysisdataset (2).csv,28,1,WELLS FARGO,"04/08/2022, 23:47:55","WELLS FARGO: Update>: A decision has been made, your account is suspended. Visit http://VERIFYWELLSFARGO.GA to regain access now! This action takes few seconds. O° A"
34,analysisdataset (2).csv,29,1,Phone Number,"04/08/2022, 23:48:52","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: flimsyfooting.com/RugSJP91a6"
35,analysisdataset (2).csv,30,1,Phone Number,"04/09/2022, 01:54:35","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: clowningbacking.com/ZOKNSJFtJT"
36,analysisdataset (2).csv,31,1,Phone Number,"04/09/2022, 02:27:16","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: catererhunger.com/Okk7d5ha2y"
37,analysisdataset (2).csv,32,1,Chase Bank,"04/09/2022, 03:37:43",FRM:ChaseBanking-Alert-3887 SUBJ:CALL: 812.809.4904 Now! MSG:MSG 17001 Account.Locked!
38,analysisdataset (2).csv,33,1,Phone Number,"04/09/2022, 21:34:28","<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: fritzclosets.com/PV06ExwSdV"
39,analysisdataset (2).csv,34,1,Phone Number,"04/10/2022, 01:16:03",You'll get @ your package TODAY! http://www.webpage.ren/b/lc/? bfX.08&08z-mkq O A Text Message
40,analysisdataset (2).csv,35,1,Phone Number,"04/10/2022, 01:38:36","Pending Delivery: Hi, your package containing tracking code 71623881LS5 is waiting for you to confirm the shipment address: holdingspothere.com/8930er"
41,analysisdataset (2).csv,36,1,Phone Number,"04/10/2022, 01:51:08","The ClassSuit TRIAL has ended and YOUR $19,038 settlement allocation is READY; CONGRATS to the People! settclss.com/Ccn26dr stop to end"
43,analysisdataset (2).csv,37,1,Phone Number,"04/10/2022, 03:07:41","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: warrantgeneration.com/RsCoLlrDrs"
44,analysisdataset (2).csv,38,1,Phone Number,"04/10/2022, 05:22:51","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: unselfishdumplings.com/LKXH4N4WZ3"
45,analysisdataset (2).csv,39,1,Phone Number,"04/10/2022, 05:23:46","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: purposeliberals.com/yF70SNqOKV"
48,analysisdataset (2).csv,40,1,CITI,"04/10/2022, 20:30:43",citii bank: Please visit here and complete your debit pin again: https://bit.ly/35Xs2rW
49,analysisdataset (2).csv,41,1,Email To Text,"04/11/2022, 04:20:26",http://gs80xb1u7wy5vb.deals
50,analysisdataset (2).csv,42,1,Whatsapp,"04/13/2022, 13:24:42","U are selected for the Work from Home job offer receive your daily salary 2,666Tk, Contact WhatsApp http://www.cxes.click/2JkZZoeX"
52,analysisdataset (2).csv,43,1,CITI,"04/19/2022, 16:47:12","Citi: We blocked your account due to unusual activity, please visit (www.citibankaccount.info) to verify your account."
53,analysisdataset (2).csv,44,1,STOP,"04/28/2022, 14:37:45",It's Nicole again Office: 18665841391 It appears you may be eligible for compensation on your Injury. Can you give me a quick call please? - STOP to STOP
54,analysisdataset (2).csv,45,1,CITI,"05/04/2022, 12:18:02",[CITI Alert 05.02.2022] Debit card associated with Acct*8139 is locked. Vist bit.ly/89BNsg81289 at earliest convenience. Stop=end|Help=help
55,analysisdataset (2).csv,46,1,WHO,"05/06/2022, 08:54:20","Help us fight CORONAVIRUS by working from home - No experience required SMS sending JOB Work 2-3 hours daily on mobile and earn $5-$100 daily Click Here And Apply Now http://bit.ly/WHO-Jobs-Offer Vacancy till 31st march,2020"
56,analysisdataset (2).csv,47,1,Whatsapp,"05/06/2022, 12:41:11",Dear. You will be invited to the (BTC) internal discussion group. The group will post daily how to earn $500-15000USD in the crypto market. Reply: 1 and Click the link to enter: https://chat.whatsapp.com/E29ZpfVxDLCDU0lz6g5Pju
58,analysisdataset (2).csv,48,1,Phone Number,"05/18/2022, 18:27:05",https://saveonautocoverage3.me/1nhQEbD4FaH6 We may owe you as much as 779.04. A new finding may have caused us to charge you too much last year. Your savings is ready -
59,analysisdataset (2).csv,49,1,Whatsapp,"05/19/2022, 23:41:51","This is the Novel Coronavirus insurance service based on the current outbreak. The premium for COVID-19 insurance is $1,000. If you are diagnosed with COVID-19, you can get a lump sum of $30,000. In the case of home isolation or hospital isolation, you can get $300 per day for up to 21 days to consult Whatsapp:4423798151"
61,analysisdataset (2).csv,50,1,Email To Text,"05/19/2022, 23:54:01","Cloud mining platform: https://usdt777.vip Copy the website browser and open the registration to get $100 for free, which will be credited to the account in seconds. Participating in cloud mining can earn around $300-800 per day. Permanent income is guaranteed and risk free! Invite your friends to join and get great rewards"
62,analysisdataset (2).csv,51,1,Phone Number,"05/21/2022, 06:14:47","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: consensuscelebrated.com/5hTSjydwTh"
65,analysisdataset (2).csv,52,1,CITI,"05/22/2022, 01:08:56",CITI Alerts - We have blocked access to your debit card due to unusual activity. Verify your details at citi-actvity.org
66,analysisdataset (2).csv,53,1,Discover Card,"05/25/2022, 01:08:28",(DiscoverCard_Customer Servi ce#2627457643) You have a pending issue. please visit: http://r2s9hq82ne.mmnrxeqmcv.nikxc.org to resolve it.
67,analysisdataset (2).csv,54,1,Email To Text,"05/26/2022, 05:19:20",sexyjessie.us..*
68,analysisdataset (2).csv,55,1,Phone Number,"05/27/2022, 19:20:20","Hi Andrew, this is Cess and this is my new number, Im here in the philippines now so text me back when you receive my message because im not quiet sure if i get your number right. im sorry i got the wrong number i hope i didnt bother you 8:52 AM"
69,analysisdataset (2).csv,56,1,Phone Number,"05/27/2022, 19:21:40","Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?"
70,analysisdataset (2).csv,57,1,Whatsapp,"05/27/2022, 19:27:29","Dear. You are invited to join the ""Bitcoin"" analysis group and join in the investment plan and earn 500-5K usd a day. Reply ""1"" and long press the link to join. https://chat.whatsapp.com/DzeAqjxgNbi6S4cuCFchXN"
71,analysisdataset (2).csv,58,1,Phone Number,"05/28/2022, 19:10:45","Hi, Lucy. I'm Aisha. Do you remember me? Last time we met at an auction in Northern California."
72,analysisdataset (2).csv,59,1,Phone Number,"05/29/2022, 23:47:48",Dale We are still in the market to buy your 2022 Buena Village Dr HOME. Our new OFFER value has increased! We can CLOSE in less than a week and you won't have any REALTOR fees. Please review 5dexqo.com/82a103
73,analysisdataset (2).csv,60,1,U.S. Postal Service,"05/30/2022, 00:10:46",[U.S. Postal Service] We're sorry to let you know that your package could not be delivered. To reschedule a delivery please visit https://bit.ly/3NR5x9f Preview not available
74,analysisdataset (2).csv,61,1,Bitcoin,"05/30/2022, 14:13:14","Dear. You are invited to join the """"Bitc0in"""" analysis group and join in the investment plan and earn 500-5K usd a day. ðððPlease click the """"Link"""" below to joinððð\nhttps://chat.whatsapp.com/F6Wo68CcSRq88C9LSdsGcN"
75,analysisdataset (2).csv,62,1,Vince,"05/30/2022, 15:00:13","Is this Vince's number, please?"
76,analysisdataset (2).csv,63,1,Netflix,"06/05/2022, 14:59:13",From: NETFLIX Msg: NETFLIX monthly payment Unsuccesful and Your account is temporary Locked. See The Complete Details In The Attachment Below. Subscription-failed56756... Additional media content is included. Please check the message in detail
79,analysisdataset (2).csv,64,1,Phone Number,"06/27/2022, 04:50:58",Are you Mr. Freddy? I'm Alice and I'm not sure if the number is correct
80,analysisdataset (2).csv,65,1,Wells Fargo,"07/05/2022, 12:41:23",click the link to Upgrade Your Wells Fargo Account web:https://express.adobe.com/page/IkvuZSZq2z1lj/
82,analysisdataset (2).csv,66,1,Regions Bank,"07/16/2022, 03:24:44",REGIONSBANK - Our team locked your debit on July 15th. Please visit: Regions-PROTECT.com to unlock it. Reply STOP to OPT OUT
83,analysisdataset (2).csv,67,1,Phone Number,"07/23/2022, 09:20:58","Dear 02055666420friend, Bitcoin Trading Study Group : https://rebrand.ly/v7qj08h"
84,analysisdataset (2).csv,68,1,Whatsapp,"08/04/2022, 13:27:55",(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by https://wa.me/+639162024192
85,analysisdataset (2).csv,69,1,Phone Number,"08/09/2022, 05:56:31",Dale SAFEDRIVERALERT: It looks like you were over charged on yourAutOPOlicy. It's not too late to-apply SAFEDRIVERDISCOUNTPERKS and getREIMBURSED. kzrp1h.com/bff4948af7
86,analysisdataset (2).csv,70,1,Amazon,"08/09/2022, 06:00:30","Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Mozilla Firefox 8.7 [168.254.81.174 - Turkey] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: http://www.xprswebsite.com/free/userf111/redirf111/?=5826865 You need to take action within 2 days before account will be suspended. Regards, Amazon Teams"
87,analysisdataset (2).csv,71,1,UPS,"08/09/2022, 06:03:36","[Postal Service] - Due to address is incorrect. The package cannot be delivered, please follow the link to update the correct address. https://upspups.com"
88,analysisdataset (2).csv,72,1,Bank of America,"08/10/2022, 00:15:09",ALERT: Your Bank of America Prepaid EDD Debit Card has been blocked due to unusual activity. To reactivate your Bank of America Prepaid EDD Debit Card kindly visit us at http//:boaeddprepaidservices.com
89,analysisdataset (2).csv,73,1,Wells Fargo,"08/10/2022, 00:20:15",Wells Fargo ALRT: Account locked due to unusual activity. You will still be able to deposit funds into your Wells Fargo account(s). Visit link to remove hold: https://wfveri-info.com
90,analysisdataset (2).csv,74,1,Citizens Bank,"08/10/2022, 00:23:51",CITIZENSBANK- A charge of $472.20 is on hold. Reply YES to process. Not you? Visit citizens-security01.com before August 11 Reply Opt-out to pause Alerts.
91,analysisdataset (2).csv,75,1,CVS,"08/12/2022, 05:29:25",CVS offers more than simply fantastic prices. You have a lot of opportunities today to receive up to $100. http://prettyplump.directory/DFzOyZtj
92,analysisdataset (2).csv,76,1,CHASE,"08/21/2022, 17:58:30","CHASE BANK ALERT: We detected an unusual attempt at 30 mall Dr unit OBO4 Jersey City, NJ 07310 if this was not you please use the secured link to verify your identity and secure your account: https://secur06-chase-verify.my03.com/?Verify"
93,analysisdataset (2).csv,77,1,Wells Fargo,"08/21/2022, 17:59:50",WF Fraud Alerts: We noticed unusual activities on your account. Please confirm the activities at WellsfargoVerify.com/act to make it secure.
94,analysisdataset (2).csv,78,1,Phone Number,"09/02/2022, 23:29:37",USPService: We could not ship your package for address issue. Your need to confirm your address to ensure the delivery. https://s.id/1fXBI
97,analysisdataset (2).csv,79,1,Home Depot,"09/13/2022, 05:32:49",Home Depot Offer + E$ http://flatterlaud.cricket/0VH9A5
98,analysisdataset (2).csv,80,1,Phone Number,"09/16/2022, 19:43:28",regions: Your debit has been barred from use due to unusual behavior. Go to https://www.assistance-usrprocess.com your details to reactivate
99,analysisdataset (2).csv,81,1,Home Depot,"09/17/2022, 05:04:27",Quick freebies from Home Depot! http://surveysens.yokohama/9vePTP
100,analysisdataset (2).csv,82,1,Costco,"09/17/2022, 21:39:43",Dad just left you a package. He said he came from Cost co cause they're handing out money to their customers today. Do you wanna try and see if we can do it too? He said we'd have to start here. http://indianelder.business/hBF734
101,analysisdataset (2).csv,83,1,Home Depot,"09/17/2022, 21:47:26",Cash payouts by HomeDepot http://apartnerve.florist/Qd8qKU
102,analysisdataset (2).csv,84,1,Home Depot,"09/17/2022, 21:49:37",Gift Card Offer by Home Depot http://leaseill.associates/b42TrX
104,analysisdataset (2).csv,85,1,Bank of America,"09/17/2022, 21:55:49",<#>Bofa.EDD: Your EDD account is temporarily on hold. You must confirm your recent activity to continue using your account http://processingprotection.me/JaZcP
105,analysisdataset (2).csv,86,1,EDD,"09/17/2022, 21:58:26",CA SERVICE DEPT [EDD]: Your EDD Card Has Been Temporarily Suspended. To Prevent Account Closure Please visit: http://eddphelp.info Reply STOP To Opt-Out.
106,analysisdataset (2).csv,87,1,Home Depot,"09/17/2022, 23:39:10",Instant freebies from HomeDepot! http://rgjgj.capital/i16nf0
107,analysisdataset (2).csv,88,1,Home Depot,"09/18/2022, 03:52:20",1 of 2 FRM:GetaPrizeBrand.com sms_id_YBJ431 MSG: Since youre a appreciated customer of Home Depot we have a gift valued at $100 dedicated to you (Con't 2 of 2 for your time. Just acknowledge this three question survey and you'll be compensated. sms_id_YBJ431| (End)
108,analysisdataset (2).csv,89,1,Bank of America,"09/20/2022, 04:26:02",BOFA_EDD_DEBIT_CARD: Your card starting with 4427*** has been temporarily blocked. Unblock card at : https://unblockbofaeddprepaid.meeha.com.bd/asdfghjkl.html
109,analysisdataset (2).csv,90,1,Visa,"09/20/2022, 04:32:27",E.D.D.DEBIT-VISA-CARD:Your card has been disabled. Re-enable it at https://romualdo.exe.it/AKARA.html to keep it intact.
110,analysisdataset (2).csv,91,1,UPS,"09/21/2022, 00:34:29",FRM:1B|UPS-ZOF05 SUBJ:www.pyr-upsi.website//isr1i2pF19389# MSG::KUO4alLsdi-a
