id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
hf_bengali_sms_smishing_english_smish_0536,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Those who haven't made an account in hamster yet, quickly make an account and join. Good news will come in July. Join fast <URL>",smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0164,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Bet on BPL and win a free watch. Click now: <URL>,smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0695,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Medical emergency: Your wife needs surgery. Hospital deposit <OTP> TK: emergency-surgery.bd/deposit,smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0486,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Get BDT 2,000 discount on your next Grameenphone recharge.",smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0264,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Click here to update Janata Bank account: <URL>,smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0616,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Bet at the casino today to win a free trip with Mashrafe. Click: xini.eu/00Qe,smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0474,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Your mobile banking limit exceeded illegally. Normalize with <OTP> TK fee: banking-limit.bd/urgent,smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0484,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Dear customer, click the link below to get 10GB internet and 100 minutes free for your number",smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0107,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Electricity bill payment overdue. Avoid disconnection, pay <OTP> TK: power-bill.bd/urgent",smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0498,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Congratulations! You have won 5,00,000 BDT in Airtel lottery. To claim your prize, send your personal details to 017XXXXXXXXXX.",smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0005,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Dear customer, your internet service is about to be shut down. Click here to restart: <URL>",smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
hf_bengali_sms_smishing_english_smish_0585,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Earn money using mobile! New <OTP> method. Join for details: <URL>,smishing,candidate,other,English,unique,"Imported as candidate from English-only smish subset; requires cleaning, deduplication, and thesis spot review before approval."
