unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels
smishtank_3,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,3,"Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Prize/Contest; brand=Costco; sender_type=Short Code; url=f2gpy.info/RzNKEwsZve; domain=f2gpy.info,costco daniel the code <num> printed on your receipt from 10 came in 2nd in our airpods draw <url> zve,,1,true,SmishTank,smishing
smishtank_5,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,5,"Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Delivery; brand=UPS; sender_type=Phone Number; url=; domain=,hi you still owe ups 4 10 usd in customs fees for your previous package reply 1 to receive a secure link to pay your invoice,dup_001599,2,false,SmishTank + Smishing-Dataset-IMC25,smishing
smishtank_6,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,6,"wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Account Alert; brand=WELLS FARGO; sender_type=Phone Number; url=wel01.us/r/rest05; domain=wel01.us,<url> wells fargo cs profile locked because of unusual activities kindly restore reply stop to unsubscribe,,1,true,SmishTank,smishing
smishtank_7,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,7,"Hi, are you who played golf together last time? I'm Lisa",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=; url=; domain=,hi are you who played golf together last time i m lisa,,1,true,SmishTank,smishing
smishtank_8,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,8,"(8 Hi Julianne long time no see, I'm Aleen, how are you doing",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,8 hi julianne long time no see i m aleen how are you doing,,1,true,SmishTank,smishing
smishtank_10,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,10,"hi Jessie, it's been a long time since I came out, what are you doing recently?",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,hi jessie it s been a long time since i came out what are you doing recently,,1,true,SmishTank,smishing
smishtank_11,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,11,"Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=Whatsapp; sender_type=Phone Number; url=https://chat.whatsapp.com/Djci PB8b7gTGGt16QJ5mJm; domain=chat.whatsapp.com,dear you are invited to join the bitcoin internal discussion group the team will publish daily how to make a profit in the bitcoin market reply to the number 1 and click the link to join <url> djci pb8b7gtggt16qj5mjm,,1,true,SmishTank,smishing
smishtank_12,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,12,"CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch.",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Account Alert; brand=CITI; sender_type=Phone Number; url=http://citibsec.com; domain=citibsec.com,citi unauthorized activity was detected we have moved foward in locking your account please verify at <url> or at a local branch,dup_000587,2,false,SmishTank + Smishing-Dataset-IMC25,smishing
smishtank_13,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,13,"Evanie, I'm Anna, how have you been, I'm back in Denver.",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,evanie i m anna how have you been i m back in denver,,1,true,SmishTank,smishing
smishtank_14,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,14,"Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,hello i m amy are you annie i m really sorry i dialed the wrong number and i thought you were my friend it was so embarrassing have a nice day thank you you re a really nice guy and today was really awkward but it s nice to meet you as a new friend,,1,true,SmishTank,smishing
smishtank_15,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,15,"BofA:Your account has been restricted, visit secbofa.page.link/NLt",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Account Alert; brand=Bank of America; sender_type=Phone Number; url=secbofa.page.link/NLt; domain=secbofa.page.link,bofa your account has been restricted visit secbofa page link nlt,,1,true,SmishTank,smishing
smishtank_16,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,16,https://rebrand.ly/grppwwr AVOI6Y,verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=; sender_type=Phone Number; url=https://rebrand.ly/grppwwr; domain=rebrand.ly,<url> avoi6y,,1,true,SmishTank,smishing
smishtank_17,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,17,"Amazing news!, your application has been accepted. Finish the process: http://klkln.cc/vnbcbtd",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Job Advertisement; brand=; sender_type=Phone Number; url=http://klkln.cc/vnbcbtd; domain=klkln.cc,amazing news your application has been accepted finish the process <url>,dup_000238,2,false,SmishTank + Smishing-Dataset-IMC25,smishing
smishtank_18,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,18,https://b.link/h21bc br7ca2,verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Other; brand=; sender_type=Phone Number; url=https://b.link/h21bc; domain=b.link,<url> br7ca2,dup_000068,2,false,SmishTank + Smishing-Dataset-IMC25,smishing
smishtank_19,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,19,"Hey Niaz, help us answer a fast survey. We will give you a free watch in return. lksr.link/9pvvbF Txt Stop to end",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=; sender_type=Phone Number; url=lksr.link/9pvvbF; domain=iksr.link,hey niaz help us answer a fast survey we will give you a free watch in return lksr link 9pvvbf txt stop to end,,1,true,SmishTank,smishing
smishtank_21,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,21,Hi! I am Lisa's friend. Are you the Smith that Lisa recommended to me? I am Erin.,verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=; url=; domain=,hi i am lisa s friend are you the smith that lisa recommended to me i am erin,,1,true,SmishTank,smishing
smishtank_22,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,22,1 of 2 FRM:japho-Fe d3x.Ne.ws - MSG: Unsuccessful package from 1 April owed to you. Kindly assume ownership and confirm for delivery. (Con't) 2 of 2 https://wwj4w-fedex.us/jWXHwj?47965169(End) O?,verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Delivery; brand=FedEx; sender_type=Phone Number; url=https://wwj4w-fedex.us/jWXHwj?47965169; domain=wwj4w-fedex.us,1 of 2 frm japho fe d3x ne ws msg unsuccessful package from 1 april owed to you kindly assume ownership and confirm for delivery con t 2 of 2 <url> o,,1,true,SmishTank,smishing
smishtank_23,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,23,<Subject: c4c26> Z??? Bank Of America Hurry up ! Offers Have arrived! ($$90 value). /.//storag e.googleapis.com/jzoxubc/1fhg3lf BANK OF AMERICA,verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=Bank of America; sender_type=Email To Text; url=storage.googleapis.com/jzoxubc/1fhg3lf; domain=storage.googleapis.com,<subject c4c26> z bank of america hurry up offers have arrived 90 value storag <url> bank of america,,1,true,SmishTank,smishing
smishtank_24,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,24,You received money. Reply <<ok>> for details.,verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Finance/Crypto; brand=; sender_type=Phone Number; url=; domain=,you received money reply <<ok>> for details,,1,true,SmishTank,smishing
