final_row_id,label_id,normalized_label
v3_public_manual_research_synthetic_row_004856,0,ham
v3_public_manual_research_synthetic_row_002163,0,ham
v3_public_manual_research_synthetic_row_005587,1,smishing
v3_public_manual_research_synthetic_row_009108,1,smishing
v3_public_manual_research_synthetic_row_001752,0,ham
v3_public_manual_research_synthetic_row_006517,1,smishing
v3_public_manual_research_synthetic_row_001473,0,ham
v3_public_manual_research_synthetic_row_008758,1,smishing
v3_public_manual_research_synthetic_row_002542,0,ham
v3_public_manual_research_synthetic_row_005468,1,smishing
v3_public_manual_research_synthetic_row_004262,0,ham
v3_public_manual_research_synthetic_row_007601,1,smishing
v3_public_manual_research_synthetic_row_006941,1,smishing
v3_public_manual_research_synthetic_row_003609,0,ham
v3_public_manual_research_synthetic_row_002493,0,ham
v3_public_manual_research_synthetic_row_003662,0,ham
v3_public_manual_research_synthetic_row_000833,0,ham
v3_public_manual_research_synthetic_row_006321,1,smishing
v3_public_manual_research_synthetic_row_001032,0,ham
v3_public_manual_research_synthetic_row_005024,0,ham
v3_public_manual_research_synthetic_row_000480,0,ham
v3_public_manual_research_synthetic_row_010121,1,smishing
v3_public_manual_research_synthetic_row_000424,0,ham
v3_public_manual_research_synthetic_row_005128,0,ham
v3_public_manual_research_synthetic_row_009181,1,smishing
v3_public_manual_research_synthetic_row_008854,1,smishing
v3_public_manual_research_synthetic_row_009737,1,smishing
v3_public_manual_research_synthetic_row_000268,0,ham
v3_public_manual_research_synthetic_row_005855,1,smishing
v3_public_manual_research_synthetic_row_006464,1,smishing
v3_public_manual_research_synthetic_row_010021,1,smishing
v3_public_manual_research_synthetic_row_007456,1,smishing
v3_public_manual_research_synthetic_row_006014,1,smishing
v3_public_manual_research_synthetic_row_003663,0,ham
v3_public_manual_research_synthetic_row_008996,1,smishing
v3_public_manual_research_synthetic_row_010473,1,smishing
v3_public_manual_research_synthetic_row_010460,1,smishing
v3_public_manual_research_synthetic_row_001239,0,ham
v3_public_manual_research_synthetic_row_008624,1,smishing
v3_public_manual_research_synthetic_row_007819,1,smishing
v3_public_manual_research_synthetic_row_002073,0,ham
v3_public_manual_research_synthetic_row_008236,1,smishing
v3_public_manual_research_synthetic_row_003207,0,ham
v3_public_manual_research_synthetic_row_005930,1,smishing
v3_public_manual_research_synthetic_row_004673,0,ham
v3_public_manual_research_synthetic_row_004716,0,ham
v3_public_manual_research_synthetic_row_004896,0,ham
v3_public_manual_research_synthetic_row_005815,1,smishing
v3_public_manual_research_synthetic_row_008286,1,smishing
v3_public_manual_research_synthetic_row_010390,1,smishing
v3_public_manual_research_synthetic_row_008734,1,smishing
v3_public_manual_research_synthetic_row_007310,1,smishing
v3_public_manual_research_synthetic_row_000731,0,ham
v3_public_manual_research_synthetic_row_004476,0,ham
v3_public_manual_research_synthetic_row_005120,0,ham
v3_public_manual_research_synthetic_row_006906,1,smishing
v3_public_manual_research_synthetic_row_000575,0,ham
v3_public_manual_research_synthetic_row_007091,1,smishing
v3_public_manual_research_synthetic_row_009947,1,smishing
v3_public_manual_research_synthetic_row_007975,1,smishing
v3_public_manual_research_synthetic_row_004623,0,ham
v3_public_manual_research_synthetic_row_006568,1,smishing
v3_public_manual_research_synthetic_row_010542,1,smishing
v3_public_manual_research_synthetic_row_001194,0,ham
v3_public_manual_research_synthetic_row_009786,1,smishing
v3_public_manual_research_synthetic_row_000037,0,ham
v3_public_manual_research_synthetic_row_004888,0,ham
v3_public_manual_research_synthetic_row_010304,1,smishing
v3_public_manual_research_synthetic_row_001179,0,ham
v3_public_manual_research_synthetic_row_007128,1,smishing
v3_public_manual_research_synthetic_row_005706,1,smishing
v3_public_manual_research_synthetic_row_009804,1,smishing
v3_public_manual_research_synthetic_row_003556,0,ham
v3_public_manual_research_synthetic_row_005871,1,smishing
v3_public_manual_research_synthetic_row_002776,0,ham
v3_public_manual_research_synthetic_row_007122,1,smishing
v3_public_manual_research_synthetic_row_007781,1,smishing
v3_public_manual_research_synthetic_row_004727,0,ham
v3_public_manual_research_synthetic_row_004161,0,ham
v3_public_manual_research_synthetic_row_004207,0,ham
v3_public_manual_research_synthetic_row_005172,0,ham
v3_public_manual_research_synthetic_row_000369,0,ham
v3_public_manual_research_synthetic_row_000652,0,ham
v3_public_manual_research_synthetic_row_004203,0,ham
v3_public_manual_research_synthetic_row_004849,0,ham
v3_public_manual_research_synthetic_row_008201,1,smishing
v3_public_manual_research_synthetic_row_000381,0,ham
v3_public_manual_research_synthetic_row_004446,0,ham
v3_public_manual_research_synthetic_row_002115,0,ham
v3_public_manual_research_synthetic_row_008010,1,smishing
v3_public_manual_research_synthetic_row_000978,0,ham
v3_public_manual_research_synthetic_row_006430,1,smishing
v3_public_manual_research_synthetic_row_000117,0,ham
v3_public_manual_research_synthetic_row_008933,1,smishing
v3_public_manual_research_synthetic_row_004630,0,ham
v3_public_manual_research_synthetic_row_008052,1,smishing
v3_public_manual_research_synthetic_row_006644,1,smishing
v3_public_manual_research_synthetic_row_009059,1,smishing
v3_public_manual_research_synthetic_row_005241,0,ham
v3_public_manual_research_synthetic_row_008297,1,smishing
v3_public_manual_research_synthetic_row_001246,0,ham
v3_public_manual_research_synthetic_row_004853,0,ham
v3_public_manual_research_synthetic_row_008162,1,smishing
v3_public_manual_research_synthetic_row_001628,0,ham
v3_public_manual_research_synthetic_row_009830,1,smishing
v3_public_manual_research_synthetic_row_005223,0,ham
v3_public_manual_research_synthetic_row_005624,1,smishing
v3_public_manual_research_synthetic_row_006482,1,smishing
v3_public_manual_research_synthetic_row_002023,0,ham
v3_public_manual_research_synthetic_row_003649,0,ham
v3_public_manual_research_synthetic_row_003792,0,ham
v3_public_manual_research_synthetic_row_003597,0,ham
v3_public_manual_research_synthetic_row_006051,1,smishing
v3_public_manual_research_synthetic_row_008268,1,smishing
v3_public_manual_research_synthetic_row_005191,0,ham
v3_public_manual_research_synthetic_row_008470,1,smishing
v3_public_manual_research_synthetic_row_005710,1,smishing
v3_public_manual_research_synthetic_row_004715,0,ham
v3_public_manual_research_synthetic_row_001020,0,ham
v3_public_manual_research_synthetic_row_009420,1,smishing
v3_public_manual_research_synthetic_row_008302,1,smishing
v3_public_manual_research_synthetic_row_005805,1,smishing
v3_public_manual_research_synthetic_row_008612,1,smishing
v3_public_manual_research_synthetic_row_007760,1,smishing
v3_public_manual_research_synthetic_row_002550,0,ham
v3_public_manual_research_synthetic_row_002088,0,ham
v3_public_manual_research_synthetic_row_009270,1,smishing
v3_public_manual_research_synthetic_row_007744,1,smishing
v3_public_manual_research_synthetic_row_003891,0,ham
v3_public_manual_research_synthetic_row_005967,1,smishing
v3_public_manual_research_synthetic_row_009767,1,smishing
v3_public_manual_research_synthetic_row_008403,1,smishing
v3_public_manual_research_synthetic_row_009689,1,smishing
v3_public_manual_research_synthetic_row_005425,1,smishing
v3_public_manual_research_synthetic_row_002206,0,ham
v3_public_manual_research_synthetic_row_007451,1,smishing
v3_public_manual_research_synthetic_row_001104,0,ham
v3_public_manual_research_synthetic_row_009915,1,smishing
v3_public_manual_research_synthetic_row_006572,1,smishing
v3_public_manual_research_synthetic_row_005062,0,ham
v3_public_manual_research_synthetic_row_007182,1,smishing
v3_public_manual_research_synthetic_row_005212,0,ham
v3_public_manual_research_synthetic_row_006318,1,smishing
v3_public_manual_research_synthetic_row_008219,1,smishing
v3_public_manual_research_synthetic_row_008965,1,smishing
v3_public_manual_research_synthetic_row_008118,1,smishing
v3_public_manual_research_synthetic_row_004337,0,ham
v3_public_manual_research_synthetic_row_002821,0,ham
v3_public_manual_research_synthetic_row_009507,1,smishing
v3_public_manual_research_synthetic_row_002440,0,ham
v3_public_manual_research_synthetic_row_005929,1,smishing
v3_public_manual_research_synthetic_row_008069,1,smishing
v3_public_manual_research_synthetic_row_005517,1,smishing
v3_public_manual_research_synthetic_row_004576,0,ham
v3_public_manual_research_synthetic_row_008319,1,smishing
v3_public_manual_research_synthetic_row_004524,0,ham
v3_public_manual_research_synthetic_row_004580,0,ham
v3_public_manual_research_synthetic_row_008949,1,smishing
v3_public_manual_research_synthetic_row_000303,0,ham
v3_public_manual_research_synthetic_row_000318,0,ham
v3_public_manual_research_synthetic_row_001678,0,ham
v3_public_manual_research_synthetic_row_004001,0,ham
v3_public_manual_research_synthetic_row_001379,0,ham
v3_public_manual_research_synthetic_row_008466,1,smishing
v3_public_manual_research_synthetic_row_006412,1,smishing
v3_public_manual_research_synthetic_row_005991,1,smishing
v3_public_manual_research_synthetic_row_002373,0,ham
v3_public_manual_research_synthetic_row_001982,0,ham
v3_public_manual_research_synthetic_row_003953,0,ham
v3_public_manual_research_synthetic_row_005093,0,ham
v3_public_manual_research_synthetic_row_010059,1,smishing
v3_public_manual_research_synthetic_row_007899,1,smishing
v3_public_manual_research_synthetic_row_007407,1,smishing
v3_public_manual_research_synthetic_row_009886,1,smishing
v3_public_manual_research_synthetic_row_000541,0,ham
v3_public_manual_research_synthetic_row_006269,1,smishing
v3_public_manual_research_synthetic_row_002912,0,ham
v3_public_manual_research_synthetic_row_003345,0,ham
v3_public_manual_research_synthetic_row_009434,1,smishing
v3_public_manual_research_synthetic_row_000201,0,ham
v3_public_manual_research_synthetic_row_000687,0,ham
v3_public_manual_research_synthetic_row_004493,0,ham
v3_public_manual_research_synthetic_row_000267,0,ham
v3_public_manual_research_synthetic_row_000728,0,ham
v3_public_manual_research_synthetic_row_005954,1,smishing
v3_public_manual_research_synthetic_row_003543,0,ham
v3_public_manual_research_synthetic_row_005200,0,ham
v3_public_manual_research_synthetic_row_009261,1,smishing
v3_public_manual_research_synthetic_row_006627,1,smishing
v3_public_manual_research_synthetic_row_000775,0,ham
v3_public_manual_research_synthetic_row_002270,0,ham
v3_public_manual_research_synthetic_row_000540,0,ham
v3_public_manual_research_synthetic_row_004314,0,ham
v3_public_manual_research_synthetic_row_003970,0,ham
v3_public_manual_research_synthetic_row_004174,0,ham
v3_public_manual_research_synthetic_row_002311,0,ham
v3_public_manual_research_synthetic_row_000792,0,ham
v3_public_manual_research_synthetic_row_009921,1,smishing
v3_public_manual_research_synthetic_row_006926,1,smishing
v3_public_manual_research_synthetic_row_005150,0,ham
v3_public_manual_research_synthetic_row_007489,1,smishing
v3_public_manual_research_synthetic_row_000914,0,ham
v3_public_manual_research_synthetic_row_008669,1,smishing
v3_public_manual_research_synthetic_row_002455,0,ham
v3_public_manual_research_synthetic_row_008943,1,smishing
v3_public_manual_research_synthetic_row_001922,0,ham
v3_public_manual_research_synthetic_row_010040,1,smishing
v3_public_manual_research_synthetic_row_001515,0,ham
v3_public_manual_research_synthetic_row_006063,1,smishing
v3_public_manual_research_synthetic_row_008124,1,smishing
v3_public_manual_research_synthetic_row_008952,1,smishing
v3_public_manual_research_synthetic_row_009088,1,smishing
v3_public_manual_research_synthetic_row_006467,1,smishing
v3_public_manual_research_synthetic_row_002473,0,ham
v3_public_manual_research_synthetic_row_007681,1,smishing
v3_public_manual_research_synthetic_row_003873,0,ham
v3_public_manual_research_synthetic_row_000078,0,ham
v3_public_manual_research_synthetic_row_000152,0,ham
v3_public_manual_research_synthetic_row_002347,0,ham
v3_public_manual_research_synthetic_row_006437,1,smishing
v3_public_manual_research_synthetic_row_004654,0,ham
v3_public_manual_research_synthetic_row_004455,0,ham
v3_public_manual_research_synthetic_row_003973,0,ham
v3_public_manual_research_synthetic_row_008128,1,smishing
v3_public_manual_research_synthetic_row_003466,0,ham
v3_public_manual_research_synthetic_row_006645,1,smishing
v3_public_manual_research_synthetic_row_004387,0,ham
v3_public_manual_research_synthetic_row_005921,1,smishing
v3_public_manual_research_synthetic_row_006083,1,smishing
v3_public_manual_research_synthetic_row_005487,1,smishing
v3_public_manual_research_synthetic_row_004893,0,ham
v3_public_manual_research_synthetic_row_001066,0,ham
v3_public_manual_research_synthetic_row_007305,1,smishing
v3_public_manual_research_synthetic_row_006151,1,smishing
v3_public_manual_research_synthetic_row_001631,0,ham
v3_public_manual_research_synthetic_row_003191,0,ham
v3_public_manual_research_synthetic_row_001309,0,ham
v3_public_manual_research_synthetic_row_005045,0,ham
v3_public_manual_research_synthetic_row_006066,1,smishing
v3_public_manual_research_synthetic_row_000819,0,ham
v3_public_manual_research_synthetic_row_000092,0,ham
v3_public_manual_research_synthetic_row_009951,1,smishing
v3_public_manual_research_synthetic_row_003059,0,ham
v3_public_manual_research_synthetic_row_001034,0,ham
v3_public_manual_research_synthetic_row_008551,1,smishing
v3_public_manual_research_synthetic_row_006775,1,smishing
v3_public_manual_research_synthetic_row_007142,1,smishing
v3_public_manual_research_synthetic_row_010031,1,smishing
v3_public_manual_research_synthetic_row_003186,0,ham
v3_public_manual_research_synthetic_row_007021,1,smishing
v3_public_manual_research_synthetic_row_005661,1,smishing
v3_public_manual_research_synthetic_row_000705,0,ham
v3_public_manual_research_synthetic_row_003897,0,ham
v3_public_manual_research_synthetic_row_001737,0,ham
v3_public_manual_research_synthetic_row_009405,1,smishing
v3_public_manual_research_synthetic_row_000941,0,ham
v3_public_manual_research_synthetic_row_009290,1,smishing
v3_public_manual_research_synthetic_row_001449,0,ham
v3_public_manual_research_synthetic_row_003395,0,ham
v3_public_manual_research_synthetic_row_009032,1,smishing
v3_public_manual_research_synthetic_row_001230,0,ham
v3_public_manual_research_synthetic_row_009829,1,smishing
