old_unified_id,old_source_name,old_dataset_name,old_normalized_label,old_message_raw,raw_placeholder_types,replacement_candidate_id,replacement_source_name,replacement_dataset_name,replacement_message_raw,replacement_method,duplicate_check_status,repair_status,notes
smishtank_853,SmishTank,SmishTank Dataset / Smishing Dataset I,smishing,<BANK OF AMERICA MSG 088 >: Your EDD Card has been Closed Due To Fraudulent Transactions Made To Your Account. Login to ensure safety at: bitly.com/helpEDD,,hf_bengali_sms_smishing_english_smish_0002,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Critical: Your Standard Bank account frozen due to suspicious transactions. Fix: standardbank-fix.org,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
uci_001613,UCI SMS Spam Collection,SMS Spam Collection v.1,ham,645,,,,,,none,no_candidate_available,removed_no_strict_raw_available,No acceptable strict raw same-message recovery or label-equivalent replacement was available.
uci_001086,UCI SMS Spam Collection,SMS Spam Collection v.1,ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,,,,,,long_message_sms_likeness,not_applicable,removed_no_strict_raw_available,Long raw text looked like report/article text.
uci_000288,UCI SMS Spam Collection,SMS Spam Collection v.1,ham,Ok..,,,,,,none,no_candidate_available,removed_no_strict_raw_available,No acceptable strict raw same-message recovery or label-equivalent replacement was available.
mishra_000510,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,smishing,"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492",,,,,,long_message_sms_likeness,not_applicable,removed_no_strict_raw_available,Long raw text looked like report/article text.
uci_005176,UCI SMS Spam Collection,SMS Spam Collection v.1,ham,U 2.,,,,,,none,no_candidate_available,removed_no_strict_raw_available,No acceptable strict raw same-message recovery or label-equivalent replacement was available.
smishtank_430,SmishTank,SmishTank Dataset / Smishing Dataset I,smishing,"UNIONBANK<ATTENTION> A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://www.UnionBank.Org_@bit.ly/3T1lhlE to cancel payment.",,imc25_english_smish_00007,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit https://apple-",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
smishtank_600,SmishTank,SmishTank Dataset / Smishing Dataset I,smishing,UNIONBANK<ATTENTION> All funds are on hold due to multiple fraudulent direct deposits. Remaining direct deposits will remain in pending. Visit Https://www.UnionBank.Org_@nx.tn/EjmCx to remove hold.,,ncsu_sms_phishing_000003,SMS Phishing Dataset,wspr-ncsu/sms-phishing,An up to £3 FREEBIE has been dropped onto your account! Claim here: http://pktwn.uk/184ec 24hrs. 40xWR. MaxWD£50 T&C Apply. Stop Msg? Call +441,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
uci_000262,UCI SMS Spam Collection,SMS Spam Collection v.1,ham,Yup,,,,,,none,no_candidate_available,removed_no_strict_raw_available,No acceptable strict raw same-message recovery or label-equivalent replacement was available.
replacement_imc25_english_smish_00633,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Congratulations! 🏆🏆🏆 You are one of the 100 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ➡️➡️ http://winner@<US_BANK_NUMBER>/tpi23?id=2f57943 Hurry up to pick up your prize today! ⏳⏳,,smishx_smishing_0018,SmishX,yizhu-joy/SmishX,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: https://51.fi/aJzP Cyprus Post Office,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
