final_row_id,source_final_row_id,original_final_row_id,label_id,final_label,feature_text_col,embedding_text_col,feature_text_source,feature_text,message_raw,model_text,G1_URL_Signals,G2_OTP_Numeric_Density,G3_Obfuscation,G4_Urgency_Threat_Cues,G5_Action_Directives,G6_Financial_Terms,G7_Auth_Secrets_Request,G8_Brand_Impersonation,debug_url_hits,debug_digit_count,debug_number_token_count,debug_otp_like_hits,debug_obfuscation_hits,debug_urgency_hits,debug_action_hits,debug_financial_hits,debug_auth_secret_hits,debug_brand_hits
v3_public_manual_research_synthetic_row_004856,v3_public_manual_research_synthetic_row_004856,v3_public_manual_research_synthetic_row_004856,0,ham,message_raw,model_text,message_raw,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
v3_public_manual_research_synthetic_row_002163,v3_public_manual_research_synthetic_row_002163,v3_public_manual_research_synthetic_row_002163,0,ham,message_raw,model_text,message_raw,Nationwide auto centre (or something like that) on Newport road. I liked them there,Nationwide auto centre (or something like that) on Newport road. I liked them there,Nationwide auto centre (or something like that) on Newport road. I liked them there,0.0,0.0,0.9214285714285714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0
v3_public_manual_research_synthetic_row_005587,v3_public_manual_research_synthetic_row_005587,v3_public_manual_research_synthetic_row_005587,1,smishing,message_raw,model_text,message_raw,FRM:Oprahsgiveaway.com voucher#xxnlrispw MSG:Come together on a couple of the most excellent giveaways ever! You can't miss this opportunity. voucher#xxnlrispw,FRM:Oprahsgiveaway.com voucher#xxnlrispw MSG:Come together on a couple of the most excellent giveaways ever! You can't miss this opportunity. voucher#xxnlrispw,FRM:<URL> voucher#xxnlrispw MSG:Come together on a couple of the most excellent giveaways ever! You can't miss this opportunity. voucher#xxnlrispw,0.9833333333333334,0.0,0.6699999999999999,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0
v3_public_manual_research_synthetic_row_009108,v3_public_manual_research_synthetic_row_009108,v3_public_manual_research_synthetic_row_009108,1,smishing,message_raw,model_text,message_raw,sign in and manage your myGov account. Click on here sevynluxe.com/Secured,sign in and manage your myGov account. Click on here sevynluxe.com/Secured,sign in and manage your myGov account. Click on here <URL>,1.0,0.0,1.0,0.0,0.8628205128205129,0.8628205128205129,0.0,0.0,2,0,0,0,3,0,1,1,0,0
v3_public_manual_research_synthetic_row_001752,v3_public_manual_research_synthetic_row_001752,v3_public_manual_research_synthetic_row_001752,0,ham,message_raw,model_text,message_raw,"MayaRewards ) Nice! You received a P100 voucher from GCash. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!. This message is for your information.","MayaRewards ) Nice! You received a P100 voucher from GCash. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!. This message is for your information.","MayaRewards ) Nice! You received a <AMOUNT> voucher from GCash. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!. This message is for your information.",0.0,0.014764349657714587,1.0,0.5351851851851852,0.7203703703703703,0.5351851851851852,0.0,0.5131522633744855,0,3,1,0,6,1,2,1,0,1
v3_public_manual_research_synthetic_row_006517,v3_public_manual_research_synthetic_row_006517,v3_public_manual_research_synthetic_row_006517,1,smishing,message_raw,model_text,message_raw,"Dear User, This is to let you know that our web-mail server will be upgraded and maintained soon. If you don't want your e-mail account to be terminated during the upgrade, Send ""[redacted]"" to 6-0-5-5-5-5-5-1-1-1-1. [altered] You will receive instructions on how to upgrade your account via text message. If you do not comply with the above, your email access will be disabled. Please accept our apologies for any inconvenience this may cause. Regards, System Administrator [redacted]","Dear User, This is to let you know that our web-mail server will be upgraded and maintained soon. If you don't want your e-mail account to be terminated during the upgrade, Send ""[redacted]"" to 6-0-5-5-5-5-5-1-1-1-1. [altered] You will receive instructions on how to upgrade your account via text message. If you do not comply with the above, your email access will be disabled. Please accept our apologies for any inconvenience this may cause. Regards, System Administrator [redacted]","Dear User, This is to let you know that our web-mail server will be upgraded and maintained soon. If you don't want your e-mail account to be terminated during the upgrade, Send ""[redacted]"" to <PHONE>. [altered] You will receive instructions on how to upgrade your account via text message. If you do not comply with the above, your email access will be disabled. Please accept our apologies for any inconvenience this may cause. Regards, System Administrator [redacted]",0.0,0.04302978235967927,1.0,0.0,0.42407407407407405,0.4981481481481481,0.0,0.0,0,11,11,0,24,0,1,2,0,0
v3_public_manual_research_synthetic_row_001473,v3_public_manual_research_synthetic_row_001473,v3_public_manual_research_synthetic_row_001473,0,ham,message_raw,model_text,message_raw,"Jocelyn, Big Travel Bonus is back with up to P300 CASHBACK for a min. accum. spend on all your travel spend using your BDO credit card!. Keep this message for your records.","Jocelyn, Big Travel Bonus is back with up to P300 CASHBACK for a min. accum. spend on all your travel spend using your BDO credit card!. Keep this message for your records.","Jocelyn, Big Travel Bonus is back with up to <AMOUNT> CASHBACK for a min. accum. spend on all your travel spend using your BDO credit card!. Keep this message for your records.",0.0,0.017405523255813952,0.975,0.0,0.0,0.975,0.0,0.606375,0,3,1,0,5,0,0,3,0,1
v3_public_manual_research_synthetic_row_008758,v3_public_manual_research_synthetic_row_008758,v3_public_manual_research_synthetic_row_008758,1,smishing,message_raw,model_text,message_raw,"RM0 M2U: Hello, dear user, due to an abnormality in your online banking, please log in to verify your personal information","RM0 M2U: Hello, dear user, due to an abnormality in your online banking, please log in to verify your personal information","RM0 M2U: Hello, dear user, due to an abnormality in your online banking, please log in to verify your personal information",0.0,0.03282591725214676,0.7309523809523809,0.0,0.6674603174603174,0.0,0.0,0.0,0,2,2,0,2,0,1,0,0,0
v3_public_manual_research_synthetic_row_002542,v3_public_manual_research_synthetic_row_002542,v3_public_manual_research_synthetic_row_002542,0,ham,message_raw,model_text,message_raw,Ill call you evening ill some ideas.,Ill call you evening ill some ideas.,Ill call you evening ill some ideas.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0
v3_public_manual_research_synthetic_row_005468,v3_public_manual_research_synthetic_row_005468,v3_public_manual_research_synthetic_row_005468,1,smishing,message_raw,model_text,message_raw,Credit score update: There is your current credit score. To receive details open link! 5wac5ltscn.co/oaktfqv Reply END to unsubscribe,Credit score update: There is your current credit score. To receive details open link! 5wac5ltscn.co/oaktfqv Reply END to unsubscribe,Credit score update: There is your current credit score. To receive details open link! <URL> Reply END to unsubscribe,1.0,0.02017543859649123,1.0,0.0,1.0,0.9849206349206349,0.0,0.0,3,2,1,0,4,0,3,2,0,0
v3_public_manual_research_synthetic_row_004262,v3_public_manual_research_synthetic_row_004262,v3_public_manual_research_synthetic_row_004262,0,ham,message_raw,model_text,message_raw,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,0.0,0.0,0.5404761904761904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
v3_public_manual_research_synthetic_row_007601,v3_public_manual_research_synthetic_row_007601,v3_public_manual_research_synthetic_row_007601,1,smishing,message_raw,model_text,message_raw,Our anti-fraud locked your ANZ access because of an unusual transfer on your card. If this was NOT you visit. co-aus.com/aus/online/AnzVerify #886674,Our anti-fraud locked your ANZ access because of an unusual transfer on your card. If this was NOT you visit. co-aus.com/aus/online/AnzVerify #886674,Our anti-fraud locked your ANZ access because of an unusual transfer on your card. If this was NOT you visit. <URL> #886674,1.0,0.0977428891019495,0.7785714285714285,0.8261904761904761,0.588095238095238,0.8261904761904761,0.0,0.0,3,6,1,1,3,2,1,2,0,0
v3_public_manual_research_synthetic_row_006941,v3_public_manual_research_synthetic_row_006941,v3_public_manual_research_synthetic_row_006941,1,smishing,message_raw,model_text,message_raw,Fox News wants to Thank YOU for Reading our Publications. Claim your $100 GIFT for being a Loyal User. http,Fox News wants to Thank YOU for Reading our Publications. Claim your $100 GIFT for being a Loyal User. http,Fox News wants to Thank YOU for Reading our Publications. Claim your <AMOUNT> GIFT for being a Loyal User. http,1.0,0.027920560747663553,1.0,0.0,0.6833333333333333,0.0,0.0,0.0,1,3,1,0,9,0,1,0,0,0
v3_public_manual_research_synthetic_row_003609,v3_public_manual_research_synthetic_row_003609,v3_public_manual_research_synthetic_row_003609,0,ham,message_raw,model_text,message_raw,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.","Sorry im getting up now, feel really bad- totally rejected that kinda me thing.","Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",0.0,0.0,0.6357142857142857,0.8261904761904761,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0
v3_public_manual_research_synthetic_row_002493,v3_public_manual_research_synthetic_row_002493,v3_public_manual_research_synthetic_row_002493,0,ham,message_raw,model_text,message_raw,Hey gals.. Anyone of u going down to e driving centre tmr?,Hey gals.. Anyone of u going down to e driving centre tmr?,Hey gals.. Anyone of u going down to e driving centre tmr?,0.0,0.0,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
v3_public_manual_research_synthetic_row_003662,v3_public_manual_research_synthetic_row_003662,v3_public_manual_research_synthetic_row_003662,0,ham,message_raw,model_text,message_raw,Its like that hotel dusk game i think. You solve puzzles in a area thing,Its like that hotel dusk game i think. You solve puzzles in a area thing,Its like that hotel dusk game i think. You solve puzzles in a area thing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
v3_public_manual_research_synthetic_row_000833,v3_public_manual_research_synthetic_row_000833,v3_public_manual_research_synthetic_row_000833,0,ham,message_raw,model_text,message_raw,GCash security code: 0724. Enter this code on the screen.,GCash security code: 0724. Enter this code on the screen.,GCash security code: <OTP>. Enter this code on the screen.,0.0,0.2635964912280702,1.0,0.0,1.0,1.0,0.0,1.0,0,4,1,3,3,0,1,1,0,1
v3_public_manual_research_synthetic_row_006321,v3_public_manual_research_synthetic_row_006321,v3_public_manual_research_synthetic_row_006321,1,smishing,message_raw,model_text,message_raw,Your Modhumoti Bank agricultural loan defaulted. Settle: modhumotibank-agri.com,Your Modhumoti Bank agricultural loan defaulted. Settle: modhumotibank-agri.com,Your Modhumoti Bank agricultural loan defaulted. Settle: <URL>,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,5,0,0,2,0,0
v3_public_manual_research_synthetic_row_001032,v3_public_manual_research_synthetic_row_001032,v3_public_manual_research_synthetic_row_001032,0,ham,message_raw,model_text,message_raw,Globe OTP: 732498. Enter this code to complete your app sign-up. This is an automated notice.,Globe OTP: 732498. Enter this code to complete your app sign-up. This is an automated notice.,Globe OTP: <OTP>. Enter this code to complete your app sign-up. This is an automated notice.,0.0,0.25018975332068316,1.0,0.0,1.0,0.0,0.9401960784313725,0.888235294117647,0,6,1,3,4,0,2,0,1,1
v3_public_manual_research_synthetic_row_005024,v3_public_manual_research_synthetic_row_005024,v3_public_manual_research_synthetic_row_005024,0,ham,message_raw,model_text,message_raw,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)","Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)","Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)",0.0,0.0,0.6833333333333333,0.9055555555555556,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,0,0,0
v3_public_manual_research_synthetic_row_000480,v3_public_manual_research_synthetic_row_000480,v3_public_manual_research_synthetic_row_000480,0,ham,message_raw,model_text,message_raw,I hate when she does this. She turns what should be a fun day into an annoying day of quarrels.,I hate when she does this. She turns what should be a fun day into an annoying day of quarrels.,I hate when she does this. She turns what should be a fun day into an annoying day of quarrels.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
v3_public_manual_research_synthetic_row_010121,v3_public_manual_research_synthetic_row_010121,v3_public_manual_research_synthetic_row_010121,1,smishing,message_raw,model_text,message_raw,there is not need code mesg 6163 www.smszr.net/02,there is not need code mesg 6163 www.smszr.net/02,there is not need code mesg 6163 <URL>,1.0,0.246134817563389,1.0,0.0,0.0,0.0,0.0,0.0,2,6,2,2,2,0,0,0,0,0
v3_public_manual_research_synthetic_row_000424,v3_public_manual_research_synthetic_row_000424,v3_public_manual_research_synthetic_row_000424,0,ham,message_raw,model_text,message_raw,Hey loverboy! I love you !! I had to tell ... I look at your picture ...I want you ... I need you ... I crave you .,Hey loverboy! I love you !! I had to tell ... I look at your picture ...I want you ... I need you ... I crave you .,Hey loverboy! I love you !! I had to tell ... I look at your picture ...I want you ... I need you ... I crave you.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,0
v3_public_manual_research_synthetic_row_005128,v3_public_manual_research_synthetic_row_005128,v3_public_manual_research_synthetic_row_005128,0,ham,message_raw,model_text,message_raw,Some of them told accenture is not confirm. Is it true.,Some of them told accenture is not confirm. Is it true.,Some of them told accenture is not confirm. Is it true.,0.0,0.0,0.7136363636363636,0.0,0.956060606060606,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0
v3_public_manual_research_synthetic_row_009181,v3_public_manual_research_synthetic_row_009181,v3_public_manual_research_synthetic_row_009181,1,smishing,message_raw,model_text,message_raw,"Hey, we sent you the wrong link yesterday here is the correct one.We are sorry. Have a great weekend https://gvme.info/2322","Hey, we sent you the wrong link yesterday here is the correct one.We are sorry. Have a great weekend https://gvme.info/2322","Hey, we sent you the wrong link yesterday here is the correct one.We are sorry. Have a great weekend <URL>",1.0,0.09496951219512195,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,4,4,1,1,1,0,0,0,0,0
v3_public_manual_research_synthetic_row_008854,v3_public_manual_research_synthetic_row_008854,v3_public_manual_research_synthetic_row_008854,1,smishing,message_raw,model_text,message_raw,Dear A/c Holder Your SBI Bank Documents has expired A/c will be Blocked Update your Document Now click,Dear A/c Holder Your SBI Bank Documents has expired A/c will be Blocked Update your Document Now click,Dear A/c Holder Your SBI Bank Documents has expired A/c will be Blocked Update your Document Now click,0.0,0.0,1.0,1.0,1.0,0.6833333333333333,0.0,0.8,0,0,0,0,8,3,2,1,0,1
