manual_id,message_raw,message_clean,raw_text_available,text_privacy_status,provisional_label,final_label,service_category,institution_type,review_status,reviewer_notes,source_file,contains_url,contains_phone,contains_otp,contains_amount,contains_account_hint,merge_status,merged_from_manual_ids,merged_row_count,original_split_messages,artifact_flag,artifact_type,artifact_reason,suggested_action
manual_ham_000178,Tap to load preview,Tap to load preview,True,raw_ocr_extracted_text,unsure,ham,telecom,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000178,1,,True,ui_preview_artifact,message text is exactly or nearly exactly a phone/app preview UI artifact,remove_artifact
manual_ham_000180,"Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on smrt.ph/SmartApp for MORE SURPRISES! C Tap to load preview You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99.","Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on <URL> for MORE SURPRISES! C Tap to load preview You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99.",True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,False,False,not_merged,manual_ham_000180,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000182,"You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on smrt.ph/SmartApp for MORE SURPRISES! C Tap to load preview Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99.","You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on <URL> for MORE SURPRISES! C Tap to load preview Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99.",True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,False,False,not_merged,manual_ham_000182,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000184,"You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99. Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on smrt.ph/SmartApp for MORE SURPRISES! C Tap to load preview","You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99. Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on <URL> for MORE SURPRISES! C Tap to load preview",True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,False,False,not_merged,manual_ham_000184,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000186,C Tap to load preview You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99.,C Tap to load preview You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards! Awesome! You can now enjoy 6 GB SHAREABLE DATA FOR ALL SITES for 7 days with ALL DATA 99.,True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000186,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000188,"4:02 OM e © F il & € Smart App : with just a tap on the Smart App! Click “Don't Miss Out"" NOW on smrt.ph/SmartApp for MORE SURPRISES! C Tap to load preview You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards!","4:02 OM e © F il & € Smart App : with just a tap on the Smart App! Click “Don't Miss Out"" NOW on <URL> for MORE SURPRISES! C Tap to load preview You have successfully redeemed ALL DATA 99 using 99 GigaPoints. Keep using the Smart App to earn MORE points to redeem MORE rewards!",True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,False,False,not_merged,manual_ham_000188,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000189,"Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on smrt.ph/SmartApp for MORE SURPRISES! C Tap to load preview","Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the Smart App! Click ""Don't Miss Out"" NOW on <URL> for MORE SURPRISES! C Tap to load preview",True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,False,False,not_merged,manual_ham_000189,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000273,Tap to load preview,Tap to load preview,True,raw_ocr_extracted_text,unsure,ham,telecom,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000273,1,,True,ui_preview_artifact,message text is exactly or nearly exactly a phone/app preview UI artifact,remove_artifact
manual_ham_000275,1/2 O7-Feb 21:30: P300 loaded to 09397250664 from XXXXXXXX8660 for 1 year. Ref:BB76BDDJXW. Get MORE with PROMO LOAD in the Smart App! 2/2 Get MORE Load for less with the all NEW PROMO LOAD! Buy P300 and get a total of P333 Load valid for 30 days. Get NOW at smrt.ph/SmartApp C Tap to load preview,1/2 O7-Feb 21:30: P300 loaded to <PHONE> from XXXXXXXX8660 for 1 year. Ref:BB76BDDJXW. Get MORE with PROMO LOAD in the Smart App! 2/2 Get MORE Load for less with the all NEW PROMO LOAD! Buy P300 and get a total of P333 Load valid for 30 days. Get NOW at <URL> C Tap to load preview,True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,True,False,True,True,not_merged,manual_ham_000275,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
manual_ham_000277,1/2 24-Mar 17:01: P300 loaded to 09397250664 from XXXXXXXXO0245 for 1 year. Ref:BCO6G541J6. Get MORE with PROMO LOAD in the Smart App! 2/2 Get MORE Load for less with the all NEW PROMO LOAD! Buy P300 and get a total of P333 Load valid for 30 days. Get NOW at smrt.ph/SmartApp Cc Tap to load preview,1/2 24-Mar 17:01: P300 loaded to <PHONE> from XXXXXXXXO0245 for 1 year. Ref:BCO6G541J6. Get MORE with PROMO LOAD in the Smart App! 2/2 Get MORE Load for less with the all NEW PROMO LOAD! Buy P300 and get a total of P333 Load valid for 30 days. Get NOW at <URL> Cc Tap to load preview,True,raw_ocr_extracted_text,unsure,ham,telecom,Smart,approved,source_hint=Smart; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,True,False,True,True,not_merged,manual_ham_000277,1,,True,embedded_ui_preview_text,UI preview phrase appears inside a longer row; keep for manual review to avoid removing a legitimate SMS,manual_review
