id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
imc25_english_smish_08226,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your KOTAK DEBIT CARD point worth Rs <OTP> expired by <DATE_TIME>. Kindly convert your points into cash by click here <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: Kotak Mahindra Bank. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08228,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,¥our ATM & Acc***02 has been block due to BVN $system €Error Call <PHONE_NUMBER> to open with;n <DATE_TIME> U don dey craze guy na me <NAMED_ENTITY> scam me E b like say u no know say me sef need money pass u way wan scam me For that reason u go die young ni OLORIBURUKU No b u b the CEMENT GUY FOR EKPOMA <NAMED_ENTITY>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08229,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your funds (<OTP>.43 GBP) will be removed unless you access your account within <DATE_TIME>: <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. Named entity tag: unknown. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08230,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your Kotak BANK Debit Card points worth Rs <OTP> expired by <DATE_TIME>. Kindly convert your points into cash by click here <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Kotak Mahindra Bank. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08232,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your ICICI SAVING BANK point worth Rs <OTP> expired by <DATE_TIME>. Kindly convert your points into cash by click here,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: ICICI Bank. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08233,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your STANDARD CHARTERED Visa Card point worth Rs <OTP> expired by <DATE_TIME>. Kindly convert your point in cash by click here,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Standard Chartered. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08234,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,RM0 Citi : We have received your request on <DATE_TIME> to transfer MYR350.00 account number ending <OTP>. Please call Citibank for any query.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Citi. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08235,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your KOTAK BANK Visa Card points worth Rs <OTP> expired by <DATE_TIME>. Kindly convert your points into cash by click here <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: Kotak Mahindra Bank. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08236,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your PayPal account has been restricted. You have <DATE_TIME> to confirm the account information or your account will be closed: <URL>.****.pw/m/,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: PayPal. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08237,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,We have identified some unusual activity in your online banking. Please login via <URL> to secure your account.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: distraction,need and greed,time/urgency. Named entity tag: nab. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
