final_row_id,split,normalized_label,data_origin,is_synthetic,source_name,dataset_name,normalized_message_key,normalized_raw_message_key,split_group_key
v3_public_manual_research_synthetic_row_000004,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,bright days ahead <AMOUNT> free try 100 welcome bonus <AMOUNT> use <NUM> at <url>,bright days ahead <AMOUNT> free try 100 welcome bonus <AMOUNT> use <NUM> at <URL>,split_group_4697146301728287992
v3_public_manual_research_synthetic_row_000011,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,take a selfie portrait mode no accessories plain background well lit,take a selfie portrait mode no accessories plain background well lit,split_group_10717055678032443607
v3_public_manual_research_synthetic_row_000012,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,complete your registration you re all set,complete your registration you re all set,split_group_15320678746326124727
v3_public_manual_research_synthetic_row_000018,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,text stop to <phone> to unsubscribe,text stop to <PHONE> to unsubscribe,split_group_8574782191081399799
v3_public_manual_research_synthetic_row_000020,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,get a chance to win up to <AMOUNT> lazada voucher when you buy at least <AMOUNT> regular smart load on the metrobank app just log in to your account and tap send load promo runs from feb 15 to mar 15 <NUM> t cs apply metrobank is bsp regulated dt1248176,get a chance to win up to <AMOUNT> lazada voucher when you buy at least <AMOUNT> regular smart load on the metrobank app just log in to your account and tap send load promo runs from feb 15 to mar 15 <NUM> t cs apply metrobank is bsp regulated dt1248176,split_group_8375282865627969036
v3_public_manual_research_synthetic_row_000032,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,21 nov <OTP> at 1 07pm dr kimberly mae ong is in and will now be seeing patients download the now serving app with invite code j2vt3uj7 at <url> j2vt3uj7 and wait for your turn thanks for using nowserving rate your recent consultation with dr ong now hitps <url> mgewuyaqdaijcvhc7,21 nov <OTP> at 1 07pm dr kimberly mae ong is in and will now be seeing patients download the now serving app with invite code j2vt3uj7 at <URL> j2vt3uj7 and wait for your turn thanks for using nowserving rate your recent consultation with dr ong now hitps <URL> mgewuyaqdaijcvhc7,split_group_8722051410720201501
v3_public_manual_research_synthetic_row_000034,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,accepted your dr santiago appt is mar20 <OTP> view details with nowserving code 1a6fij5 at https <url>,accepted your dr santiago appt is mar20 <OTP> view details with nowserving code 1a6fij5 at https <URL>,split_group_7045836950987398104
v3_public_manual_research_synthetic_row_000039,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,27 jan <NUM> at 11 59am easy 10 cashback with maya just use maya in stores or when shopping online in the next 7 days check your maya messages now to know more,27 jan <NUM> at 11 59am easy 10 cashback with maya just use maya in stores or when shopping online in the next 7 days check your maya messages now to know more,split_group_13235603752979124612
v3_public_manual_research_synthetic_row_000054,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,make it a summer to remember jocelyn anne get as much as <AMOUNT> when you convert your unused limit to rcbc instacash on your card ending in <acct> pay <AMOUNT> mo at an add on rate of only 0 62 mo for up to 60 mos visit the rcbc credit website search promo id rrn and use code a28yuhyosq offer exclusive to web applications until may 10 <OTP> dti245989s26,make it a summer to remember jocelyn anne get as much as <AMOUNT> when you convert your unused limit to rcbc instacash on your card ending in <OTP> pay <AMOUNT> mo at an add on rate of only 0 62 mo for up to 60 mos visit the rcbc credit website search promo id rrn and use code a28yuhyosq offer exclusive to web applications until may 10 <OTP> dti245989s26,split_group_3108762399445406959
v3_public_manual_research_synthetic_row_000068,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,race to monza with your rcbc visa credit card earn raffle entries for a minimum spend of <AMOUNT> from apr 1 jun 30 fora chance to win a race experience for 2 plus watch party access for more info and to register search vcarb on the rcbc credit website dti <NUM>,race to monza with your rcbc visa credit card earn raffle entries for a minimum spend of <AMOUNT> from apr 1 jun 30 fora chance to win a race experience for 2 plus watch party access for more info and to register search vcarb on the rcbc credit website dti <NUM>,split_group_10339137335277420741
v3_public_manual_research_synthetic_row_000079,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,dti <NUM>,dti <NUM>,split_group_6155600351428251750
v3_public_manual_research_synthetic_row_000082,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,make the most of this offer until mar 31 jocelyn anne get up to <AMOUNT> when you convert your available limit on your card ending in <acct> to rcbc instacash pay as low as <AMOUNT> mo at a low add on rate of 0 62 mo for up to 60 mos go to the rcbc credit website search promo id rrn and use code awlu40qqut to avail offer is exclusive to applications via the rcbc credit website dti245989s26,make the most of this offer until mar 31 jocelyn anne get up to <AMOUNT> when you convert your available limit on your card ending in <OTP> to rcbc instacash pay as low as <AMOUNT> mo at a low add on rate of 0 62 mo for up to 60 mos go to the rcbc credit website search promo id rrn and use code awlu40qqut to avail offer is exclusive to applications via the rcbc credit website dti245989s26,split_group_13835506880312517530
v3_public_manual_research_synthetic_row_000098,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,avoid additional charges by not missing your next due date on 13 apr <NUM> the outstanding balance of your metrobank credit card ending in <acct> is <AMOUNT> pay at least the minimum amount due of <AMOUNT> immediately you may pay via metrobank online metrobank app or using other banking apps disregard if already paid,avoid additional charges by not missing your next due date on 13 apr <NUM> the outstanding balance of your metrobank credit card ending in <NUM> is <AMOUNT> pay at least the minimum amount due of <AMOUNT> immediately you may pay via metrobank online metrobank app or using other banking apps disregard if already paid,split_group_3185570896034064776
v3_public_manual_research_synthetic_row_000109,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,your metrobank credit card ending in <acct> was due last 18 mar <NUM> with statement balance of <AMOUNT> and minimum amount due of <AMOUNT> for online payment visit the metrobank online website or download the metrobank mobile application,your metrobank credit card ending in <NUM> was due last 18 mar <NUM> with statement balance of <AMOUNT> and minimum amount due of <AMOUNT> for online payment visit the metrobank online website or download the metrobank mobile application,split_group_7832081124796227962
v3_public_manual_research_synthetic_row_000137,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,bawal na i dahilan si bantay kasi may bantay naman talaga siya mag book na ng grabcar saver for 15 cheaper fares may 25 off ka pa when you use code walangbantaysibantay max discount of <AMOUNT> min fare of <AMOUNT>,bawal na i dahilan si bantay kasi may bantay naman talaga siya mag book na ng grabcar saver for 15 cheaper fares may 25 off ka pa when you use code walangbantaysibantay max discount of <AMOUNT> min fare of <AMOUNT>,split_group_15938756693491565400
v3_public_manual_research_synthetic_row_000138,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,strict ba talaga parents mo baka kasi di ka nag grabcar saver para makatipid up to 15 on fares plus use code strictparentsko for extra 25 off your ride max discount of <AMOUNT> min fare of <AMOUNT>,strict ba talaga parents mo baka kasi di ka nag grabcar saver para makatipid up to 15 on fares plus use code strictparentsko for extra 25 off your ride max discount of <AMOUNT> min fare of <AMOUNT>,split_group_8458160276514007300
v3_public_manual_research_synthetic_row_000142,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,hindi mo na kailangan bumawi mas mabilis na kasi mag book with grabcar mas pinatipid pa ang ride when you book grabcar saver for up to 15 cheaper rides with code bawiako to get additional 25 off min fare <AMOUNT> max discount <AMOUNT>,hindi mo na kailangan bumawi mas mabilis na kasi mag book with grabcar mas pinatipid pa ang ride when you book grabcar saver for up to 15 cheaper rides with code bawiako to get additional 25 off min fare <AMOUNT> max discount <AMOUNT>,split_group_6399774948512381979
v3_public_manual_research_synthetic_row_000143,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,tag tipid after ng long weekend try out this hack book grabcar saver for up to 15 cheaper fares use code ganap for an extra <AMOUNT> off rides book now,tag tipid after ng long weekend try out this hack book grabcar saver for up to 15 cheaper fares use code ganap for an extra <AMOUNT> off rides book now,split_group_3591596401468170997
v3_public_manual_research_synthetic_row_000148,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,we miss you enjoy 30 off your next ride with code rideagain it s time to hit the road again with grabcar what are you waiting for book now,we miss you enjoy 30 off your next ride with code rideagain it s time to hit the road again with grabcar what are you waiting for book now,split_group_13479230408747204640
v3_public_manual_research_synthetic_row_000160,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,6 6 sale alert enjoy up to 30 off on grabcar,6 6 sale alert enjoy up to 30 off on grabcar,split_group_14561105215074567040
v3_public_manual_research_synthetic_row_000161,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,vouchers bundles on lazada visit grab ph s official,vouchers bundles on lazada visit grab ph s official,split_group_18389913897276578899
v3_public_manual_research_synthetic_row_000171,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,deals you ll love every monday tuesday get 15 off at primer stores like bratpack grind restoerun r o x the travel club more t cs apply dti224784,deals you ll love every monday tuesday get 15 off at primer stores like bratpack grind restoerun r o x the travel club more t cs apply dti224784,split_group_9152114674765131468
v3_public_manual_research_synthetic_row_000175,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,don t miss your 20 off birthday treat shop at primer stores like bratpack grind restoerun r o x the travel club more treat yourself with premium products from birkenstock hellolulu hydro flask montbell native delsey keen more hurry this promo runs until sept 30 <NUM> t cs apply,don t miss your 20 off birthday treat shop at primer stores like bratpack grind restoerun r o x the travel club more treat yourself with premium products from birkenstock hellolulu hydro flask montbell native delsey keen more hurry this promo runs until sept 30 <NUM> t cs apply,split_group_14204205878895292166
v3_public_manual_research_synthetic_row_000176,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,kick off your week with 15 off every monday tuesday at primer stores like bratpack grind restoerun r o x the travel club more t cs apply dti224784,kick off your week with 15 off every monday tuesday at primer stores like bratpack grind restoerun r o x the travel club more t cs apply dti224784,split_group_11272243026114020850
v3_public_manual_research_synthetic_row_000181,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,you have successfully redeemed all data 99 using 99 gigapoints keep using the smart app to earn more points to redeem more rewards get exclusive promos every week just for you with just a tap on the smart app click don t miss out now on <url> for more surprises c tap to load preview awesome you can now enjoy 6 gb shareable data for all sites for 7 days with all data 99,you have successfully redeemed all data 99 using 99 gigapoints keep using the smart app to earn more points to redeem more rewards get exclusive promos every week just for you with just a tap on the smart app click don t miss out now on <URL> for more surprises c tap to load preview awesome you can now enjoy 6 gb shareable data for all sites for 7 days with all data 99,split_group_9087221001416648242
v3_public_manual_research_synthetic_row_000187,test,ham,manual_real,False,manual_google_drive_ham,manually_curated_service_ham,4 02 om e f il smart app with just a tap on the smart app click don t miss out now on <url> for more surprises c tap to load preview you have successfully redeemed all data 99 using 99 gigapoints keep using the smart app to earn more points to redeem more rewards,4 02 om e f il smart app with just a tap on the smart app click don t miss out now on <URL> for more surprises c tap to load preview you have successfully redeemed all data 99 using 99 gigapoints keep using the smart app to earn more points to redeem more rewards,split_group_8487002071593741861
