dataset_name,source_url,local_filename,file_format,original_label_column,original_text_column,smishing_count,ham_count,language,license_notes,status,notes
UCI SMS Spam Collection,"Thesis records; UCI Machine Learning Repository / Kaggle mirrors",,"TXT/CSV-like",label,raw_text,0,4827,English,"Thesis text notes CC-BY 4.0; verify original source terms before reuse",already_used,"5,574 total; 747 spam rows require manual relabel review and are not automatically smishing."
Mishra & Soni SMS Phishing Dataset for Machine Learning and Pattern Recognition,https://data.mendeley.com/datasets/f45bkkt8pr/1,,CSV,LABEL,TEXT,638,4844,English,"Mendeley source; thesis text says CC-BY 4.0, verify before reuse",already_used,"5,971 total; 489 spam rows require review; URL/EMAIL/PHONE metadata ignored for text-only thesis scope."
SmishTank Dataset / Smishing Dataset I,https://smishtank.com/dataset,,Dataset with metadata columns,verified smishing,Fulltext,1062,0,English,"Research-use/open-access note in thesis; verify current terms before reuse",already_used,"Thesis copy has 1,062 verified phishing SMS; paper reports 1,090 public samples, so current export likely overlaps heavily."
Sting9 Phishing and Scam Message Dataset,https://sting9.org/dataset,,PostgreSQL dump/API advertised but not publicly reachable in Round 2,"message_type, attack_type, threat_level, verified","subject_text/body_text",,,Multilingual,"Dataset page says CC0/Public Domain; license page/footer say ODC-BY-NC with clarifications",needs_review,"Blocked: research hub says dataset access authentication required/coming soon; API returned 401 without auth; no import until access/license resolved."
DIFrauD SMS Domain,https://huggingface.co/datasets/difraud/difraud,,JSONL,label,text,1274,5300,English,MIT,needs_review,"Built from UCI SMS Spam Collection and Mishra & Soni; likely too much overlap for new samples but useful for duplicate/cross-checking."
SMS Smishing Collection Data Set,https://www.kaggle.com/datasets/galactus007/sms-smishing-collection-data-set,,Kaggle files,unknown,unknown,,,English,"Database: Open Database, Contents: Database Contents",rejected,"Modified version of SMS collection to increase URL count; high UCI overlap and altered text."
Multiclass NLP Dataset for Phishing and Social Engineering Threat Detection,https://zenodo.org/records/15235123,,XLSX,Label,Corpus,,,English,"Zenodo DOI 10.5281/zenodo.15235123; open record, confirm license before use",needs_review,"624 anonymized English messages; labels include Phishing and NOT-Malicious, but rows may be email or SMS-like rather than SMS-only."
Bengali SMS Smishing Dataset,https://huggingface.co/datasets/shariul-islam/bengali-sms-smishing-dataset,,Parquet,label,text,3088,,Bengali/English/Banglish/Code-Mixed,MIT,needs_review,"7,705 rows; 3,088 total smish across all language varieties; 1,908 English-source rows total. English smish cross-count still unresolved due API rate limiting."
BangalaBarta: A Spam / Smishing SMS Dataset Bangla,https://data.mendeley.com/datasets/jfkfbw3gzh/2,,CSV/JSON-style,label,text,,,Bangla/Bengali,CC BY-NC-SA 4.0,rejected,"Directly smishing-labeled but outside English-only thesis scope."
itsG/smishing-synthetic,https://huggingface.co/datasets/itsG/smishing-synthetic,,CSV,prompt/completion,prompt,143,,English,"License unclear from searched metadata",rejected,"Synthetic/prompt-style scam analysis rows; not suitable as real public SMS dataset."
MIMICS-3500,https://www.sciencedirect.com/science/article/pii/S0952197625028957,,"Paper describes dataset; download not found",multi-class smishing labels,message,3500,0,English,"ScienceDirect article; dataset access/license not confirmed",needs_review,"Highly relevant but likely overlaps with Kaggle, Mendeley, SmishTank, SpamHunter, and INCIBE sources; locate official data or contact authors before use."
Smishing-4C Dataset,https://ceur-ws.org/Vol-3846/paper06.pdf,,"Paper plus dataset page behind bot check",multi-class category,message,120,0,English,"License not confirmed",needs_review,"Dataset page at gvis.unileon.es/datasets-smishing-4c/ returned a bot-check page; do not bypass. Small multi-class source likely derived from Kaggle and Mendeley smishing samples."
ealvaradob/phishing-dataset,https://huggingface.co/datasets/ealvaradob/phishing-dataset,,JSON/custom HF loader,label,text,638,4844,English,Apache-2.0,rejected,"Compilation includes Mishra & Soni SMS plus email/URL/HTML data; not new SMS data and mixed-modality contamination risk."
angelfonsecar/phishing-compilation,https://github.com/angelfonsecar/phishing-compilation,,CSV,label,text,,,English,MIT,rejected,"Compilation includes Mishra & Soni and UCI plus email datasets; not a new SMS source."
MOZ-Smishing,https://huggingface.co/datasets/MOZNLP/MOZ-Smishing,,CSV,label,text,552,2009,Portuguese,CreativeML OpenRAIL-M,rejected,"SMS-specific and labeled, but outside English-only thesis scope."
ScamNet Fraud Communications Dataset,https://www.scam.ai/research/publication/datasets/scamnet-fraud-communications,,"Contact-only/custom research dataset",unknown,unknown,,,Multi-language,Custom Research License,rejected,"Advertises SMS/Text smishing and normal messages, but not directly public/downloadable and requires contact/custom license."
