candidate_id,source_name,dataset_name,source_group,source_row_id,source_file,message_raw,message_clean,source_label,normalized_label,label_status,review_status,candidate_reason,spam_signal_score,smishing_signal_score,likely_review_bucket,bucket_reason,raw_quality_status,contains_url,contains_phone,contains_otp,contains_amount,suggested_category,scam_category,notes,selection_priority_score,duplicate_key
convspam_662f76b77823,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,2880,data/organized/uci_sms_spam_collection_uniform.csv,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX","Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,16,0,likely_spam_not_smishing,promotional_offer;ringtone_subscription;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,320,hey boys want hot xxx pics sent direct 2 ur phone txt porn to 69855 24hrs free and then just < > per day to stop text stopbcm sf wc1n3xx
convspam_4d0f25bdc850,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,3015,data/organized/uci_sms_spam_collection_uniform.csv,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,16,0,likely_spam_not_smishing,promotional_offer;ringtone_subscription;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,320,free unlimited hardcore porn direct 2 your mobile txt porn to 69200 get free access for 24 hrs then chrgd < > per day txt stop 2exit this msg is free
convspam_ae79f30d9256,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,269,data/organized/uci_sms_spam_collection_uniform.csv,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,0,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,True,True,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,290,ur ringtone service has changed 25 free credits go to < > to choose content now stop txt club stop to < > p wk club < > o < > mk45 2wt
convspam_b004e4cd108a,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,674,data/organized/uci_sms_spam_collection_uniform.csv,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,0,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,False,True,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,290,get ur 1st ringtone free now reply to this msg with tone gr8 top 20 tones to your phone every week just < > per wk 2 opt out send stop < >
convspam_19eb3a98301a,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1994,data/organized/uci_sms_spam_collection_uniform.csv,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,0,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,True,True,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,290,free tones hope you enjoyed your new content text stop to 61610 to unsubscribe help < > p provided by < >
convspam_fcbd46d03b9a,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,2368,data/organized/uci_sms_spam_collection_uniform.csv,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,0,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,False,True,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,290,tone club your subs has now expired 2 re sub reply monoc 4 monos or polyc < > olys 1 weekly < > per week txt stop 2 stop this msg free stream < >
convspam_316f596a63d7,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,3003,data/organized/uci_sms_spam_collection_uniform.csv,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,0,likely_spam_not_smishing,promotional_offer;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,False,False,False,True,adult/chat promo,,UCI spam is preserved for later smishing relabel review.,290,this message is free welcome to the new improved sex dogging club to unsubscribe from this service reply stop msgs < > 18 only
convspam_8a57bd7dfec7,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,3142,data/organized/uci_sms_spam_collection_uniform.csv,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,0,likely_spam_not_smishing,promotional_offer;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,pass_raw_complete,False,False,False,True,adult/chat promo,,UCI spam is preserved for later smishing relabel review.,290,sexy sexy cum and text me im wet and warm and ready for some porn u up for some fun this msg is free recd msgs < > inc vat 2 cancel text stop
convspam_a91c3d20083f,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,265,data/organized/uci_sms_spam_collection_uniform.csv,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,14,3,likely_spam_not_smishing,ringtone_subscription;adult_chat_promo;opt_out_ad;premium_number_ad;payment_bait;original_spam_label,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,288,hey i am really horny want to chat or see me naked text hot to 69698 text charged at < > m to unsubscribe text stop 69698
convspam_ed9a9cbfb128,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,636,data/organized/uci_sms_spam_collection_uniform.csv,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,original_spam_label,13,1,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;prize_reward_ad;link_present;original_spam_label,pass_raw_complete,True,False,False,False,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,286,dear voucher holder 2 claim this weeks offer at your pc go to < > ts cs apply 2 stop texts txt stop to 80062
