old_unified_id,old_message_clean,replacement_candidate_id,replacement_message_raw,replacement_message_clean,replacement_source_name,replacement_dataset_name,match_method,duplicate_check_status,replacement_status,notes
gathered_imc25_english_smish_00002,FRM:<US_DRIVER_LICENSE> SUBJ:-<US_DRIVER_LICENSE> MSG: -<US_DRIVER_LICENSE>.WellsFARGO. <URL>,hf_bengali_sms_smishing_english_smish_0002,Critical: Your Standard Bank account frozen due to suspicious transactions. Fix: standardbank-fix.org,Critical: Your Standard Bank account frozen due to suspicious transactions. Fix: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00003,Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: <URL>,imc25_english_smish_00007,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit https://apple-","Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit <URL>",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00005,"Hi Mum | smashed my phone and I'm using a friends phone to message you and phone is about to die Could you message me on WhatsApp, my new number is <PHONE>",ncsu_sms_phishing_000003,An up to £3 FREEBIE has been dropped onto your account! Claim here: http://pktwn.uk/184ec 24hrs. 40xWR. MaxWD£50 T&C Apply. Stop Msg? Call +441,An up to <AMOUNT> FREEBIE has been dropped onto your account! Claim here: <URL> 24hrs. 40xWR. MaxWD<AMOUNT> T&C Apply. Stop Msg? Call +441,SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00006,Apple: Your Apple Pay has been suspended due to unusual activity. Please visit: <URL> to reactivate your wallet.,smishx_smishing_0003,[emailÂ protected] / TD#Alerts#ID12136 / TD#ID21-(URGENT) Access-Locked. please follow the verification form: https://encurtador.com.br/rzHK6,[emailÂ protected] / TD#Alerts#ID12136 / TD#ID21-(URGENT) Access-Locked. please follow the verification form: <URL>,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00008,"Alert!! Your Cloudflare schedule has been updated, Please tap <URL> to view your changes.",imc25_english_smish_00371,"Your card has been charged $268.00 for the shipping of your MAOSHINE 24"" Caged Ceiling Fan with Lights. Call assistance at 1-888-123-4567 on 05/May/2023","Your card has been charged <AMOUNT> for the shipping of your MAOSHINE 24"" Caged Ceiling Fan with Lights. Call assistance at <PHONE> on 05/May/2023",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00010,"US Post) - Your courier is stuck at the transit center, fill in the delivery address and re-deliver: <URL>",hf_bengali_sms_smishing_english_smish_0003,Your NRB Bank NRI account tax issues detected. Resolve: nrbbank-tax.com,Your NRB Bank NRI account tax issues detected. Resolve: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00011,"Please confirm your shipment details, otherwise your item will be sent back to the sender: <URL>",ncsu_sms_phishing_000008,An   unauthorised   transaction   was   performed   using   your   PTSB   Visa   Card.   You   can   Authorize   or   Cancel   this   request   at:https://permanenttsb-assist.com,An unauthorised transaction was performed using your PTSB Visa Card. You can Authorize or Cancel this request at:<URL>,SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00012,Welcome to the world of adult Dating <URL>,smishx_smishing_0006,"/ ""WFAlert-ID#0641"" / We now need to confirm some of your information:
 https://qi.lv/F0i
 Thank You","/ ""WFAlert-ID#0641"" / We now need to confirm some of your information: <URL> Thank You",SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00013,AN POST: Your package has a <AMOUNT> unpaid fee. To pay this visit <URL>. If this is not paid the package will be returned.,imc25_english_smish_00633,Congratulations! 🏆🏆🏆 You are one of the 100 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ➡️➡️ http://winner@<US_BANK_NUMBER>/tpi23?id=2f57943 Hurry up to pick up your prize today! ⏳⏳,Congratulations! 🏆🏆🏆 You are one of the 100 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ➡️➡️ <URL><US_BANK_NUMBER>/tpi23?id=2f57943 Hurry up to pick up your prize today! ⏳⏳,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00018,We've issued you a <AMOUNT> tax refund for overpayments made in <DATE_TIME>. Check the details. <URL>,hf_bengali_sms_smishing_english_smish_0004,Important message from Bangladesh Bank. Call urgently: +8801812345678,Important message from Bangladesh Bank. Call urgently: <PHONE>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
