unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason
smishtank_752,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,752,1-1/ CID: CO4125 https:http://3260518391/co.php,1-1/ CID: CO4125 https:<URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Other; brand=; sender_type=Email To Text; url=http://3260518391/co.php; domain=dakitis.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,47,9,False,likely_sms,kept_strict_raw,True,
smishtank_751,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,751,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::http://194.87.140.6#yfuy.php Send 0 to stop ==79,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::<URL> Send 0 to stop ==79,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Other; brand=Costco; sender_type=Email To Text; url=http://194.87.140.6#yfuy.php; domain=194.87.140.6,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,104,22,False,likely_sms,kept_strict_raw,True,
smishtank_750,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,750,1-1/ Coscto has good news for User#63817 http://109.236.50.8/CST.php Send 0 to stop,1-1/ Coscto has good news for User#63817 <URL> Send 0 to stop,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Advertisement; brand=Costco; sender_type=Email To Text; url=http://109.236.50.8/CST.php; domain=dakitis.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,83,20,False,likely_sms,kept_strict_raw,True,
uci_000460,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,460,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya","1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,79,18,False,likely_sms,kept_strict_raw,True,
smishtank_471,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,471,1 5 Minute Survey For $100 Gift From Home Depot http://conquerpassing.com/L7NHjn,1 5 Minute Survey For <AMOUNT> Gift From Home Depot <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Advertisement; brand=Home Depot; sender_type=Phone Number; url=http://conquerpassing.com/L7NHjn; domain=conquerpassing.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,80,14,False,likely_sms,kept_strict_raw,True,
smishtank_1107,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1107,(1)-ERROR ALERT-Wells Fargo Confirm Infos instantly: wfmobi1r3st.com,(1)-ERROR ALERT-Wells Fargo Confirm Infos instantly: <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Advertisement; brand=Wells Fargo; sender_type=; url=wfmobi1r3st.com; domain=wfmobi1r3st.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,68,10,False,likely_sms,kept_strict_raw,True,
mishra_004190,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4190,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Enjoy!!!","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#>. 5)Gently remove Ur hand.. Enjoy!!!",ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,130,26,False,needs_review,kept_strict_raw,True,
uci_001374,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1374,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#>. 5)Gently remove Ur hand.. Its interesting..:)",ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,141,27,False,needs_review,kept_strict_raw,True,
mishra_005732,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,5732,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. See what happens","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#>. 5)Gently remove Ur hand.. See what happens",ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,138,28,False,needs_review,kept_strict_raw,True,
uci_004370,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,4370,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,121,29,False,needs_review,kept_strict_raw,True,
