review_candidate_id,original_unified_id,source_name,dataset_name,source_group,source_row_id,source_file,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,data_origin,is_synthetic,source_priority,candidate_reason,contains_url,contains_phone,contains_otp,contains_amount,contains_account_hint,scam_category,service_category,notes,expert_review_normalized_key,duplicate_cluster_id,duplicate_cluster_size,is_duplicate_representative,exclusion_type
erc_bf2be7477133,mishra_000123,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,123,data/organized/combined_public_thesis_sources_uniform.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2.0,needs_smishing_relabel,False,False,False,True,False,,,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6.0,False,
erc_41b151ab3c53,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/combined_public_thesis_sources_deduped_representatives.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2.0,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6.0,False,
erc_3566a9b2155f,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2.0,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6.0,False,
erc_e7b4c74dd42a,mishra_000123,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,123,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2.0,needs_smishing_relabel,False,False,False,True,False,,,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6.0,False,
erc_f4a9552859e2,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/text_verified/combined_public_thesis_sources_deduped_representatives_text_verified.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2.0,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6.0,False,
erc_c9c9b81f14d9,imc25_english_smish_00283,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,GitHub_dataset,imc25_english_smish_00283,data/organized/raw_recovery/collected_smishing_candidates_raw_classified.csv,10-20 McDonald's reward..,10-20 McDonald's reward..,smishing_corpus_row,smishing,,candidate,False,needs_review,public_source,False,6.0,public_candidate_spam,False,False,False,False,False,spam,,Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. Named entity tag: mcdonalds.,10 20 mcdonald s reward,expdup_000006,2.0,False,
erc_8bbba5aac394,mishra_005361,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,5361,data/organized/combined_public_thesis_sources_uniform.csv,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2.0,needs_smishing_relabel,False,True,False,False,False,,,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,100 dating service cal l < > box334sk38ch,expdup_000008,6.0,False,
erc_c7aafc736071,uci_000416,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,416,data/organized/combined_public_thesis_sources_deduped_representatives.csv,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2.0,needs_smishing_relabel,False,True,False,False,False,,,UCI spam is preserved for later smishing relabel review.,100 dating service cal l < > box334sk38ch,expdup_000008,6.0,False,
erc_aa89f4e70dfb,uci_000416,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,416,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l <PHONE> box334sk38ch,spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2.0,needs_smishing_relabel,False,True,False,False,False,,,UCI spam is preserved for later smishing relabel review.,100 dating service cal l < > box334sk38ch,expdup_000008,6.0,False,
erc_4bc4fa6ba903,mishra_005361,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,5361,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l <PHONE> box334sk38ch,spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2.0,needs_smishing_relabel,False,True,False,False,False,,,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,100 dating service cal l < > box334sk38ch,expdup_000008,6.0,False,
