id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
ncsu_sms_phishing_010631,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"Evri: Your parcel has a £1.45 shipping fee, to pay this now visit: <URL> Failure will result in your parcel being returned to sender.",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=10630; objectID=635962a2d3a64c5ca5766b6f; sender=+44754353XXXX; timestamp=1666138664.0; error_in_time=0.0.
ncsu_sms_phishing_043904,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 .=%}@",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=43903; objectID=6452ab095c7bf612f693b27b; sender=+18183553102; timestamp=1683163602.0; error_in_time=120.0.
ncsu_sms_phishing_061224,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New TRXE~Login || <URL> || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ jDPvNY",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=61223; objectID=6461ca77eeb40fffa3f789c7; sender=+16262174980; timestamp=1684152048.0; error_in_time=120.0.
ncsu_sms_phishing_027917,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ #.*]%",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=27916; objectID=6444762c14b72b96ca739ac2; sender=+16289992825; timestamp=1682182362.0; error_in_time=0.0.
ncsu_sms_phishing_025975,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ ([@】]",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=25974; objectID=64411b47089affb1e0e67289; sender=+628999; timestamp=1682012808.0; error_in_time=120.0.
ncsu_sms_phishing_003886,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"CApost: Due to additional costs (3,99CAD), we have not been able to deliver your package 90365367342CA. Schedule delivery: <URL>",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=3885; objectID=62f4b76f975661dfe82abe6d; sender=+17633439XXX; timestamp=1659886755.0; error_in_time=0.0.
ncsu_sms_phishing_043059,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 ,#:!-",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=43058; objectID=6452046736684509970463de; sender=+1818355XXXX; timestamp=1683110624.0; error_in_time=7200.0.
ncsu_sms_phishing_040426,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,882,406.19ÙŠÐТ ^%#【[",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=40425; objectID=6450323a192e1e034b048379; sender=+16262174339; timestamp=1683001543.0; error_in_time=120.0.
ncsu_sms_phishing_057016,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,487.35 ~~~~ qhABB",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=57015; objectID=645ec4e48a1e1080732ae665; sender=+19095283770; timestamp=1683954133.0; error_in_time=120.0.
ncsu_sms_phishing_033858,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New KERC L0gin || <URL> || You Login code: <OTP> Total: 3,936,438.26ÙŠÐТ #*}-,",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=33857; objectID=644a2cb2cf9365437087e589; sender=+16289990610; timestamp=1682557296.0; error_in_time=0.0.
ncsu_sms_phishing_039001,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,882,406.19ÙŠÐТ 【*)-:",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=39000; objectID=644f1e505c087e7ecdc97bf7; sender=+16262174339; timestamp=1682876979.0; error_in_time=0.0.
ncsu_sms_phishing_030008,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ %[/!^",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=30007; objectID=6446c504685f5e6a8c69a5af; sender=+16289992825; timestamp=1682331805.0; error_in_time=0.0.
ncsu_sms_phishing_060367,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New COIN~Login || <URL> || Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ JMcWU",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=60366; objectID=64617706f1205ef44b011217; sender=+16262174980; timestamp=1684078013.0; error_in_time=0.0.
ncsu_sms_phishing_051015,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,187.78 ~~~ MeDaW",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=51014; objectID=64598432ab51e18ba9f3b905; sender=+18183553102; timestamp=1683562491.0; error_in_time=7200.0.
ncsu_sms_phishing_043186,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 ,-,,(",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=43185; objectID=6452067802abb2e5d461e6c1; sender=+1818355XXXX; timestamp=1683114753.0; error_in_time=7200.0.
ncsu_sms_phishing_064747,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New TRXE~Login || <URL> || Username:Rom88 P***word:R66888 Balance:3,953,395.68~~~ WpaWVu",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=64746; objectID=6463550061776c755e3d1b68; sender=unknown; timestamp=1684200914.0; error_in_time=0.0.
ncsu_sms_phishing_035023,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ []))]",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=35022; objectID=644af15965d46953d3d8292c; sender=+16289992825; timestamp=1682607619.0; error_in_time=0.0.
ncsu_sms_phishing_051351,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 Acc***t Login:Rom88 P****od:R66888 Asse1ts:3,953,720.95 ~~~ LKLZba",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=51350; objectID=645ba45895dc3661b05db30d; sender=+16266386703; timestamp=1683700975.0; error_in_time=0.0.
ncsu_sms_phishing_048936,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 】.:}}",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=48935; objectID=6455fb021ff8e5ec9dccea29; sender=+1818355XXXX; timestamp=1683380863.0; error_in_time=120.0.
ncsu_sms_phishing_054048,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 Ac***nt Login:Rom88 P*****od:R66888 Asse1ts:3,975,720.88 ~~~ zAlfwY",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=54047; objectID=645d51ff3764d5ed4fd9b012; sender=+16266386703; timestamp=1683862155.0; error_in_time=60.0.
ncsu_sms_phishing_041320,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,985,239.41Ù Š Ð Т ^】【*】",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=41319; objectID=6451215093e98bd99275846f; sender=+16262174339; timestamp=1683060709.0; error_in_time=120.0.
ncsu_sms_phishing_015209,SMS Phishing Dataset,wspr-ncsu/sms-phishing,^[ <URL> ] ̲U̲s̲e̲r̲name: Rom88 P̲a̲s̲s̲w̲o̲r̲d̲：R66888,smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=15208; objectID=6391cbf9c79ebbc4f30ecdea; sender=+17067738684; timestamp=1670496394.0; error_in_time=0.0.
ncsu_sms_phishing_041395,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,882,406.19ÙŠÐТ -]-{}",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=41394; objectID=6451339023d2c20a37f5692b; sender=+16262174339; timestamp=1683066941.0; error_in_time=120.0.
ncsu_sms_phishing_033845,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"New VTRC L0gin || <URL> || You Login code: <OTP> Total: 3,880,037.54ÙŠÐТ ,*).[",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=33844; objectID=644a2bf8cf9365437087a4d7; sender=unknown; timestamp=1682556609.0; error_in_time=0.0.
ncsu_sms_phishing_040842,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 *{^[%",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=40841; objectID=6450c309743a66c3afaca1b2; sender=+1818355XXXX; timestamp=1683038914.0; error_in_time=120.0.
ncsu_sms_phishing_016425,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"Your USDTCOIN Access [ <URL> ] Username:Mak88 Login code:<OTP> Balance:1,654,293.49 USDT #",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=16424; objectID=63b3fcb0ac744f3f3b85cbda; sender=+12133991576; timestamp=1672764221.0; error_in_time=120.0.
ncsu_sms_phishing_055853,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,887.11 ~~~ WXyiM",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=55852; objectID=645e56ec1c86026f6b95f6ee; sender=+16262322534; timestamp=1683928141.0; error_in_time=120.0.
ncsu_sms_phishing_046301,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,976,861.59Ù {%:!:",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=46300; objectID=6453f4cab9f5a7404d05bf26; sender=unknown; timestamp=1683193304.0; error_in_time=0.0.
ncsu_sms_phishing_052215,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 Ac***nt Login:Rom88 P*****od:R66888 Asse1ts:3,975,720.88 ~~~ NXBgnN",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=52214; objectID=645c4d2bdad2e1e4c43bc65b; sender=+16266386703; timestamp=1683745379.0; error_in_time=0.0.
ncsu_sms_phishing_001687,SMS Phishing Dataset,wspr-ncsu/sms-phishing,[email protected] / v / <URL>,smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=1686; objectID=628e901b45d88c9f7a0e31e0; sender=MoneyLion; timestamp=1653258254.0; error_in_time=0.0.
ncsu_sms_phishing_052756,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"【 <URL> 】 Ac***nt Login:Rom88 P****ord:R66888 Usa1ble:3,983,695.28~~~ UDjb",smishing,candidate,other,unknown,unique,Imported from wspr-ncsu/sms-phishing all-positive phishing corpus. messageID=52755; objectID=645cd99cff60216548eb6b94; sender=+16263224373; timestamp=1683777407.0; error_in_time=0.0.
