unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason,content_quality_status,content_quality_flags,smishing_signal_score,non_smishing_reason,suggested_action,campaign_template_key,campaign_cluster_id,campaign_cluster_size,campaign_duplicate_status,is_campaign_representative,campaign_representative_reason,content_filter_status,content_filter_reason,content_replacement_candidate_id,removed_original_unified_id,strong_campaign_family_key,strong_campaign_family_id,strong_campaign_family_size,strong_campaign_family_status,strong_campaign_family_reason,row_position_1based
smishtank_752,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,752,1-1/ CID: CO4125 https:http://3260518391/co.php,1-1/ CID: CO4125 https:<URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Other; brand=; sender_type=Email To Text; url=http://3260518391/co.php; domain=dakitis.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,47,9,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,callback_phone;url_or_domain,3,,keep,1 1 cid co4125 https < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 1 cid co4125 https <url>,,1,unique_family,single-row strong campaign family,1
smishtank_751,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,751,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::http://194.87.140.6#yfuy.php Send 0 to stop ==79,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::<URL> Send 0 to stop ==79,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Other; brand=Costco; sender_type=Email To Text; url=http://194.87.140.6#yfuy.php; domain=194.87.140.6,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,104,22,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,callback_phone;url_or_domain,3,,keep,1 1 co stco holidays for cid < > https < > http < > < > send 0 to stop 79,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 1 co stco holidays for cid <num> https <num> <url> send 0 to stop 79,,1,unique_family,single-row strong campaign family,2
smishtank_750,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,750,1-1/ Coscto has good news for User#63817 http://109.236.50.8/CST.php Send 0 to stop,1-1/ Coscto has good news for User#63817 <URL> Send 0 to stop,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Advertisement; brand=Costco; sender_type=Email To Text; url=http://109.236.50.8/CST.php; domain=dakitis.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,83,20,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,callback_phone;url_or_domain,3,,keep,1 1 coscto has good news for user < > http < > < > send 0 to stop,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 1 coscto has good news for user <num> <url> send 0 to <rand>,,1,unique_family,single-row strong campaign family,3
smishtank_471,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,471,1 5 Minute Survey For $100 Gift From Home Depot http://conquerpassing.com/L7NHjn,1 5 Minute Survey For <AMOUNT> Gift From Home Depot <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Advertisement; brand=Home Depot; sender_type=Phone Number; url=http://conquerpassing.com/L7NHjn; domain=conquerpassing.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,80,14,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,url_or_domain,2,,keep,1 5 minute survey for < > gift from home depot < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 5 minute survey for <amount> gift from home depot <url>,,1,unique_family,single-row strong campaign family,5
smishtank_1107,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1107,(1)-ERROR ALERT-Wells Fargo Confirm Infos instantly: wfmobi1r3st.com,(1)-ERROR ALERT-Wells Fargo Confirm Infos instantly: <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Advertisement; brand=Wells Fargo; sender_type=; url=wfmobi1r3st.com; domain=wfmobi1r3st.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,68,10,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,action_request;urgency_or_security;url_or_domain,5,,keep,1 error alert wells fargo confirm infos instantly < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 error alert wells fargo confirm infos instantly wfmobi1r3st com,,1,unique_family,single-row strong campaign family,6
smishtank_1665,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1665,"1 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS]","1 [I.R.S ] You will receive a tax refund of <AMOUNT>, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. <URL> (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS]",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Finance/Crypto; brand=IRS; sender_type=Phone Number; url=https://irs.gov.direct-capitals.com; domain=irs.gov.direct-capitals.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_too_long; sms_likeness_status=possible_multipart_sms.,540,89,True,possible_multipart_sms,kept_strict_raw,True,,pass_likely_smishing,account_payment_credential;action_request;government_theme;urgency_or_security;url_or_domain,8,,keep,1 i r s you will receive a tax refund of < > but cannot process it due to incomplete personal information in order to expedite the processing of your refund and avoid potential delays or penalties please provide accurate personal information immediately to ensure precise payment deadline november < > < > please reply y then exit the message reopen the message to activate the link or copy the link and open it in the safari browser thank you for your cooperation sincerely irs,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 i r s you will receive a tax refund of <amount> but cannot process it due to incomplete personal information in order to expedite the processing of your refund and avoid potential delays or penalties please provide accurate personal information immediately to ensure precise payment deadline november <num> <url> please reply y then exit the message reopen the message to activate the link or copy the link and open it in the safari browser thank you for your cooperation sincerely irs,,1,unique_family,single-row strong campaign family,11
smishtank_1511,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1511,"1 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-paying.com (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.","1 [I.R.S ] You will receive a tax refund of <AMOUNT>, but cannot process it due to incomplete personal information. Please confirm your information in the link. <URL> (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Account Alert; brand=IRS; sender_type=Phone Number; url=https://irs.gov.direct-paying.com; domain=irs.gov.direct-paying.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_too_long; sms_likeness_status=possible_multipart_sms.,464,83,True,possible_multipart_sms,kept_strict_raw,True,,pass_likely_smishing,action_request;government_theme;url_or_domain,5,,keep,1 i r s you will receive a tax refund of < > but cannot process it due to incomplete personal information please confirm your information in the link < > please reply y then exit the sms open the sms activation link again or copy the link and open it in safari browser the mission of the irs is to help american taxpayers understand and meet their tax obligations and to provide them with the highest quality service,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 i r s you will receive a tax refund of <amount> but cannot process it due to incomplete personal information please confirm your information in the link <url> please reply y then exit the sms open the sms activation link again or copy the link and open it in safari browser the mission of the irs is to help american taxpayers understand and meet their tax obligations and to provide them with the highest quality service,,1,unique_family,single-row strong campaign family,12
smishtank_153,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,153,"1 of 2 FRM:30533 SUBJ:9/17/2022 4:08:58 PM MSG:Wells Fargo SecurityCenter Critical notification! Please follow the link, for more details: (Con't) 2 of 2 https://docs.google.com/forms/d/e/1FAlpQLSeUlz-jIFAYDmtl2s9pEJSgVUHX_S33qw9twmXUqoO7_OCLkw/viewform?usp=sf_link?WuRW ERROR-051178 (End)","1 of 2 FRM:30533 SUBJ:9/17/2022 4:08:58 PM MSG:Wells Fargo SecurityCenter Critical notification! Please follow the link, for more details: (Con't) 2 of 2 <URL> ERROR-051178 (End)",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Account Alert; brand=Wells Fargo; sender_type=Phone Number; url=https://docs.google.com/forms/d/e/1FAlpQLSeUlz-jIFAYDmtl2s9pEJSgVUHX_S33qw9twmXUqoO7_OCLkw/viewform?usp=sf_link?WuRW; domain=docs.google.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,289,50,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,url_or_domain,2,,keep,1 of 2 frm < > subj 9 17 < > 08 58 pm msg wells fargo securitycenter critical notification please follow the link for more details con t 2 of 2 < > error < > end,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 of 2 frm <num> subj 9 17 <num> 08 58 pm msg wells fargo securitycenter critical notification please follow the link for more details con t 2 of 2 <url> error <num> end,,1,unique_family,single-row strong campaign family,14
smishtank_107,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,107,1 of 2 FRM:GetaPrizeBrand.com sms_id_YBJ431 MSG: Since youre a appreciated customer of Home Depot we have a gift valued at $100 dedicated to you (Con't 2 of 2 for your time. Just acknowledge this three question survey and you'll be compensated. sms_id_YBJ431| (End),1 of 2 FRM:<URL> sms_id_YBJ431 MSG: Since youre a appreciated customer of Home Depot we have a gift valued at <AMOUNT> dedicated to you (Con't 2 of 2 for your time. Just acknowledge this three question survey and you'll be compensated. sms_id_YBJ431| (End),verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Prize/Contest; brand=Home Depot; sender_type=Phone Number; url=GetaPrizeBrand.com; domain=getaprizebrand.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,265,51,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,url_or_domain,2,,keep,1 of 2 frm < > sms id ybj431 msg since youre a appreciated customer of home depot we have a gift valued at < > dedicated to you con t 2 of 2 for your time just acknowledge this three question survey and you ll be compensated sms id ybj431 end,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 of 2 frm getaprizebrand com sms id ybj431 msg since youre a appreciated customer of home depot we have a gift valued at <amount> dedicated to you con t 2 of 2 for your time just acknowledge this three question survey and you ll be compensated sms id ybj431 end,,1,unique_family,single-row strong campaign family,15
smishtank_183,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,183,"1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a $20 hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)","1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a <AMOUNT> hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Job Advertisement; brand=; sender_type=Phone Number; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,250,46,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,account_payment_credential;action_request,4,,keep,1 of 2 frm extra income for you msg hello are you interested in a < > hourly working from home job training 1 week payment con t 2 of 2 weekly experience not needed location anywhere of your choice kindly reply with yes to proceed end,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1 of 2 frm extra income for you msg hello are you interested in a <amount> hourly working from home job training 1 week payment con t 2 of 2 weekly experience not needed location anywhere of your choice kindly reply with yes to proceed end,,1,unique_family,single-row strong campaign family,16
