unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels
mishra_000001,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,1,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,your opinion about me 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not matured 8 stylish 9 simple pls reply,dup_005122,5,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_000002,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,2,What's up? Do you want me to come online? If you are free we can talk sometime�,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,what s up do you want me to come online if you are free we can talk sometime,,1,true,Mishra & Soni,ham
mishra_000003,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,3,So u workin overtime nigpun?,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,so u workin overtime nigpun,dup_003716,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_000004,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,also sir i sent you an email about how to log into the usc payment portal i ll send you another message that should explain how things are back home have a great weekend,dup_000211,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_000005,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,5,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,Smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,please stay at home to encourage the notion of staying at home all tax paying citizens are entitled to <num> 96 or more emergency refund <url>,,1,true,Mishra & Soni,smishing
mishra_000006,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,6,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,Smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=yes; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,bankofamerica alert <num> please follow <url> re activate,,1,true,Mishra & Soni,smishing
mishra_000007,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,7,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,sorry dude dont know how i forgot even after dan reminded me sorry hope you guys had fun,dup_003759,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_000008,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,8,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,i don t quite know what to do i still can t get hold of anyone i cud pick you up bout 7 30pm and we can see if they re in the pub,dup_001849,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_000009,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,9,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,ok lor anyway i thk we cant get tickets now cos like quite late already u wan 2 go look 4 ur frens a not darren is wif them now,dup_003223,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_000010,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,10,Wat r u doing now?,ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,wat r u doing now,dup_004450,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
