script_name,old_path,organized_path,pipeline_stage,purpose,current_status,notes
organize_public_sources.py,scripts/organize_public_sources.py,scripts/public_sources/organize_public_sources.py,public_sources,Standardize public source files into uniform schema.,organized_copy_present,Original retained for legacy compatibility.
validate_uniform_sources.py,scripts/validate_uniform_sources.py,scripts/public_sources/validate_uniform_sources.py,public_sources,Validate uniform public source outputs.,organized_copy_present,Original retained for legacy compatibility.
analyze_uniform_duplicates.py,scripts/analyze_uniform_duplicates.py,scripts/public_sources/analyze_uniform_duplicates.py,public_sources,Audit duplicate overlap across public sources.,organized_copy_present,Original retained for legacy compatibility.
verify_and_add_raw_clean_text_columns.py,scripts/verify_and_add_raw_clean_text_columns.py,scripts/raw_text/verify_and_add_raw_clean_text_columns.py,raw_text,Verify raw and clean text fields.,organized_copy_present,Original retained for legacy compatibility.
classify_raw_text_availability.py,scripts/classify_raw_text_availability.py,scripts/raw_text/classify_raw_text_availability.py,raw_text,Classify raw text availability.,organized_copy_present,Original retained for legacy compatibility.
recover_gathered_7k_raw_text.py,scripts/recover_gathered_7k_raw_text.py,scripts/raw_text/recover_gathered_7k_raw_text.py,raw_text,Recover raw text for gathered 7k candidates when available.,missing_organized_copy,Original not present in legacy scripts root.
recover_or_replace_redacted_gathered_smishing.py,scripts/recover_or_replace_redacted_gathered_smishing.py,scripts/raw_text/recover_or_replace_redacted_gathered_smishing.py,raw_text,Recover or replace redacted gathered smishing rows.,organized_copy_present,Original retained for legacy compatibility.
audit_strict_raw_text_quality.py,scripts/audit_strict_raw_text_quality.py,scripts/raw_text/audit_strict_raw_text_quality.py,raw_text,Audit strict raw text quality.,organized_copy_present,Original retained for legacy compatibility.
repair_strict_raw_text_dataset.py,scripts/repair_strict_raw_text_dataset.py,scripts/raw_text/repair_strict_raw_text_dataset.py,raw_text,Repair strict raw text dataset.,organized_copy_present,Original retained for legacy compatibility.
audit_smishing_content_quality.py,scripts/audit_smishing_content_quality.py,scripts/content_quality/audit_smishing_content_quality.py,content_quality,Audit smishing content quality.,organized_copy_present,Original retained for legacy compatibility.
detect_smishing_campaign_templates.py,scripts/detect_smishing_campaign_templates.py,scripts/content_quality/detect_smishing_campaign_templates.py,content_quality,Detect campaign-template repeats.,organized_copy_present,Original retained for legacy compatibility.
build_content_quality_filtered_dataset.py,scripts/build_content_quality_filtered_dataset.py,scripts/content_quality/build_content_quality_filtered_dataset.py,content_quality,Build content-quality-filtered dataset.,organized_copy_present,Original retained for legacy compatibility.
audit_strong_campaign_families.py,scripts/audit_strong_campaign_families.py,scripts/content_quality/audit_strong_campaign_families.py,content_quality,Audit strong campaign families.,organized_copy_present,Original retained for legacy compatibility.
