review_candidate_id,original_unified_id,source_name,dataset_name,source_group,source_row_id,source_file,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,data_origin,is_synthetic,source_priority,candidate_reason,contains_url,contains_phone,contains_otp,contains_amount,contains_account_hint,scam_category,service_category,notes,expert_review_normalized_key,duplicate_cluster_id,duplicate_cluster_size,is_duplicate_representative
erc_3d65cd010f6a,replacement_ncsu_sms_phishing_015008,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,ncsu_sms_phishing_015008,data/organized/content_quality/content_removed_archive.csv,"073635 WithdrawaI code: 493988. lf this was not generated by you, canceI here immediateIy: https://kucoinverify.com/ Worldrowan","073635 WithdrawaI code: <OTP>. lf this was not generated by you, canceI here immediateIy: <URL> Worldrowan",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,public_source,False,5,excluded_from_smishing_review,True,False,True,False,False,,,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_015008; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,073635 withdrawai < > lf this was not generated by you cancei here immediateiy < > worldrowan,expdup_000001,1,True
erc_78aefc7329b2,replacement_ncsu_sms_phishing_015026,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,ncsu_sms_phishing_015026,data/organized/campaign_family_quality/strong_campaign_family_excluded_archive.csv,"073635WithdrawaI code:493988. lf this was not generated by you, canceI here immediateIy: https://kucoinverify.com/ Worldrowan","073635WithdrawaI code:493988. lf this was not generated by you, canceI here immediateIy: <URL> Worldrowan",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,public_source,False,5,excluded_from_smishing_review,True,False,False,False,False,,,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_015026; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,073635withdrawai < > lf this was not generated by you cancei here immediateiy < > worldrowan,expdup_000002,1,True
erc_52193a350cc0,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/combined_public_thesis_sources_uniform.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6,True
erc_bf2be7477133,mishra_000123,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,123,data/organized/combined_public_thesis_sources_uniform.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2,needs_smishing_relabel,False,False,False,True,False,,,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6,False
erc_41b151ab3c53,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/combined_public_thesis_sources_deduped_representatives.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,,public_source,False,2,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6,False
erc_3566a9b2155f,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6,False
erc_e7b4c74dd42a,mishra_000123,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,123,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2,needs_smishing_relabel,False,False,False,True,False,,,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6,False
erc_f4a9552859e2,uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,data/organized/text_verified/combined_public_thesis_sources_deduped_representatives_text_verified.csv,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,True,original_unredacted,public_source,False,2,needs_smishing_relabel,False,False,False,True,False,,,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,expdup_000003,6,False
erc_f1a8496ce0aa,replacement_imc25_english_smish_08105,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,imc25_english_smish_08105,data/organized/content_quality/content_removed_archive.csv,"1 new alert from Scotiabank:
Scotia Mobile Banking",1 new alert from Scotiabank: Scotia Mobile Banking,smishing_corpus_row,smishing,accepted,candidate,True,original_unredacted,public_source,False,5,weak_signal_suspicious,False,False,False,False,False,,,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_08105; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=banking,1 new alert from scotiabank scotia mobile banking,expdup_000004,1,True
erc_2bbd1841cc5d,replacement_imc25_english_smish_00156,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,imc25_english_smish_00156,data/organized/content_quality/content_removed_archive.csv,"(1) U have usdt
(2) How can u invest and register
(3) How can u participate
Send me a message by",(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by,smishing_corpus_row,smishing,accepted,candidate,True,original_unredacted,public_source,False,5,weak_signal_suspicious,False,False,False,True,False,,,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_00156; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,1 u have usdt 2 how can u invest and register 3 how can u participate send me a message by,expdup_000005,1,True
erc_bea6fe20e4c8,imc25_english_smish_00283,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,GitHub_dataset,imc25_english_smish_00283,data/raw/collected_smishing_candidates.csv,10-20 McDonald's reward..,,smishing_corpus_row,smishing,,candidate,True,pending,public_source,False,6,public_candidate_spam,False,False,False,False,False,spam,,Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. Named entity tag: mcdonalds.,10 20 mcdonald s reward,expdup_000006,2,True
