record_id,screenshot_file,source,visible_date_label,cleaned_text,redactions_applied,notes
3,analysisdataset (2).csv,Costco,"03/31/2022, 21:58:50","Costco: <NAME>, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: <URL>/RzNKEws Zve",<URL>; <NAME>,
5,analysisdataset (2).csv,UPS,"04/02/2022, 02:59:56","Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",,
6,analysisdataset (2).csv,WELLS FARGO,"04/02/2022, 03:03:00","<URL> WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",<URL>,
7,analysisdataset (2).csv,Unknown,"04/02/2022, 23:42:38","Hi, are you who played golf together last time? I'm <NAME>",<NAME>,
8,analysisdataset (2).csv,Phone Number,"04/02/2022, 23:46:34","(8 Hi <NAME> no see, I'm <NAME>, how are you doing",<NAME>,
10,analysisdataset (2).csv,Phone Number,"04/03/2022, 00:14:52","hi <NAME>, it's been a long time since I came out, what are you doing recently?",<NAME>,
11,analysisdataset (2).csv,Whatsapp,"04/03/2022, 00:16:34","Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://<URL>/ Djci PB8b7gTGGt16QJ5mJm",<URL>,
12,analysisdataset (2).csv,CITI,"04/03/2022, 00:43:01","CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at <URL> or at a local branch.",<URL>,
13,analysisdataset (2).csv,Phone Number,"04/03/2022, 01:48:17","Evanie, I'm <NAME>, how have you been, I'm <NAME>.",<NAME>,
14,analysisdataset (2).csv,Phone Number,"04/03/2022, 01:50:49","Hello! I'm <NAME>. Are you Annie? I'm <NAME>. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",<NAME>,
15,analysisdataset (2).csv,Bank of America,"04/03/2022, 02:12:57","BofA:Your account has been restricted, visit <URL>",<URL>,
16,analysisdataset (2).csv,Phone Number,"04/03/2022, 02:41:54",<URL> AVOI6Y,<URL>,
17,analysisdataset (2).csv,Phone Number,"04/03/2022, 15:31:07","Amazing news!, your application has been accepted. Finish the process: <URL>",<URL>,
18,analysisdataset (2).csv,Phone Number,"04/04/2022, 05:39:30",<URL> br7ca2,<URL>,
19,analysisdataset (2).csv,Phone Number,"04/04/2022, 12:51:18","Hey <NAME>, help us answer a fast survey. We will give you a free watch in return. <URL> Txt Stop to end",<URL>; <NAME>,
21,analysisdataset (2).csv,Unknown,"04/04/2022, 23:04:36",Hi! I am <NAME>'s friend. Are you the Smith that Lisa recommended to me? I am <NAME>.,<NAME>,
22,analysisdataset (2).csv,FedEx,"04/05/2022, 01:34:03",1 of 2 FRM:japho-Fe d3x.Ne.ws - MSG: Unsuccessful package from 1 April owed to you. Kindly assume ownership and confirm for delivery. (Con't) 2 of 2 <URL>(End) O?,<URL>,
23,analysisdataset (2).csv,Bank of America,"04/05/2022, 05:34:09",<Subject: c4c26> Z??? Bank Of America Hurry up ! Offers Have arrived! ($$90 value). /.//storag e.googleapis.com/jzoxubc/1fhg3lf BANK OF AMERICA,,
24,analysisdataset (2).csv,Phone Number,"04/07/2022, 01:28:38",You received money. Reply <<ok>> for details.,,
25,analysisdataset (2).csv,Phone Number,"04/08/2022, 10:35:11","<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
26,analysisdataset (2).csv,Phone Number,"04/08/2022, 16:34:29","<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
27,analysisdataset (2).csv,CashBack,"04/08/2022, 19:27:43",Your 2021 Auto-Policy may have Been Over-charged by 1275. Check for Possible CashBackfor 2022. <URL>,<URL>,
28,analysisdataset (2).csv,FedEx,"04/08/2022, 19:45:41","FRM:719132-Fed_EX.906697 MSG:flm-;it will be returned to sender, We have made several attempts to reach you, <URL>",<URL>,
29,analysisdataset (2).csv,wepay,"04/08/2022, 20:02:51","Dale We are interested in buying your home for cash, as-is, at or above any valid offer. Valid: 4/8 <URL>",<URL>,
30,analysisdataset (2).csv,Phone Number,"04/08/2022, 22:43:37","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
