id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
smishx_smishing_0246,SmishX,yizhu-joy/SmishX,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: <URL> STOP? Send STOP FRND to <OTP>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
imc25_english_smish_08774,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your account has been temporarily limited. Please follow the link to restore access: <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: PayPal. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08195,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,I work with Lombard Bank. Can i trust you with a business worth $35.9 million? reply ONLY to my email <EMAIL_ADDRESS>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed. Named entity tag: lombard bank. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_15464,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"We attempted to deliver your parcel however nobody was available to receive it. To schedule your redelivery now, go to: <URL>",smishing,approved,delivery,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: auspost. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_13322,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear user your SBI Netbanking will be blocked <DATE_TIME> update your PAN CARD <URL> thanks SBI Nayara RPMS,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: State Bank of India. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_16839,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,NHS: You have been in close contact with someone who has recently tested positive for Omicron. You need to book a test kit: <URL>,smishing,approved,government,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: nhs. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_15578,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Your parcel has a £1.45 shipping fee, to pay this now visit: <URL>. Failure will result in your parcel being returned to sender.",smishing,approved,delivery,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: distraction,need and greed,time/urgency. Named entity tag: evri-reschedule-deliveries.com. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_17103,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Load confirmation on the app! <URL> (link expires) Booking <PHONE_NUMBER> PIN <OTP>,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: booking.com. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03289,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,<NAMED_ENTITY> your A/C Will be Hold Some <DATE_TIME>. please update your Pancard now visit the link <URL>,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04859,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Electric Power <URL>r electrical power will be cut <DATE_TIME> at <DATE_TIME> Because your pervious month bill is not updated Call immediately <DATE_TIME> thanks,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
