cluster_signature,cluster_size,id,source_name,review_status,message_clean
placeholder dear lisa the account has been reset for you the new login code number remaining value number,3868,ncsu_sms_phishing_040701,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 ^%-.!"
placeholder dear lisa the account has been reset for you the new login code number remaining value number,3868,ncsu_sms_phishing_040702,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 .*-=-"
placeholder dear lisa the account has been reset for you the new login code number remaining value number,3868,ncsu_sms_phishing_040703,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 (^)(!"
placeholder dear lisa the account has been reset for you the new login code number remaining value number,3868,ncsu_sms_phishing_040704,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 !/!,="
placeholder dear lisa the account has been reset for you the new login code number remaining value number,3868,ncsu_sms_phishing_040705,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3,852,287.99 @[email protected]}"
placeholder unt login rom88 word r66888 usable number number number,2490,ncsu_sms_phishing_032680,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ ,[.(["
placeholder unt login rom88 word r66888 usable number number number,2490,ncsu_sms_phishing_032683,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ }【%{【"
placeholder unt login rom88 word r66888 usable number number number,2490,ncsu_sms_phishing_032684,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,4"
placeholder unt login rom88 word r66888 usable number number number,2490,ncsu_sms_phishing_032688,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ &:%-]"
placeholder unt login rom88 word r66888 usable number number number,2490,ncsu_sms_phishing_032689,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ ]【*-["
