final_row_id,source_final_row_id,message_raw,message_clean,model_text,normalized_label,label_id,source_name,dataset_name,source_group,data_origin,is_synthetic,label_status,review_status,service_category,scam_category,source_file,notes
v3_public_manual_research_synthetic_row_000001,v3_public_manual_research_synthetic_row_000001,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on tbplus88.com,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000001; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000002,v3_public_manual_research_synthetic_row_000002,"Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! ikrfhf.de","Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! <URL>","Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! <URL>",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000002; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000003,v3_public_manual_research_synthetic_row_000003,"Free P200 and 120 Free Spins Today! Join our https://bit.ly/ 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.","Free P200 and 120 Free Spins Today! Join our <URL> 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.","Free P200 and 120 Free Spins Today! Join our <URL> 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,account_security,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000003; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000004,v3_public_manual_research_synthetic_row_000004,"Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at BangoWin.com","Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at <URL>","Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at <URL>",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000004; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000005,v3_public_manual_research_synthetic_row_000005,"FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : free.lucky.ph/funny","FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : <URL>","FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : <URL>",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000005; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000006,v3_public_manual_research_synthetic_row_000006,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,telecom,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000006; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000007,v3_public_manual_research_synthetic_row_000007,- Turn ON mobile data.,- Turn ON mobile data.,- Turn ON mobile data.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000007; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000008,v3_public_manual_research_synthetic_row_000008,- Open GlobeOne and tap Register your SIM.,- Open GlobeOne and tap Register your SIM.,- Open GlobeOne and tap Register your SIM.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,telecom,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000008; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000009,v3_public_manual_research_synthetic_row_000009,- Fill out the form with accurate details.,- Fill out the form with accurate details.,- Fill out the form with accurate details.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000009; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000010,v3_public_manual_research_synthetic_row_000010,- Upload a clear photo of a valid government ID.,- Upload a clear photo of a valid government ID.,- Upload a clear photo of a valid government ID.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000010; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000011,v3_public_manual_research_synthetic_row_000011,"- Take a selfie (portrait mode, no accessories, plain background, well-lit).","- Take a selfie (portrait mode, no accessories, plain background, well-lit).","- Take a selfie (portrait mode, no accessories, plain background, well-lit).",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000011; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000012,v3_public_manual_research_synthetic_row_000012,- Complete your registration— you're all set!,- Complete your registration— you're all set!,- Complete your registration— you're all set!,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000012; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000013,v3_public_manual_research_synthetic_row_000013,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,telecom,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000013; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000014,v3_public_manual_research_synthetic_row_000014,"Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.","Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.","Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,telecom,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000014; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000015,v3_public_manual_research_synthetic_row_000015,"Get up to Php 18,000 eGCs for fuel, groceries, and more with a new BPI Credit Card - plus waived annual fees*! Apply in just 3 minutes via the BPI app or BPI online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to 22565068 until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to 09221101742 to unsubscribe.","Get up to Php 18,000 eGCs for fuel, groceries, and more with a new BPI Credit Card - plus waived annual fees*! Apply in just 3 minutes via the BPI app or BPI online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to <ACCT> until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to <PHONE> to unsubscribe.","Get up to Php 18,000 eGCs for fuel, groceries, and more with a new BPI Credit Card - plus waived annual fees*! Apply in just 3 minutes via the BPI app or BPI online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to <ACCT> until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to <PHONE> to unsubscribe.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000015; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
