id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
smishx_smishing_0008,SmishX,yizhu-joy/SmishX,Slt mon chou je suis infirmiere quand jai du temps libre jaime enlever ma blouse je connais tres bien le corps humain Alex. RDV ici <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row has non-English or encoding leakage; manual thesis fit check needed. confidence=medium
smishx_smishing_0011,SmishX,yizhu-joy/SmishX,<URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row is outside normal SMS length or too fragmentary. confidence=medium
smishx_smishing_0018,SmishX,yizhu-joy/SmishX,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery: <URL> Cyprus Post Office,smishing,needs_review,other,English,near_duplicate,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high
smishx_smishing_0024,SmishX,yizhu-joy/SmishX,Congratulations!!! <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row is outside normal SMS length or too fragmentary. confidence=medium
smishx_smishing_0027,SmishX,yizhu-joy/SmishX,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery:<URL> Cyprus Post Office,smishing,needs_review,other,English,near_duplicate,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high
smishx_smishing_0031,SmishX,yizhu-joy/SmishX,<EMAIL> / s / <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row is outside normal SMS length or too fragmentary. confidence=medium
smishx_smishing_0048,SmishX,yizhu-joy/SmishX,GOV.UK: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here: <URL>,smishing,needs_review,other,English,near_duplicate,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; Likely near-duplicate/campaign repetition; representative approved first. confidence=high
smishx_smishing_0049,SmishX,yizhu-joy/SmishX,"Hi, is this Dr. Janet's number? I remember entering the right number? sorry Good morning! Have a nice day. Distinguished coinbase wallet users, now in order to repay new and old customers, specially launched a series of preferential subsidy activities, click on the link <URL> to enter DFI mining can receive more than 500-<OTP>$ subsidy liquidity DFI mining income",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row is outside normal SMS length or too fragmentary. confidence=medium
smishx_smishing_0051,SmishX,yizhu-joy/SmishX,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call <ACCT> NOW,smishing,needs_review,other,English,unique,"Imported from SmishX manually relabeled dataset. if_URL=0; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row lacks a clear phishing action, URL, or contact hook. confidence=medium"
smishx_smishing_0053,SmishX,yizhu-joy/SmishX,"DHL:Su paquete no se puede entregar debido a que no se han pagado las tasas de aduana,por favor confirme su pago para evitar retrasos:<URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row has non-English or encoding leakage; manual thesis fit check needed. confidence=medium
smishx_smishing_0061,SmishX,yizhu-joy/SmishX,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call <ACCT>,smishing,needs_review,other,English,unique,"Imported from SmishX manually relabeled dataset. if_URL=0; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: needs_review; SmishX row lacks a clear phishing action, URL, or contact hook. confidence=medium"
