unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels
uci_003377,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,3377,:),ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,,dup_000001,4,true,Mishra & Soni + UCI SMS Spam Collection,ham
uci_004825,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,4825,:-) :-),ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,,dup_000001,4,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_004483,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4483,:),ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,,dup_000001,4,false,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_004785,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4785,:-) :-),ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,,dup_000001,4,false,Mishra & Soni + UCI SMS Spam Collection,ham
uci_001639,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1639,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,dup_000002,2,true,Mishra & Soni + UCI SMS Spam Collection,spam
mishra_000123,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,123,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam,spam,needs_smishing_relabel,needs_smishing_relabel,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,0a networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g,dup_000002,2,false,Mishra & Soni + UCI SMS Spam Collection,spam
uci_000460,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,460,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 20 that call cost which i guess isnt bad miss ya need ya want ya love ya,dup_000003,2,true,Mishra & Soni + UCI SMS Spam Collection,ham
mishra_003440,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,3440,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\Dataset_5971 (1).zip::Dataset_5971.csv,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,1 20 that call cost which i guess isnt bad miss ya need ya want ya love ya,dup_000003,2,false,Mishra & Soni + UCI SMS Spam Collection,ham
uci_001374,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1374,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press lt gt 5 gently remove ur hand its interesting,dup_000004,4,true,Mishra & Soni + UCI SMS Spam Collection,ham
uci_002164,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,2164,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press lt gt 5 gently remove ur hand its interesting,dup_000004,4,false,Mishra & Soni + UCI SMS Spam Collection,ham
uci_002345,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,2345,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,ham,accepted,accepted,false,false,false,data\source_archives\public_baseline\SMSSpamCollection 1.csv,UCI spam is preserved for later smishing relabel review.,1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press lt gt 5 gently remove ur hand its interesting,dup_000004,4,false,Mishra & Soni + UCI SMS Spam Collection,ham
