source_id,company_or_service,source_type,trust_level,source_url,supported_message_styles,risk_notes,url_policy,recommended_volume_level,notes
microsoft_support,Microsoft,authentication,official_help,https://support.microsoft.com/,fixed-format SMS security codes for sign-in and unusual activity checks,Keep terse; no account-lock threats or prize language.,no links by default,medium,Deep Research report cites Microsoft Support.
google_account_help,Google,authentication,official_help,https://support.google.com/accounts/,"verification codes for recovery, 2-Step Verification, account creation, and sign-in checks",Code-only user-action flows are safest.,no links by default,medium,Deep Research report cites Google Account Help.
apple_support,Apple,authentication,official_help,https://support.apple.com/,six-digit verification codes for trusted phone numbers and sign-ins,Minimal non-promotional code messages only.,no links,medium,Deep Research report cites Apple Support.
amazon_customer_service,Amazon,authentication,official_help,https://www.amazon.com/gp/help/customer/,2-Step Verification security codes by SMS,Avoid order/refund scare language in OTP family.,no links,medium,Deep Research report cites Amazon Customer Service.
paypal_help,PayPal,authentication,official_help,https://www.paypal.com/help/,security codes and narrow activity confirmations,Interactive replies must stay narrow and non-scammy.,no links by default,medium,Deep Research report cites PayPal Help.
bdo_security,BDO,banking,official_security,https://www.bdo.com.ph/,"unknown-device notices, transfer alerts, unusual transaction notices",No OTP/password requests; PH finance no-link default.,no links,high,Deep Research report cites BDO.
bpi_alerts,BPI,banking,official_security,https://www.bpi.com.ph/,card transaction SMS alerts and Secure SMS/device-registration flows,Avoid deactivation threats and random verification links.,no links,high,Deep Research report cites BPI.
gcash_help,GCash,ewallet,official_help,https://help.gcash.com/,login OTPs and device-registration/security warnings,Favor OTP/device security over broad SMS confirmations.,no links,high,Deep Research report cites GCash Help Center.
maya_support,Maya,ewallet,official_help,https://support.maya.ph/,six-digit OTP sent by text when app asks for it,"App-directed, code-centric; no unlock-account links.",no links,medium,Deep Research report cites Maya.
globe_help,Globe,telecom,official_help,https://www.globe.com.ph/help,"OTPs for critical transactions, SIM confirmations, outage advisories",Globe-like synthetic ham should not contain links.,no links,medium,Deep Research report cites Globe Help.
smart_help,Smart,telecom,official_help,https://smart.com.ph/help,4-digit GigaLife and billing/carrier-billing OTPs,Tie OTP to concrete action; avoid prize claims.,no links,medium,Deep Research report cites Smart Help.
ups_tracking,UPS,delivery,official_help,https://www.ups.com/,shipment-status notification texts and tracking updates,Payment variants only with strong shipment context.,official account/channel only,medium,Deep Research report cites UPS.
usps_text_tracking,USPS,delivery,official,https://www.usps.com/text-tracking/welcome.htm,user-requested text tracking updates,No address-fix or payment-demand messages.,no links by default,medium,Deep Research report cites USPS Text Tracking.
dhl_fraud_awareness,DHL,delivery,official_security,https://www.dhl.com/,customs-payment notices with shipment context,Visually close to smishing; keep sparse.,official channels only,low,Deep Research report cites DHL fraud awareness/payment guidance.
va_vetext,VA VEText,appointment,public_service,https://www.va.gov/,appointment reminders and optional check-in notices,Minimize health details and never request payment.,official account/channel only,low,Deep Research report cites VA.gov.
nhs_govuk,NHS/GOV.UK,appointment,public_service,https://www.gov.uk/,appointment reminders and app-first health messages with SMS fallback,Calm logistics only; avoid sensitive medical detail.,no links by default,low,Deep Research report cites GOV.UK/NHS.
uscis_g1145,USCIS,government,public_service,https://www.uscis.gov/,application or petition acceptance text/email notices,Dry acknowledgment only; no fees or threats.,official account/channel only,low,Deep Research report cites USCIS G-1145.
