merge_group_id,row_position_start,row_position_end,manual_ids,original_messages,proposed_merged_message,merge_confidence,merge_reason,suggested_action
manual_ham_merge_0001,74,75,manual_ham_000074 + manual_ham_000075,"Mar. 27 for a min. spend of ||| P5,000. Discount auto-applied","Mar. 27 for a min. spend of P5,000. Discount auto-applied",0.75,first row lacks strong sentence-ending punctuation; first row ends with unfinished connector/domain word; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0002,75,76,manual_ham_000075 + manual_ham_000076,"P5,000. Discount auto-applied ||| at checkout; no code needed.","P5,000. Discount auto-applied at checkout; no code needed.",0.75,first row lacks strong sentence-ending punctuation; next row starts like a continuation; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0003,77,78,manual_ham_000077 + manual_ham_000078,"For info, search LAZBDAY26 on ||| the RCBC Credit website.","For info, search LAZBDAY26 on the RCBC Credit website.",0.89,first row lacks strong sentence-ending punctuation; first row ends with unfinished connector/domain word; next row starts like a continuation; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0004,157,158,manual_ham_000157 + manual_ham_000158,"NOW! Use code LABASTAYONOW when you book ||| from 10AM to 11AM and 1PM to 2PM. Max disc. P150,","NOW! Use code LABASTAYONOW when you book from 10AM to 11AM and 1PM to 2PM. Max disc. P150,",0.75,first row lacks strong sentence-ending punctuation; next row starts like a continuation; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0005,158,159,manual_ham_000158 + manual_ham_000159,"from 10AM to 11AM and 1PM to 2PM. Max disc. P150, ||| min. fare, P200. Don't wait, book now with GrabCar!","from 10AM to 11AM and 1PM to 2PM. Max disc. P150, min. fare, P200. Don't wait, book now with GrabCar!",0.75,first row lacks strong sentence-ending punctuation; next row starts like a continuation; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0006,160,161,manual_ham_000160 + manual_ham_000161,6.6 SALE ALERT! Enjoy up to 30% OFF on GrabCar ||| vouchers bundles on Lazada! Visit Grab PH's official,6.6 SALE ALERT! Enjoy up to 30% OFF on GrabCar vouchers bundles on Lazada! Visit Grab PH's official,0.75,first row lacks strong sentence-ending punctuation; next row starts like a continuation; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0007,161,162,manual_ham_000161 + manual_ham_000162,vouchers bundles on Lazada! Visit Grab PH's official ||| store for best deals. Add to cart na!,vouchers bundles on Lazada! Visit Grab PH's official store for best deals. Add to cart na!,0.75,first row lacks strong sentence-ending punctuation; next row starts like a continuation; next row is unusually short; first row is short enough to be a fragment; same source_file,review
manual_ham_merge_0008,322,323,manual_ham_000322 + manual_ham_000323,You earned 4.95 GigaPoints on your promo ||| purchase! Simple. Easy. Smart. Thats the Smart App!,You earned 4.95 GigaPoints on your promo purchase! Simple. Easy. Smart. Thats the Smart App!,0.99,specific GigaPoints promo-purchase split rule; sequential rows complete one Smart App message,merge
manual_ham_merge_0009,324,325,manual_ham_000324 + manual_ham_000325,You earned 9.95 GigaPoints on your promo ||| purchase! Simple. Easy. Smart. Thats the Smart App!,You earned 9.95 GigaPoints on your promo purchase! Simple. Easy. Smart. Thats the Smart App!,0.99,specific GigaPoints promo-purchase split rule; sequential rows complete one Smart App message,merge
manual_ham_merge_0010,326,327,manual_ham_000326 + manual_ham_000327,You earned 4.95 GigaPoints on your promo ||| purchase! Simple. Easy. Smart. Thats the Smart App!,You earned 4.95 GigaPoints on your promo purchase! Simple. Easy. Smart. Thats the Smart App!,0.99,specific GigaPoints promo-purchase split rule; sequential rows complete one Smart App message,merge
manual_ham_merge_0011,328,329,manual_ham_000328 + manual_ham_000329,You earned 4.95 GigaPoints on your promo ||| purchase! Simple. Easy. Smart. Thats the Smart App!,You earned 4.95 GigaPoints on your promo purchase! Simple. Easy. Smart. Thats the Smart App!,0.99,specific GigaPoints promo-purchase split rule; sequential rows complete one Smart App message,merge
manual_ham_merge_0012,330,331,manual_ham_000330 + manual_ham_000331,You earned 9.95 GigaPoints on your promo ||| purchase! Simple. Easy. Smart. Thats the Smart App!,You earned 9.95 GigaPoints on your promo purchase! Simple. Easy. Smart. Thats the Smart App!,0.99,specific GigaPoints promo-purchase split rule; sequential rows complete one Smart App message,merge
