replacement_candidate_id,source_name,dataset_name,source_group,source_row_id,source_file,message_raw,message_clean,source_label,normalized_label,label_status,review_status,candidate_reason,raw_quality_status,contains_url,contains_phone,contains_otp,contains_amount,suggested_category,scam_category,notes,replacement_priority_score,duplicate_key
rawrep_41ee67ad27d6,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,3,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,True,False,False,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply < > over18 s
rawrep_80ebb36f08c6,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,6,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, <AMOUNT> to rcv",spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,True,adult/chat promo,,UCI spam is preserved for later smishing relabel review.,120,freemsg hey there darling it s been 3 week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send < > to rcv
rawrep_fcaa2d88cf60,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,12,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,six chances to win cash from 100 to < > ounds txt> csh11 and send to 87575 cost < > day 6days 16 tsandcs apply reply hl 4 info
rawrep_67f425aca27b,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,20,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt < > oboxox36504w45wq 16
rawrep_518bbe5de1a3,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,35,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged <AMOUNT>/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,thanks for your subscription to ringtone uk your mobile will be charged < > month please confirm by replying yes or no if you reply no you will not be charged
rawrep_d6c4219c2b31,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,55,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,False,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
rawrep_4dd236a34ff7,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,96,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,True,banking/account-like suspicious,,UCI spam is preserved for later smishing relabel review.,120,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h < > pw 16
rawrep_948e2a3e8257,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,135,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. <AMOUNT> SP:Tyrone,spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 < > sp tyrone
rawrep_cfdee499d37f,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,136,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,True,False,False,True,telecom/ringtone/subscription spam,,UCI spam is preserved for later smishing relabel review.,120,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uk s largest dogging network bt txting gravel to 69888 nt ec2a < > < >
rawrep_97c2d07b45f7,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,140,data/organized/text_verified/combined_public_thesis_sources_text_verified.csv,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,spam,needs_smishing_relabel,needs_smishing_relabel,needs_smishing_relabel,pass_raw_complete,False,False,False,False,banking/account-like suspicious,,UCI spam is preserved for later smishing relabel review.,120,you ll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network try again
