unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason,content_quality_status,content_quality_flags,smishing_signal_score,non_smishing_reason,suggested_action,campaign_template_key,campaign_cluster_id,campaign_cluster_size,campaign_duplicate_status,is_campaign_representative,campaign_representative_reason,content_filter_status,content_filter_reason,content_replacement_candidate_id,removed_original_unified_id,strong_campaign_family_key,strong_campaign_family_id,strong_campaign_family_size,strong_campaign_family_status,strong_campaign_family_reason,row_position_1based,campaign_family_filter_status,campaign_family_filter_reason,campaign_family_replacement_candidate_id,campaign_family_removed_original_unified_id,data_origin,is_synthetic,synthetic_template_id,generation_method,source_file,reviewer_notes,service_category,institution_type
smishtank_823,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,823,1Netflix-Mybilling:Your payment was unsuccessful.follow the link to update your payment details . https://www.2netflix-mybilling.com,1Netflix-Mybilling:Your payment was unsuccessful.follow the link to update your payment details. <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Account Alert; brand=Netflix; sender_type=Phone Number; url=https://www.2netflix-mybilling.com; domain=www.2netflix-mybilling.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,132,19,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,account_payment_credential;action_request;url_or_domain,6,,keep,1netflix mybilling your payment was unsuccessful follow the link to update your payment details < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,1netflix mybilling your payment was unsuccessful follow the link to update your payment details <url>,,1,unique_family,final dataset row kept under strong campaign-family cap,28,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_1322,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1322,<#>BANKOFAMERICA: Update your account information due to repeated login attempts on boasmsportal.online immediately.,<#>BANKOFAMERICA: Update your account information due to repeated login attempts on <URL> immediately.,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Account Alert; brand=BANKOFAMERICA; sender_type=Phone Number; url=boasmsportal.online; domain=boasmsportal.online,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,116,14,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,account_payment_credential;action_request;urgency_or_security;url_or_domain,7,,keep,< >bankofamerica update your account information due to repeated login attempts on < > immediately,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,bankofamerica update your account information due to repeated login attempts on boasmsportal online immediately,,1,unique_family,final dataset row kept under strong campaign-family cap,69,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_457,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,457,Amazon.com 976595 is your Amazon OTP. Do not share it with anyone If you didnt make this request login to verif below https://website.roomraccoon.com/free/help96/mail?=70352032 Otherwise ignore this message. Amazon Team O,<URL> 976595 is your Amazon OTP. Do not share it with anyone If you didnt make this request login to verif below <URL> Otherwise ignore this message. Amazon Team O,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Account Alert; brand=Amazon; sender_type=Email To Text; url=https://website.roomraccoon.com/free/help96/mail?=70352032; domain=website.roomraccoon.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,221,38,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,account_payment_credential;action_request;url_or_domain,6,,keep,< > < > is your amazon otp do not share it with anyone if you didnt make this request login to verif below < > otherwise ignore this message amazon team o,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,amazon com <num> is your amazon otp do not share it with anyone if you didnt make this request login to verif below <url> otherwise ignore this message amazon team o,,1,unique_family,final dataset row kept under strong campaign-family cap,101,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_766,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,766,"Amazon: Congratulations Aashish, you came in 1st in this week's Amazon Earpods raffle! Click the link to arrange shipment: u5fxc.info/ZEJTTZmY3Z","Amazon: Congratulations Aashish, you came in 1st in this week's Amazon Earpods raffle! Click the link to arrange shipment: <URL>",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Prize/Contest; brand=Amazon; sender_type=Phone Number; url=u5fxc.info/ZEJTTZmY3Z; domain=u5fxc.info,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,144,23,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,action_request,2,,keep,amazon congratulations aashish you came in 1st in this week s amazon earpods raffle click the link to arrange shipment u5fxc info zejttzmy3z,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,amazon congratulations aashish you came in 1st in this week s amazon earpods raffle click the link to arrange shipment u5fxc info zejttzmy3z,,1,unique_family,final dataset row kept under strong campaign-family cap,302,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_163,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,163,BANKOFAMERlCA[EDD]- We encountered a failure in processing your WEEKLY BENEFlTS. Visit: BankOfAmericaDebit05.com Error - 8097 REPLY STOP TO OPT OUT,BANKOFAMERlCA[EDD]- We encountered a failure in processing your WEEKLY BENEFlTS. Visit: <URL> Error - 8097 REPLY STOP TO OPT OUT,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Account Alert; brand=Bank of America; sender_type=Phone Number; url=BankOfAmericaDebit05.com; domain=bankofamericadebit05.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,147,21,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,action_request;url_or_domain,4,,keep,bankofamerlca edd we encountered a failure in processing your weekly beneflts visit < > error < > reply stop to opt out,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,bankofamerlca edd we encountered a failure in processing your weekly beneflts visit <token> com error <num> reply stop to opt out,,1,unique_family,final dataset row kept under strong campaign-family cap,503,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_1335,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1335,"Bienvenido. Recuerda que con Amigo Sin Limite, por Segundo, Optimo, Optimo Plus los Min, SMS, y MB en EUA te cuestan lo mismo que en Mexico. Tarifas Roaming son: $3.00 MB, $3.00 Min, $3.00 SMS. Tarifas en pesos IVA inc. Mas info +525525813300 o telcel.com. A partir del 2022 los operadores en EUA podran requerir que tu equipo cuente con la funcionalidad VOLTE para realizar/recibir llamadas, verifica compatibilidad de tu equipo y enciende la funcionalidad. Mas info. https://bit.ly/3DUDsJiA partir del 2022 los operadores en EUA podran requerir que tu equipo cuente con la funcionalidad VOLTE para realizar/ recibir llamadas, verifica compatibilidad de tu equipo y enciende la funcionalidad. Mas info. https://bit.ly/3DUDsJi","Bienvenido. Recuerda que con Amigo Sin Limite, por Segundo, Optimo, Optimo Plus los Min, SMS, y MB en EUA te cuestan lo mismo que en Mexico. Tarifas Roaming son: <AMOUNT> MB, <AMOUNT> Min, <AMOUNT> SMS. Tarifas en pesos IVA inc. Mas info <PHONE> o <URL> A partir del 2022 los operadores en EUA podran requerir que tu equipo cuente con la funcionalidad VOLTE para realizar/recibir llamadas, verifica compatibilidad de tu equipo y enciende la funcionalidad. Mas info. <URL> partir del 2022 los operadores en EUA podran requerir que tu equipo cuente con la funcionalidad VOLTE para realizar/ recibir llamadas, verifica compatibilidad de tu equipo y enciende la funcionalidad. Mas info. <URL>",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Account Alert; brand=Telcel; sender_type=Phone Number; url=https://bit.ly/3DUDsJi; domain=www.telcel.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_too_long; sms_likeness_status=possible_multipart_sms.,726,122,True,possible_multipart_sms,kept_strict_raw,True,,pass_likely_smishing,callback_phone;url_or_domain,3,,keep,bienvenido recuerda que con amigo sin limite por segundo optimo optimo plus los min sms y mb en eua te cuestan lo mismo que en mexico tarifas roaming son < > mb < > min < > sms tarifas en pesos iva inc mas info < > o < > a partir del < > los operadores en eua podran requerir que tu equipo cuente con la funcionalidad volte para realizar recibir llamadas verifica compatibilidad de tu equipo y enciende la funcionalidad mas info < > partir del < > los operadores en eua podran requerir que tu equipo cuente con la funcionalidad volte para realizar recibir llamadas verifica compatibilidad de tu equipo y enciende la funcionalidad mas info < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,bienvenido recuerda que con amigo sin limite por segundo optimo optimo plus los min sms y mb en eua te cuestan lo mismo que en mexico tarifas roaming son <amount> mb <amount> min <amount> sms tarifas en pesos iva inc mas info <phone> o telcel com a partir del <num> los operadores en eua podran requerir que tu equipo cuente con la funcionalidad volte para realizar recibir llamadas verifica compatibilidad de tu equipo y enciende la funcionalidad mas info <url> partir del <num> los operadores en eua podran requerir que tu equipo cuente con la funcionalidad volte para realizar recibir llamadas verifica compatibilidad de tu equipo y enciende la funcionalidad mas info <url>,,1,unique_family,final dataset row kept under strong campaign-family cap,524,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_1686,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1686,CANCELLATION: Confirm your delivery details by 11/07 to avoid cancellation of your fully paid order gpnmxqy.com/D1GN3RBE,CANCELLATION: Confirm your delivery details by 11/07 to avoid cancellation of your fully paid order <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Delivery; brand=; sender_type=Phone Number; url=gpnmxqy.com/D1GN3RBE; domain=gpnmxqy.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,120,19,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,action_request;delivery_theme;url_or_domain,5,,keep,cancellation confirm your delivery details by 11 07 to avoid cancellation of your fully paid order < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,cancellation confirm your delivery details by 11 07 to avoid cancellation of your fully paid order gpnmxqy com d1gn3rbe,,1,unique_family,final dataset row kept under strong campaign-family cap,643,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_1349,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1349,"CIEE Study Abroad is getting a glow-up in Europe! In 2024, you can study in Florence, Milan, Glasgow, Edinburgh, and more. Apply for one of these cities, and you'll get a guaranteed flight voucher worth up to $1,500! Learn more: bit.ly/3C41PWG","CIEE Study Abroad is getting a glow-up in Europe! In 2024, you can study in Florence, Milan, Glasgow, Edinburgh, and more. Apply for one of these cities, and you'll get a guaranteed flight voucher worth up to <AMOUNT>! Learn more: <URL>",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Advertisement; brand=CIEE Study Abroad; sender_type=; url=bit.ly/3C41PWG; domain=bit.ly,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,243,46,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,url_or_domain,2,,keep,ciee study abroad is getting a glow up in europe in < > you can study in florence milan glasgow edinburgh and more apply for one of these cities and you ll get a guaranteed flight voucher worth up to < > learn more bit ly 3c41pwg,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,ciee study abroad is getting a glow up in europe in <num> you can study in florence milan glasgow edinburgh and more apply for one of these cities and you ll get a guaranteed flight voucher worth up to <amount> learn more bit ly 3c41pwg,,1,unique_family,final dataset row kept under strong campaign-family cap,687,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
smishtank_780,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,780,"""Cinco de Eye-o"""". 5 vision correction procedures. Which is best for you? 858-452-3937 Clearview Laser https://urlsr.com/LY9llxL TextSTOPoptout","""Cinco de Eye-o"""". 5 vision correction procedures. Which is best for you? <PHONE> Clearview Laser <URL> TextSTOPoptout",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,true,category=Advertisement; brand=Clearview Laser; sender_type=; url=https://urlsr.com/LY9llxL ; domain=urlsr.com,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,143,23,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,callback_phone;url_or_domain,3,,keep,cinco de eye o 5 vision correction procedures which is best for you < > clearview laser < > textstopoptout,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,cinco de eye o 5 vision correction procedures which is best for you <phone> clearview laser <url> textstopoptout,,1,unique_family,final dataset row kept under strong campaign-family cap,688,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
mishra_001444,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,1444,"Congratulations, Your entry into our contest last month made you a WINNER! Goto http://www.apple.com.text.won.com�to claim your prize! You have 24 hours to claim","Congratulations, Your entry into our contest last month made you a WINNER! Goto <URL> claim your prize! You have 24 hours to claim",Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,URL=yes; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,161,30,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,action_request;reward_with_action;url_or_domain,5,,keep,congratulations your entry into our contest last month made you a winner goto < > claim your prize you have 24 hours to claim,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,congratulations your entry into our contest last month made you a winner goto <url> claim your prize you have 24 hours to <rand>,,1,unique_family,final dataset row kept under strong campaign-family cap,739,kept,kept under strong campaign-family cap,,,public_real,False,,public_source,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,
