removed_unified_id,removed_message_raw,removed_reason,replacement_candidate_id,replacement_message_raw,replacement_source_name,replacement_dataset_name,replacement_campaign_template_key,replacement_reason,duplicate_check_status,notes
smishtank_1366,10-20 McDonald's reward.. 2.approvedurls1.info,weak_or_no_smishing_signal,ncsu_sms_phishing_058912,"[email protected] / Support / Account locked , unlock now at : trimurl.co/9r1Jku?52",SMS Phishing Dataset,wspr-ncsu/sms-phishing,email protected support account locked unlock now at < >,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_8,"(8 Hi Julianne long time no see, I'm Aleen, how are you doing",weak_or_no_smishing_signal,ncsu_sms_phishing_060565,[email protected] / TD Bank Alert / Verify your online bank account now at : trimurl.co/jgxKzJ?21,SMS Phishing Dataset,wspr-ncsu/sms-phishing,email protected td bank alert verify your online bank account now at < >,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1169,<#> Please enter 706499 into LINE within the next 30 mins. JFOQLtyexga,weak_or_no_smishing_signal,ncsu_sms_phishing_065494,Congrats on your big win! You're lucky! Here's a £100 Aldi gift card. To claim your gift --> https://rebrand.ly/zn479gs,SMS Phishing Dataset,wspr-ncsu/sms-phishing,congrats on your big win you re lucky here s a < > aldi gift card to claim your gift > < >,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1186,<#> Please enter 435547 into LINE within the next 30 mins. JFOQLtyexga <#> Please enter 115086 into LINE within the next 30 mins. JFOQLtyexga 11:16,weak_or_no_smishing_signal,ncsu_sms_phishing_067789,il.nishmusic.com / WellsFargo Alrt / Your debit card was locked. Please follow the link to unlock https://ecommerceseo.us,SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > wellsfargo alrt your debit card was locked please follow the link to unlock < >,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_196,2069-Ft� House Just Listed 513-Mo below Xeo6.me/8ek26N,weak_or_no_smishing_signal,ncsu_sms_phishing_054869,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ xSwPy",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > xswpy,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1240,5576@.getcash.hellofunds.space,campaign_repeat_excluded,ncsu_sms_phishing_054918,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ cPhWy",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > cphwy,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1075,"AM/AZON#254768 YOUR AM/AZON has been'I0cked',fix your-biIls detalLs-now! //_9qr.de/bvb2Bm",weak_or_no_smishing_signal,ncsu_sms_phishing_054927,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ lYaaZ",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > lyaaz,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1051,"(AM#ZON) 163975 YOUR 4CCOUNT HAS BEEN I_OCKED,fix your bill-now. //unusa.id/9rua O",weak_or_no_smishing_signal,ncsu_sms_phishing_054928,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ IayJh",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > iayjh,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_79,Are you Mr. Freddy? I'm Alice and I'm not sure if the number is correct,weak_or_no_smishing_signal,ncsu_sms_phishing_054954,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ oieLI",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > oieli,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
mishra_004414,"As a valued customer, I am pleased to advise you that following recent draw of your Mobile No. you are awarded with a Rs.10,00,000 Bonus Prize, call 7044518857",campaign_repeat_excluded,ncsu_sms_phishing_055163,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ OPLkL",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > oplkl,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
