unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason,content_quality_status,content_quality_flags,smishing_signal_score,non_smishing_reason,suggested_action,campaign_template_key,campaign_cluster_id,campaign_cluster_size,campaign_duplicate_status,is_campaign_representative,campaign_representative_reason,content_filter_status,content_filter_reason,content_replacement_candidate_id,removed_original_unified_id,strong_campaign_family_key,strong_campaign_family_id,strong_campaign_family_size,strong_campaign_family_status,strong_campaign_family_reason,row_position_1based,campaign_family_filter_status,campaign_family_filter_reason,campaign_family_replacement_candidate_id,campaign_family_removed_original_unified_id
smishtank_867,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,867,"Are you still looking for jobs online? Do you need extra income? Sellsr is looking for offline sales workers, ages 23-68, regardless of gender, at for $30-$200 a day. If you are interested, please send me a telegram at. t.me/+447864529328 Janey6583 or WhatsApp: +447521369469","Are you still looking for jobs online? Do you need extra income? Sellsr is looking for offline sales workers, ages 23-68, regardless of gender, at for <AMOUNT>-<AMOUNT> a day. If you are interested, please send me a telegram at. <URL> Janey6583 or WhatsApp: <PHONE>",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,category=Job Advertisement; brand=Whatsapp; sender_type=; url=t.me/+447864529328 Janey6583; domain=t.me,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,275,48,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,are you still looking for jobs online do you need extra income sellsr is looking for offline sales workers ages < > regardless of gender at for < > < > a day if you are interested please send me a telegram at t me < > janey6583 or whatsapp < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,are you still looking for jobs online do you need extra income sellsr is looking for offline sales workers ages <num> regardless of gender at for <amount> <amount> a day if you are interested please send me a telegram at t me <phone> janey6583 or whatsapp <phone>,,1,unique_family,single-row strong campaign family,398,excluded_archived,weak_or_bad_smishing_signal,,
mishra_001193,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,1193,Bloomberg -Message center +447797706009 Why wait? Apply for your futur,Bloomberg -Message center <PHONE> Why wait? Apply for your futur,Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,70,10,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,bloomberg message center < > why wait apply for your futur,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,bloomberg message center <phone> why wait apply for your <rand>,,1,unique_family,single-row strong campaign family,532,excluded_archived,weak_or_bad_smishing_signal,,
smishtank_1117,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1117,"CML - The water near Camp Lejeune, NC is TOXIC. If you ingested the water in that area you are eligible to get 250k. Dial +12163507848 here. STOP to end","CML - The water near Camp Lejeune, NC is TOXIC. If you ingested the water in that area you are eligible to get 250k. Dial <PHONE> here. STOP to end",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,category=Lawsuits/Settlements; brand=; sender_type=Phone Number; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,152,29,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,cml the water near camp lejeune nc is toxic if you ingested the water in that area you are eligible to get 250k dial < > here stop to end,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,cml the water near camp lejeune nc is toxic if you ingested the water in that area you are eligible to get 250k dial <phone> here stop to end,,1,unique_family,single-row strong campaign family,699,excluded_archived,weak_or_bad_smishing_signal,,
smishtank_983,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,983,"FINAL NOTICE: Kaitlin, please review the details for shipment ID: AmazonRewards 4G34H6 here: g3svc.info/0iSFCyr6Lb Package: $130 bonus","FINAL NOTICE: Kaitlin, please review the details for shipment ID: AmazonRewards 4G34H6 here: <URL> Package: <AMOUNT> bonus",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Delivery; brand=Amazon; sender_type=Phone Number; url=g3svc.info/0iSFCyr6Lb; domain=g3svc.info,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,134,19,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,delivery_theme;urgency_or_security;weak_actionable_signal,1,borderline smishing signal,manual_review,final notice kaitlin please review the details for shipment id amazonrewards 4g34h6 here g3svc info 0isfcyr6lb package < > bonus,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,final notice kaitlin please review the details for shipment id amazonrewards 4g34h6 here g3svc info 0isfcyr6lb package <amount> <rand>,,1,unique_family,single-row strong campaign family,1144,excluded_archived,weak_or_bad_smishing_signal,,
mishra_003810,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,3810,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's  custcare 08715705022, 1x150p/wk","For ur chance to win a <AMOUNT> wkly shopping spree TXT: SHOP to 80878. T's&C's custcare <PHONE>, 1x150p/wk",Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,108,22,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,for ur chance to win a < > wkly shopping spree txt shop to < > t s c s custcare < > 1x150p wk,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,for ur chance to win a <amount> wkly shopping spree txt shop to <num> t s c s custcare <phone> 1x150p wk,,1,unique_family,single-row strong campaign family,1165,excluded_archived,weak_or_bad_smishing_signal,,
mishra_004311,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4311,Majestic mountains to calm beaches. Adventure holidays to quiet getaways. Manali to Ooty. Puri to Munnar. Holiday for 25 years.EMIs frm Rs.2366. T&C. 9895930777,Majestic mountains to calm beaches. Adventure holidays to quiet getaways. Manali to Ooty. Puri to Munnar. Holiday for 25 years.EMIs frm Rs.2366. T&C. <PHONE>,Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,160,27,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,majestic mountains to calm beaches adventure holidays to quiet getaways manali to ooty puri to munnar holiday for 25 years emis frm rs < > t c < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,majestic mountains to calm beaches adventure holidays to quiet getaways manali to ooty puri to munnar holiday for 25 years emis frm rs <num> t c <phone>,,1,unique_family,single-row strong campaign family,3139,excluded_archived,weak_or_bad_smishing_signal,,
smishtank_1408,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1408,"Our job is simple, we just need to rate or like the hotel we booked. If you want to join us, whatsapp details: +15149071098 (under 20 years old not allowed)","Our job is simple, we just need to rate or like the hotel we booked. If you want to join us, whatsapp details: <PHONE> (under 20 years old not allowed)",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,category=Job Advertisement; brand=Whatsapp; sender_type=Email To Text; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,156,30,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,our job is simple we just need to rate or like the hotel we booked if you want to join us whatsapp details < > under 20 years old not allowed,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,our job is simple we just need to rate or like the hotel we booked if you want to join us whatsapp details <phone> under 20 years old not <rand>,,1,unique_family,single-row strong campaign family,3904,excluded_archived,weak_or_bad_smishing_signal,,
mishra_003972,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,3972,P just made your holidays more fun. Buy any HP pavilion notebook & get a Kodak camera. Shoot it. Share it. T&C apply. HP World: WOC Rd 9986686555 / 991697439,P just made your holidays more fun. Buy any HP pavilion notebook & get a Kodak camera. Shoot it. Share it. T&C apply. HP World: WOC Rd <PHONE> / <PHONE>,Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,157,29,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,p just made your holidays more fun buy any hp pavilion notebook get a kodak camera shoot it share it t c apply hp world woc rd < > < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,p just made your holidays more fun buy any hp pavilion notebook get a kodak camera shoot it share it t c apply hp world woc rd <phone> <phone>,,1,unique_family,single-row strong campaign family,3911,excluded_archived,weak_or_bad_smishing_signal,,
mishra_003431,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,3431,Promotion Number: 8714714 - UR awarded a City Break and  a £200 Summer Shopping spree. 08718738034,Promotion Number: 8714714 - UR awarded a City Break and a <AMOUNT> Summer Shopping spree. <PHONE>,Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,98,15,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,promotion number < > ur awarded a city break and a < > summer shopping spree < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,promotion number <num> ur awarded a city break and a <amount> summer shopping spree <phone>,,1,unique_family,single-row strong campaign family,4015,excluded_archived,weak_or_bad_smishing_signal,,
mishra_000467,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,467,"Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-9840139557","Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-<PHONE>",Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,140,21,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,callback_phone,1,borderline smishing signal,manual_review,pvt finance arranged on cheque basics 4 business peoples traders stockists industries corporate comp p m turn over 20l cnt < >,,1,unique_campaign,True,accepted in content-quality filtered dataset,kept,passed content-quality and campaign cap,,,pvt finance arranged on cheque basics 4 business peoples traders stockists industries corporate comp p m turn over 20l cnt <phone>,,1,unique_family,single-row strong campaign family,4022,excluded_archived,weak_or_bad_smishing_signal,,
