id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
smishx_smishing_0047,SmishX,yizhu-joy/SmishX,"YOUR MOBILE NUMBER HAS WON 3.6 CRORE FROM SAMSUNG UK AWARD TO RECEIVE YOUR PRIZE,SEND UR NAME, MOBILE,N0,ADDRES, AGE,SEX, OCCUP TO�<EMAIL>",smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=0; if_phone=0; if_email=1. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0171,SmishX,yizhu-joy/SmishX,telloa haq discover proven Property &Business Methods to grow your revenue in <OTP>. Starts Sat 10am! <URL> Optout <URL>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0040,SmishX,yizhu-joy/SmishX,"Din pakke er ankommet til det lokale posthus, betal venligst de nÃ¸dvendige gebyrer, sÃ¥ vi kan fortsÃ¦tte med leveringen: <URL>",smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0190,SmishX,yizhu-joy/SmishX,Join the First Ever Investing Summit kengleang & hear Insider Secrets of how to Invest for Profit <URL> Optout <URL>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0127,SmishX,yizhu-joy/SmishX,"Hi Mik, Check out what's new here: <URL> Reply 'STOP' to opt out",smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0057,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / Notice / We did not find your address, please update it: <URL>",smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0139,SmishX,yizhu-joy/SmishX,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call <ACCT> for free delivery,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=0; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0103,SmishX,yizhu-joy/SmishX,URGENT: IRELAND GOV has issued a payment of 350 ?to all residents as part of its promise to battle COVID 19. Tap here to apply: <URL>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0108,SmishX,yizhu-joy/SmishX,"Hi dear, Your CV has passed, please receive a salary of 2000Taka per day. Contact information: <URL> Pruitt Group Business Account wa.me",smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0037,SmishX,yizhu-joy/SmishX,ftght here's how to create 3 High Cash-Flowing Properties & Scale to a Six Figure Revenue! <URL> Optout <URL>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
smishx_smishing_0135,SmishX,yizhu-joy/SmishX,GOVUK: You are eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here: <URL>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
