removed_unified_id,removed_row_position_1based,removed_strong_campaign_family_key,removed_message_raw,removed_reason,replacement_candidate_id,replacement_message_raw,replacement_source_name,replacement_dataset_name,replacement_strong_campaign_family_key,replacement_reason,duplicate_check_status,notes
smishtank_867,398,are you still looking for jobs online do you need extra income sellsr is looking for offline sales workers ages <num> regardless of gender at for <amount> <amount> a day if you are interested please send me a telegram at t me <phone> janey6583 or whatsapp <phone>,"Are you still looking for jobs online? Do you need extra income? Sellsr is looking for offline sales workers, ages 23-68, regardless of gender, at for $30-$200 a day. If you are interested, please send me a telegram at. t.me/+447864529328 Janey6583 or WhatsApp: +447521369469",weak_or_bad_smishing_signal,ncsu_sms_phishing_017627,"Visit lilliflynn.com/MyGov1/ to prevent tax fraud. Due to fraudulent activity, your ATO account has been deleted. Indicator: 41B6862",SMS Phishing Dataset,wspr-ncsu/sms-phishing,visit lilliflynn com mygov1 to prevent tax fraud due to fraudulent activity your ato account has been deleted indicator <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_001193,532,bloomberg message center <phone> why wait apply for your <rand>,Bloomberg -Message center +447797706009 Why wait? Apply for your futur,weak_or_bad_smishing_signal,ncsu_sms_phishing_002457,An up to £3 FREEBIE has been dropped onto your account! Claim here: http://pktwn.uk/184ec 24hrs. 40xWR. MaxWD£50 T&C Apply. Stop Msg? Call 441384 884469,SMS Phishing Dataset,wspr-ncsu/sms-phishing,an up to <amount> freebie has been dropped onto your account claim here <url> 24hrs 40xwr maxwd <amount> t c apply stop msg call <phone>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_1117,699,cml the water near camp lejeune nc is toxic if you ingested the water in that area you are eligible to get 250k dial <phone> here stop to end,"CML - The water near Camp Lejeune, NC is TOXIC. If you ingested the water in that area you are eligible to get 250k. Dial +12163507848 here. STOP to end",weak_or_bad_smishing_signal,ncsu_sms_phishing_058913,"[email protected] / Support / Account locked , unlock now at : trimurl.co/9r1Jku?08",SMS Phishing Dataset,wspr-ncsu/sms-phishing,email protected support account locked unlock now at trimurl co 9r1jku 08,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_983,1144,final notice kaitlin please review the details for shipment id amazonrewards 4g34h6 here g3svc info 0isfcyr6lb package <amount> <rand>,"FINAL NOTICE: Kaitlin, please review the details for shipment ID: AmazonRewards 4G34H6 here: g3svc.info/0iSFCyr6Lb Package: $130 bonus",weak_or_bad_smishing_signal,ncsu_sms_phishing_060020,"[email protected] / Support / Account locked , unlock now at : trimurl.co/rfTSRQ?39",SMS Phishing Dataset,wspr-ncsu/sms-phishing,email protected support account locked unlock now at trimurl co rftsrq 39,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_003810,1165,for ur chance to win a <amount> wkly shopping spree txt shop to <num> t s c s custcare <phone> 1x150p wk,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's  custcare 08715705022, 1x150p/wk",weak_or_bad_smishing_signal,ncsu_sms_phishing_007775,Cba - We have temporarily frozen your bank due to unusual activity. Please visit: comm-home.com immediately.,SMS Phishing Dataset,wspr-ncsu/sms-phishing,cba we have temporarily frozen your bank due to unusual activity please visit comm home com immediately,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_004311,3139,majestic mountains to calm beaches adventure holidays to quiet getaways manali to ooty puri to munnar holiday for 25 years emis frm rs <num> t c <phone>,Majestic mountains to calm beaches. Adventure holidays to quiet getaways. Manali to Ooty. Puri to Munnar. Holiday for 25 years.EMIs frm Rs.2366. T&C. 9895930777,weak_or_bad_smishing_signal,ncsu_sms_phishing_016723,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT /~~77.83.1.7",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> usdt <phone>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_1408,3904,our job is simple we just need to rate or like the hotel we booked if you want to join us whatsapp details <phone> under 20 years old not <rand>,"Our job is simple, we just need to rate or like the hotel we booked. If you want to join us, whatsapp details: +15149071098 (under 20 years old not allowed)",weak_or_bad_smishing_signal,ncsu_sms_phishing_016800,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT ]~~77.83.1.4",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> usdt <phone>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_003972,3911,p just made your holidays more fun buy any hp pavilion notebook get a kodak camera shoot it share it t c apply hp world woc rd <phone> <phone>,P just made your holidays more fun. Buy any HP pavilion notebook & get a Kodak camera. Shoot it. Share it. T&C apply. HP World: WOC Rd 9986686555 / 991697439,weak_or_bad_smishing_signal,ncsu_sms_phishing_000771,"Your account has been blocked, in order to unblock your account swiftly please visit https://cwb-account.com/",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your account has been blocked in order to unblock your account swiftly please visit <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_003431,4015,promotion number <num> ur awarded a city break and a <amount> summer shopping spree <phone>,Promotion Number: 8714714 - UR awarded a City Break and  a £200 Summer Shopping spree. 08718738034,weak_or_bad_smishing_signal,ncsu_sms_phishing_017577,Secure AIert (MyGov): your account has been restricted for security reasons VlSIT: nightowldrink.com/MyGov/ to restore account,SMS Phishing Dataset,wspr-ncsu/sms-phishing,secure aiert mygov your account has been restricted for security reasons vlsit nightowldrink com mygov to restore <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_000467,4022,pvt finance arranged on cheque basics 4 business peoples traders stockists industries corporate comp p m turn over 20l cnt <phone>,"Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-9840139557",weak_or_bad_smishing_signal,ncsu_sms_phishing_004754,Your unemployment claim of $695.45 was on hold. Use CODE ref4452 or Follow https://mnb0.servemp3.com/a/ to update your account now,SMS Phishing Dataset,wspr-ncsu/sms-phishing,your unemployment claim of <amount> was on hold use code <code> or follow <url> to update your account now,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
