unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels,message_raw,message_clean,raw_text_available,raw_text_status,cleaning_status,redaction_detected_in_raw,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,final_dataset_eligible,exclusion_reason
gathered_smishx_smishing_0134,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0134,"FRM:Unit-VJKXU SUBJ:CS_ID: <PHONE> MSG: Your shipment <OTP> could not be delivered. To reschedule, continue below:<URL>",smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,frm unit vjkxu subj cs id <phone> msg your shipment <otp> could not be delivered to reschedule continue below <url>,,1,true,SmishX,smishing,"FRM:Unit-VJKXU SUBJ:CS_ID: 106109122 MSG: Your shipment 55511 could not be delivered. To reschedule, continue below:https://lnkd.in/eZXKcEdF","FRM:Unit-VJKXU SUBJ:CS_ID: <PHONE> MSG: Your shipment 55511 could not be delivered. To reschedule, continue below:<URL>",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_smishx_smishing_0134,False,duplicate_against_raw_required_dataset
gathered_smishx_smishing_0249,SmishX,Gathered approved smishing 7k,gathered_approved_smishing,smishx_smishing_0249,Welcome to Paytm payment bank your re verification done successful in your wallet get <OTP> cashback click in link and login your paytm <URL>,smishing,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=SmishX; scam_category=other; strict-clean approved gathered smishing row.,welcome to paytm payment bank your re verification done successful in your wallet get <otp> cashback click in link and login your paytm <url>,,1,true,SmishX,smishing,Welcome to Paytm payment bank your re verification done successful in your wallet get 1205 cashback click in link and login your paytm http://7e4d6417.ngrok.io/paytm,Welcome to Paytm payment bank your re verification done successful in your wallet get 1205 cashback click in link and login your paytm <URL>,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_smishx_smishing_0249,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_00007,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_00007,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit <URL>",smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=others; strict-clean approved gathered smishing row.,apple we have detected unusual activity on your account and suspended it due to security reasons visit <url>,,1,true,Smishing-Dataset-IMC25,smishing,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit https://apple-","Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit <URL>",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_00007,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_00371,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_00371,"Your card has been charged $268.00 for the shipping of your MAOSHINE 24"" Caged Ceiling Fan with Lights. Call assistance at <PHONE> on 05/May/<OTP>",smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=others; strict-clean approved gathered smishing row.,your card has been charged <num> 00 for the shipping of your maoshine 24 caged ceiling fan with lights call assistance at <phone> on 05 may <otp>,,1,true,Smishing-Dataset-IMC25,smishing,"Your card has been charged $268.00 for the shipping of your MAOSHINE 24"" Caged Ceiling Fan with Lights. Call assistance at 1-888-123-4567 on 05/May/2023","Your card has been charged <AMOUNT> for the shipping of your MAOSHINE 24"" Caged Ceiling Fan with Lights. Call assistance at <PHONE> on 05/May/2023",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_00371,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_01759,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_01759,"Hello, Welcome to our group ,You can learn how to earn $<PHONE> perday . Click and join us,",smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=spam; strict-clean approved gathered smishing row.,hello welcome to our group you can learn how to earn <phone> perday click and join us,,1,true,Smishing-Dataset-IMC25,smishing,"Hello, Welcome to our group ,You can learn how to earn $600 -1000 perday . Click and join us,","Hello, Welcome to our group ,You can learn how to earn <AMOUNT> -1000 perday. Click and join us,",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_01759,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_02039,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_02039,Fox News wants to Thank YOU for Reading our Publications. Claim your $100 GIFT for being a Loyal User. http,smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=spam; strict-clean approved gathered smishing row.,fox news wants to thank you for reading our publications claim your <num> gift for being a loyal user http,,1,true,Smishing-Dataset-IMC25,smishing,Fox News wants to Thank YOU for Reading our Publications. Claim your $100 GIFT for being a Loyal User. http,Fox News wants to Thank YOU for Reading our Publications. Claim your <AMOUNT> GIFT for being a Loyal User. http,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_02039,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_02049,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_02049,"My dear. You are invited to j0in the ""B1tc0in"" analysis gr0up and get $500- $5K per day. Click the link to j0in. https",smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=spam; strict-clean approved gathered smishing row.,my dear you are invited to j0in the b1tc0in analysis gr0up and get <num> 5k per day click the link to j0in https,,1,true,Smishing-Dataset-IMC25,smishing,"My dear. You are invited to j0in the ""B1tc0in"" analysis gr0up and get $500- $5K per day. Click the link to j0in. https","My dear. You are invited to j0in the ""B1tc0in"" analysis gr0up and get <AMOUNT>- <AMOUNT>K per day. Click the link to j0in. https",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_02049,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_02080,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_02080,Recent activity may have affected your FB Payment method so you need to update it here https,smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=others; strict-clean approved gathered smishing row.,recent activity may have affected your fb payment method so you need to update it here https,,1,true,Smishing-Dataset-IMC25,smishing,Recent activity may have affected your FB Payment method so you need to update it here https,Recent activity may have affected your FB Payment method so you need to update it here https,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_02080,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_02120,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_02120,BDO ALERT Your online access is suspended momentarily. To reactivate register your device.,smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row.,bdo alert your online access is suspended momentarily to reactivate register your device,,1,true,Smishing-Dataset-IMC25,smishing,BDO ALERT Your online access is suspended momentarily. To reactivate register your device.,BDO ALERT Your online access is suspended momentarily. To reactivate register your device.,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_02120,False,duplicate_against_raw_required_dataset
gathered_imc25_english_smish_02132,Smishing-Dataset-IMC25,Gathered approved smishing 7k,gathered_approved_smishing,imc25_english_smish_02132,Dear Customer SBI Account is Blocked. Please click the link to update your PAN number. RADHT,smishing_corpus_row,smishing,accepted,approved,false,false,false,data\final\approved_smishing_messages.csv,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row.,dear customer sbi account is blocked please click the link to update your pan number radht,,1,true,Smishing-Dataset-IMC25,smishing,Dear Customer SBI Account is Blocked. Please click the link to update your PAN number. RADHT,Dear Customer SBI Account is Blocked. Please click the link to update your PAN number. RADHT,True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Selected gathered final `message_raw` as the least-redacted available text.,excluded_duplicate_raw_available,,gathered_imc25_english_smish_02132,False,duplicate_against_raw_required_dataset
