unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason,content_quality_status,content_quality_flags,smishing_signal_score,non_smishing_reason,suggested_action,campaign_template_key,campaign_cluster_id,campaign_cluster_size,campaign_duplicate_status,is_campaign_representative,campaign_representative_reason,content_filter_status,content_filter_reason,content_replacement_candidate_id,removed_original_unified_id
smishtank_1366,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1366,10-20 McDonald's reward.. 2.approvedurls1.info,10-20 McDonald's reward.. <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,true,false,false,category=Advertisement; brand=McDonald's; sender_type=Phone Number; url=2.approvedurls1.info; domain=2.approvedurls1.info,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,46,8,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_8,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,8,"(8 Hi Julianne long time no see, I'm Aleen, how are you doing","(8 Hi Julianne long time no see, I'm Aleen, how are you doing",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,61,14,False,likely_sms,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_1169,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1169,<#> Please enter 706499 into LINE within the next 30 mins. JFOQLtyexga,<#> Please enter 706499 into LINE within the next 30 mins. JFOQLtyexga,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Account Alert; brand=LINE; sender_type=Phone Number; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,70,11,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_1186,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1186,<#> Please enter 435547 into LINE within the next 30 mins. JFOQLtyexga <#> Please enter 115086 into LINE within the next 30 mins. JFOQLtyexga 11:16,<#> Please enter 435547 into LINE within the next 30 mins. JFOQLtyexga <#> Please enter 115086 into LINE within the next 30 mins. JFOQLtyexga 11:16,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Other; brand=LINE; sender_type=Phone Number; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,147,24,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_196,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,196,2069-Ft� House Just Listed 513-Mo below Xeo6.me/8ek26N,2069-Ft� House Just Listed 513-Mo below <URL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Advertisement; brand=; sender_type=Phone Number; url=Xeo6.me/8ek26N; domain=xeo6.me,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,54,11,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_1240,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1240,5576@.getcash.hellofunds.space,<EMAIL>,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,true,false,category=Advertisement; brand=; sender_type=Phone Number; url=getcash.hellofunds.space; domain=getcash.hellofunds.space,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,30,4,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,< >,camp_000016,3,campaign_repeat_excluded,False,excluded by max 1 per template cap,removed,campaign_repeat_excluded,,
smishtank_1075,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1075,"AM/AZON#254768 YOUR AM/AZON has been'I0cked',fix your-biIls detalLs-now! //_9qr.de/bvb2Bm","AM/AZON#254768 YOUR AM/AZON has been'I0cked',fix your-biIls detalLs-now! //_9qr.de/bvb2Bm",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Account Alert; brand=Amazon; sender_type=; url=9qr.de/bvb2Bm; domain=9qr.de,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,89,17,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_1051,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,1051,"(AM#ZON) 163975 YOUR 4CCOUNT HAS BEEN I_OCKED,fix your bill-now. //unusa.id/9rua O","(AM#ZON) 163975 YOUR 4CCOUNT HAS BEEN I_OCKED,fix your bill-now. //unusa.id/9rua O",verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Account Alert; brand=Amazon; sender_type=Email To Text; url=unusa.id/9rua; domain=unusa.id,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,82,17,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
smishtank_79,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,79,Are you Mr. Freddy? I'm Alice and I'm not sure if the number is correct,Are you Mr. Freddy? I'm Alice and I'm not sure if the number is correct,verified_smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=review_sms_likeness; sms_likeness_status=needs_review.,71,17,False,needs_review,kept_strict_raw,True,,review_unclear_smishing,weak_actionable_signal,-1,weak or missing actionable smishing signal,manual_review,,,,,,,removed,weak_or_no_smishing_signal,,
mishra_004414,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,4414,"As a valued customer, I am pleased to advise you that following recent draw of your Mobile No. you are awarded with a Rs.10,00,000 Bonus Prize, call 7044518857","As a valued customer, I am pleased to advise you that following recent draw of your Mobile No. you are awarded with a Rs.10,00,000 Bonus Prize, call <PHONE>",Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,159,31,False,likely_sms,kept_strict_raw,True,,pass_likely_smishing,action_request;callback_phone;reward_with_action,4,,keep,as a valued customer i am pleased to advise you that following recent draw of your mobile no you are awarded with a rs < > bonus prize call < >,camp_000050,2,campaign_repeat_excluded,False,excluded by max 1 per template cap,removed,campaign_repeat_excluded,,
