id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
imc25_english_smish_08649,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your iPayTM account is on hold due to suspicious activity please contact us to verify your account at <DATE_TIME> Thanks,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Paytm. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08651,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,(Wells Fargo) <URL> Customers Service - Suspicious Activity Locked,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: wells fargo. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08652,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear Customer,We Need to Re-Verify ure Mobile No every 6Months. To Continue Receiving Toll Free Alerts for DEMAT/Equity/F&O Transaction Give MissCall <PHONE_NUMBER>",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08653,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear PAYTM customer your <LOCATION> has expired. Contact customer care No- <PHONE_NUMBER> immediately . your account will Block within <DATE_TIME>. Thank you PAYTM TEAM.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Paytm. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08656,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,OTP is <PHONE_NUMBER> for txn of INR <OTP>.00 at Yes Pay on card ending <DATE_TIME>. Valid till 10:42:03. Do not share OTP for security reasons.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: yes pay. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08658,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your KOTAK Visa Card points worth INR <OTP> expired by <DATE_TIME>. Kindly redeem your points in cash by click here <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: Kotak Mahindra Bank. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08661,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,We will hold your pytm amount and wallet due to un upgrade pytm documents please contact customer care to upgrade your pytm PH: <PHONE_NUMBER> Team PYTM,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Paytm. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08664,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear Customer Your Debit CardXXXXXXXXXXXXXXXXXXXXXXHas been Suspended <DATE_TIME> due to wrong Date of birth verified in your bank A/c, for Reactive your Card please update Fully Kyc, immediately by online visiting click link below:- <URL> or please contact <DATE_TIME> Regards:-SBI",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: State Bank of India. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08665,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear Customer, please take a moment to review the updated privacy policy <URL> . It covers how we collect, store & share your personal info.",smishing,approved,banking,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: authority. Named entity tag: Axis Bank. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_08667,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"<LOCATION> ALERT, <NAMED_ENTITY>, Suspicious activity has been noticed ,you must confirm your details: <URL>ine/account/",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: halifax. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08669,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your SBI Card points worth INR <OTP> expired by <DATE_TIME>. Kindly redeem your points in cash by click here,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: State Bank of India. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08670,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,We have limited your PayPal Services due to suspicious activity. Help us serve you better by taking a moment to verify your details at,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: PayPal. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08671,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Your KYC has been updated successfully in <LOCATION> wallet, you will get <OTP> cashback in ytpour wallet, To get cashback click here Link",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed. Named entity tag: Paytm. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08674,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear PAYTM customer your paytm KYC has been suspended office <NAMED_ENTITY> <URL>r account will block within <URL>ank you PAYTM TEAM,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: Paytm. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08675,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear PAYTM customer your paytm KYC has been suspended, paytm office PH <PHONE_NUMBER> account will block within <DATE_TIME>. Thank you PAYTM TEAM",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Paytm. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08676,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,NAB Alert - We have detected a potential issue and blocked your Internet Banking. Please visit <URL> to confirm your device.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: nab. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08677,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,(ALERT) Your access to Scotia OnLine and Mobile Banking services has been suspended. Please visit,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: scotia online and mobile banking. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08678,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Standard Bank: Dear Mr Nzimande, to date we have not yet received proof of your vehicle insurance. In terms of your finance agreement, we will now insure your vehicle on your behalf. Your car will only be covered from receipt of the first premium. Call us on <PHONE> for any queries. Std call rates apply.",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: standard bank. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08680,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Absa:Your AbsaOnline account has been Blocked. To immediately restore your AbsaOnline profile Tap-> <URL> Thank you. Absa,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: absa. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08681,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,*IMPORTANT MESSAGE FROM COMMBANK* Your <NAMED_ENTITY> has been temporarily locked. We have done this to help protect the security of your account. To restore your access please visit your closest Commonwealth Bank branch with your ID or follow the prompts below,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: commonwealth bank. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08682,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Client Your A.T.M card has been BLOCKED Because You Not Update your Emirates ID If You Want To Keep Using Your ATM card Please Call Our Number <DATE_TIME>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: emirates. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08683,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Your account has been locked. To restore access please visit your local branch, or reactivate now by visiting <URL>",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. | round3_7k_surplus_approval 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
