cluster_signature,cluster_size,id,source_name,review_status,message_clean
dear consumer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,38,imc25_english_smish_02202,Smishing-Dataset-IMC25,approved,Dear Consumer Your Electricity power will be disconnected. <DATE_TIME> At <DATE_TIME> from electricity office because your <DATE_TIME> bill was not update. Please immediately contact with our electricity officer <PHONE_NUMBER> thank you
dear consumer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,38,imc25_english_smish_02239,Smishing-Dataset-IMC25,needs_review,Dear Consumer Your Electricity power will be disconnected. <DATE_TIME> at <DATE_TIME> from electricity office. because your <DATE_TIME> bill was not update. Please immediately contact with our electricity officer <PHONE_NUMBER> Thank you
dear consumer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,38,imc25_english_smish_02257,Smishing-Dataset-IMC25,needs_review,Dear Consumer Your Electricity power will be disconnected. <DATE_TIME> at <DATE_TIME> from electricity office. because your <DATE_TIME> bill was not update. Please immediately contact with our electricity officer call <NAMED_ENTITY> Thank you.
dear consumer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,38,imc25_english_smish_02415,Smishing-Dataset-IMC25,needs_review,Dear Consumer Your Electricity power will be disconnected. <DATE_TIME> at <DATE_TIME> from electricity office. Because your <DATE_TIME> bill was not update. Please immediately contact with our electricity officer <PHONE_NUMBER> Thank you.
dear consumer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,38,imc25_english_smish_03220,Smishing-Dataset-IMC25,needs_review,Dear Consumer Your Electricity power will be disconnected. <DATE_TIME> at <DATE_TIME> from electricity office. because your <DATE_TIME> bill was not update. Please immediatley contact within your electricity officer <PHONE_NUMBER> Thank you.
the usps package has arrived the warehouse and cannot delivered due incomplete address information please confirm your address,25,imc25_english_smish_00127,Smishing-Dataset-IMC25,needs_review,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. <URL> (Please reply to 1, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The <LOCATION> Postal team wishes you a wonderful day!"
the usps package has arrived the warehouse and cannot delivered due incomplete address information please confirm your address,25,imc25_english_smish_00168,Smishing-Dataset-IMC25,needs_review,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE_TIME>. <URL> (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The <LOCATION> Postal team wishes you a wonderful day"
the usps package has arrived the warehouse and cannot delivered due incomplete address information please confirm your address,25,imc25_english_smish_00198,Smishing-Dataset-IMC25,needs_review,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE_TIME>. (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The <LOCATION> Postal team wishes you a wonderful day"
the usps package has arrived the warehouse and cannot delivered due incomplete address information please confirm your address,25,imc25_english_smish_00229,Smishing-Dataset-IMC25,approved,The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE_TIME>.
the usps package has arrived the warehouse and cannot delivered due incomplete address information please confirm your address,25,imc25_english_smish_00365,Smishing-Dataset-IMC25,needs_review,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. <URL> (Please reply to 1, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it)"
dear sbi customer your sbi yono account has been suspended placeholder please update your pan card number click,21,imc25_english_smish_02122,Smishing-Dataset-IMC25,approved,Dear SBI Customer Your SBI YONO Account has been Suspended <DATE_TIME> please Update Your PAN Card number Click here
dear sbi customer your sbi yono account has been suspended placeholder please update your pan card number click,21,imc25_english_smish_02125,Smishing-Dataset-IMC25,needs_review,Dear SBI Customer Your SBI YONO Account has been Suspended <DATE_TIME> please Update Your PAN Card number Click here link <URL> THANK YOU SBI
dear sbi customer your sbi yono account has been suspended placeholder please update your pan card number click,21,imc25_english_smish_02252,Smishing-Dataset-IMC25,needs_review,Dear SBI Customer Your SBI YONO Account has been Suspended <DATE_TIME> please Update Your PAN Card number Click here link
dear sbi customer your sbi yono account has been suspended placeholder please update your pan card number click,21,imc25_english_smish_02360,Smishing-Dataset-IMC25,needs_review,Dear SBI Customer Your SBI YONO Account has been Suspended <DATE_TIME> please Update Your PAN Card number Click here link <URL> Thank you.
dear sbi customer your sbi yono account has been suspended placeholder please update your pan card number click,21,imc25_english_smish_02379,Smishing-Dataset-IMC25,needs_review,Dear SBI Customer Your SBI YONO Account has been Suspended <DATE_TIME> please Update Your PAN Card number Click here <URL>
you will receive tax refund number number but cannot process due incomplete personal information please confirm your information,18,imc25_english_smish_00063,Smishing-Dataset-IMC25,approved,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link."
you will receive tax refund number number but cannot process due incomplete personal information please confirm your information,18,imc25_english_smish_00082,Smishing-Dataset-IMC25,needs_review,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. <URL> (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service."
you will receive tax refund number number but cannot process due incomplete personal information please confirm your information,18,imc25_english_smish_00095,Smishing-Dataset-IMC25,needs_review,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service."
you will receive tax refund number number but cannot process due incomplete personal information please confirm your information,18,imc25_english_smish_00129,Smishing-Dataset-IMC25,needs_review,"You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link."
you will receive tax refund number number but cannot process due incomplete personal information please confirm your information,18,imc25_english_smish_00175,Smishing-Dataset-IMC25,needs_review,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest."
irs your account missing some info that need comply with financial regulations login placeholder with idme keep your,17,imc25_english_smish_00085,Smishing-Dataset-IMC25,approved,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated. The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team"
irs your account missing some info that need comply with financial regulations login placeholder with idme keep your,17,imc25_english_smish_00146,Smishing-Dataset-IMC25,needs_review,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team"
irs your account missing some info that need comply with financial regulations login placeholder with idme keep your,17,imc25_english_smish_00230,Smishing-Dataset-IMC25,needs_review,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide th"
irs your account missing some info that need comply with financial regulations login placeholder with idme keep your,17,imc25_english_smish_00368,Smishing-Dataset-IMC25,needs_review,"IRS: Your account is missing some info that we need to comply with financial regulations, login at <URL> With idme to keep your account activated. The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team"
irs your account missing some info that need comply with financial regulations login placeholder with idme keep your,17,imc25_english_smish_00402,Smishing-Dataset-IMC25,needs_review,"IRS: Your account is missing some info that we need to comply with financial regulations, login at <URL> With idme to keep your account activated The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team"
dear customer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,16,imc25_english_smish_05082,Smishing-Dataset-IMC25,needs_review,Dear Customer Your Electricity power will be disconnected <DATE_TIME> at <DATE_TIME> from electricity office. because your <DATE_TIME> bill was not update please immediately contact with our electricity <US_BANK_NUMBER> Thank you
dear customer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,16,imc25_english_smish_05165,Smishing-Dataset-IMC25,approved,Dear Customer Your Electricity Power will be disconnected <DATE_TIME> at <DATE_TIME> from electricity office. because your <DATE_TIME> bill was not update. Please immediately contact with our electricity officer <PHONE_NUMBER> Thank you..
dear customer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,16,imc25_english_smish_05732,Smishing-Dataset-IMC25,needs_review,Dear Customer Your Electricity power will be disconnected <DATE_TIME> at <DATE_TIME> from electricity office because your <DATE_TIME> bill was not updated please immediately contact with our electricity office. <PHONE_NUMBER> thanks you
dear customer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,16,imc25_english_smish_05804,Smishing-Dataset-IMC25,needs_review,Dear Customer your Electricity power will be Disconnected. <DATE_TIME> at <DATE_TIME> from electricity office Because your <DATE_TIME> bill was not update. Please immediately contact with our Electricity officer no. <PHONE_NUMBER> Thank you.
dear customer your electricity power will disconnected placeholder placeholder from electricity office because your placeholder bill was not,16,imc25_english_smish_07617,Smishing-Dataset-IMC25,needs_review,Dear customer your Electricity Power Will be disconnected <DATE_TIME> at <DATE_TIME> from electricity office because your <DATE_TIME> bill was not update please immediate contact with our electricity officer <UK_NHS> Thank
dear sbi user your sbi yono account has been blocked please update your pan card click here login,15,imc25_english_smish_02393,Smishing-Dataset-IMC25,approved,Dear SBI user your SBI YONO Account has been blocked please update your PAN CARD click here login your net banking update your PAN number
