review_id,message_for_review,message_raw,message_clean,source_label,normalized_label_before_review,candidate_reason,likely_review_bucket,bucket_reason,source_name,dataset_name,source_group,contains_url,contains_phone,contains_otp,contains_amount,suggested_category,raw_quality_status,source_traceability_status,expert_label,expert_confidence,expert_notes,reviewer_name,review_date
EXP-BAL-0001,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX","Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX","Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0002,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0003,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,adult/chat promo,pass_raw_complete,traceable,,,,,
EXP-BAL-0004,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,adult/chat promo,pass_raw_complete,traceable,,,,,
EXP-BAL-0005,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,True,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0006,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0007,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0008,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,True,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0009,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam,spam,original_spam_label,likely_spam_not_smishing,ringtone_subscription;adult_chat_promo;opt_out_ad;premium_number_ad;payment_bait;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0010,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062","Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062","Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;prize_reward_ad;link_present;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,False,False,False,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0011,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;prize_reward_ad;link_present;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,False,False,False,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0012,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam,spam,original_spam_label,likely_spam_not_smishing,ringtone_subscription;adult_chat_promo;opt_out_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0013,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,spam,spam,original_spam_label,likely_spam_not_smishing,ringtone_subscription;adult_chat_promo;opt_out_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0014,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;opt_out_ad;premium_number_ad;government_bait;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0015,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam,spam,original_spam_label,likely_spam_not_smishing,ringtone_subscription;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0016,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,spam,original_spam_label,likely_spam_not_smishing,adult_chat_promo;opt_out_ad;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,adult/chat promo,pass_raw_complete,traceable,,,,,
EXP-BAL-0017,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.","Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.","Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",spam,spam,original_spam_label,likely_spam_not_smishing,ringtone_subscription;adult_chat_promo;premium_number_ad;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,False,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
EXP-BAL-0018,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,spam,spam,original_spam_label,likely_spam_not_smishing,promotional_offer;ringtone_subscription;adult_chat_promo;original_spam_label,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,True,False,True,telecom/ringtone/subscription spam,pass_raw_complete,traceable,,,,,
