unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason
uci_001613,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1613,645,645,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,3,1,False,needs_review,removed_no_strict_raw_available,False,raw_contains_placeholder_or_anonymized_token
uci_001086,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,1086,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,review_too_long,message_raw is longer than 320 characters; manual SMS-likeness review recommended.,910,190,True,possible_report_or_article_text,removed_non_sms_like_long_message,False,possible_report_or_article_text
uci_000288,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,288,Ok..,Ok..,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,4,1,False,needs_review,removed_no_strict_raw_available,False,raw_contains_placeholder_or_anonymized_token
mishra_000510,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,510,"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492","Prem Jewellrs Vijaynagar Lucky draw scheme, monthly <AMOUNT> for 12 month, every month lucky member will be given <AMOUNT> gold or silver article.Call-<PHONE>",Smishing,smishing,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,true,URL=No; EMAIL=No; PHONE=yes. Mishra spam is preserved for later smishing relabel review.,False,0,,pass_raw,No strict raw placeholder issues detected.,158,26,False,possible_report_or_article_text,removed_non_sms_like_long_message,False,possible_report_or_article_text
uci_005176,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,5176,U 2.,U 2.,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,4,2,False,needs_review,removed_no_strict_raw_available,False,raw_contains_placeholder_or_anonymized_token
uci_000262,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,262,Yup,Yup,ham,ham,accepted,accepted,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,,,,false,false,false,UCI spam is preserved for later smishing relabel review.,False,0,,fail_too_short,message_raw has fewer than 5 meaningful characters.,3,1,False,needs_review,removed_no_strict_raw_available,False,raw_contains_placeholder_or_anonymized_token
replacement_hf_bengali_sms_smishing_english_smish_0002,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,raw_recovery_91k_pool,hf_bengali_sms_smishing_english_smish_0002,Critical: Your Standard Bank account frozen due to suspicious transactions. Fix: standardbank-fix.org,Critical: Your Standard Bank account frozen due to suspicious transactions. Fix: <URL>,smish,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,hf_bengali_sms_smishing_english_smish_0002,gathered_imc25_english_smish_00002,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate hf_bengali_sms_smishing_english_smish_0002; source_url=https://huggingface.co/datasets/shariul-islam/bengali-sms-smishing-dataset; scam_category=other,False,0,,pass_raw,No strict raw placeholder issues detected.,101,14,False,likely_sms,removed_duplicate_existing_row,False,duplicate_against_strict_raw_dataset
replacement_imc25_english_smish_00007,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,imc25_english_smish_00007,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit https://apple-","Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit <URL>",smishing_corpus_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,imc25_english_smish_00007,gathered_imc25_english_smish_00003,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=others; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_00007; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,No strict raw placeholder issues detected.,119,19,False,likely_sms,removed_duplicate_existing_row,False,duplicate_against_strict_raw_dataset
replacement_ncsu_sms_phishing_000003,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,ncsu_sms_phishing_000003,An up to £3 FREEBIE has been dropped onto your account! Claim here: http://pktwn.uk/184ec 24hrs. 40xWR. MaxWD£50 T&C Apply. Stop Msg? Call +441,An up to <AMOUNT> FREEBIE has been dropped onto your account! Claim here: <URL> 24hrs. 40xWR. MaxWD<AMOUNT> T&C Apply. Stop Msg? Call +441,phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_000003,gathered_imc25_english_smish_00005,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=hey mum/dad; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_000003; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,False,0,,pass_raw,No strict raw placeholder issues detected.,143,28,False,likely_sms,removed_duplicate_existing_row,False,duplicate_against_strict_raw_dataset
replacement_imc25_english_smish_03659,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,imc25_english_smish_03659,Hello your credit union account has been placed on hold please verify your account follow https://continue1/online/,Hello your credit union account has been placed on hold please verify your account follow <URL>,smishing_corpus_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,imc25_english_smish_03659,gathered_imc25_english_smish_00067,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=telecom; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_03659; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=banking,False,0,,pass_raw,No strict raw placeholder issues detected.,115,18,False,likely_sms,removed_duplicate_existing_row,False,duplicate_against_strict_raw_dataset
