final_row_id,source_final_row_id,message_raw,message_clean,model_text,normalized_label,label_id,source_name,dataset_name,source_group,data_origin,is_synthetic,label_status,review_status,service_category,scam_category,source_file,notes,normalized_message_key,normalized_raw_message_key,split_group_key,split,original_clean_row,augmentation_status,original_final_row_id,perturbation_level,perturbation_techniques,variant_index
v3_public_manual_research_synthetic_row_004856,v3_public_manual_research_synthetic_row_004856,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,ham,0,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,public_real,False,accepted,accepted,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,UCI spam is preserved for later smishing relabel review.,look at the fuckin time what the fuck you think is up,look at the fuckin time what the fuck you think is up,split_group_3962100778493346915,train,True,original_clean,v3_public_manual_research_synthetic_row_004856,0,,0
v3_public_manual_research_synthetic_row_002163,v3_public_manual_research_synthetic_row_002163,Nationwide auto centre (or something like that) on Newport road. I liked them there,Nationwide auto centre (or something like that) on Newport road. I liked them there,Nationwide auto centre (or something like that) on Newport road. I liked them there,ham,0,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,public_real,False,accepted,accepted,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,UCI spam is preserved for later smishing relabel review.,nationwide auto centre or something like that on newport road i liked them there,nationwide auto centre or something like that on newport road i liked them there,split_group_14129144261910822157,train,True,original_clean,v3_public_manual_research_synthetic_row_002163,0,,0
v3_public_manual_research_synthetic_row_005587,v3_public_manual_research_synthetic_row_005587,FRM:Oprahsgiveaway.com voucher#xxnlrispw MSG:Come together on a couple of the most excellent giveaways ever! You can't miss this opportunity. voucher#xxnlrispw,FRM:<URL> voucher#xxnlrispw MSG:Come together on a couple of the most excellent giveaways ever! You can't miss this opportunity. voucher#xxnlrispw,FRM:<URL> voucher#xxnlrispw MSG:Come together on a couple of the most excellent giveaways ever! You can't miss this opportunity. voucher#xxnlrispw,smishing,1,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,public_real,False,accepted,accepted,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,category=Prize/Contest; brand=Oprah; sender_type=Phone Number; url=Oprahsgiveaway.com; domain=oprahsgiveaway.com,frm <url> voucher xxnlrispw msg come together on a couple of the most excellent giveaways ever you can t miss this opportunity voucher xxnlrispw,frm <URL> voucher xxnlrispw msg come together on a couple of the most excellent giveaways ever you can t miss this opportunity voucher xxnlrispw,split_group_12136868304456887018,train,True,original_clean,v3_public_manual_research_synthetic_row_005587,0,,0
v3_public_manual_research_synthetic_row_009108,v3_public_manual_research_synthetic_row_009108,sign in and manage your myGov account. Click on here sevynluxe.com/Secured,sign in and manage your myGov account. Click on here <URL>,sign in and manage your myGov account. Click on here <URL>,smishing,1,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,public_real,False,accepted,candidate,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_017733; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,sign in and manage your mygov account click on here <url>,sign in and manage your mygov account click on here <URL>,split_group_16034525020930532602,train,True,original_clean,v3_public_manual_research_synthetic_row_009108,0,,0
v3_public_manual_research_synthetic_row_001752,v3_public_manual_research_synthetic_row_001752,"MayaRewards ) Nice! You received a P100 voucher from GCash. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!. This message is for your information.","MayaRewards ) Nice! You received a <AMOUNT> voucher from GCash. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!. This message is for your information.","MayaRewards ) Nice! You received a <AMOUNT> voucher from GCash. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!. This message is for your information.",ham,0,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_template,True,synthetic_ham_approved,approved_synthetic,manual_ph_service_templates,,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,Generated from approved manual service ham template service_ham_template_00081. Brand=GCash; synthetic values only.,mayarewards nice you received a <amount> voucher from gcash use it for your load bills shopping and more tap vouchers on the app to claim your gift before it expires this message is for your information,mayarewards nice you received a <AMOUNT> voucher from gcash use it for your load bills shopping and more tap vouchers on the app to claim your gift before it expires this message is for your information,split_group_15833914695337492302,train,True,original_clean,v3_public_manual_research_synthetic_row_001752,0,,0
v3_public_manual_research_synthetic_row_006517,v3_public_manual_research_synthetic_row_006517,"Dear User, This is to let you know that our web-mail server will be upgraded and maintained soon. If you don't want your e-mail account to be terminated during the upgrade, Send ""[redacted]"" to 6-0-5-5-5-5-5-1-1-1-1. [altered] You will receive instructions on how to upgrade your account via text message. If you do not comply with the above, your email access will be disabled. Please accept our apologies for any inconvenience this may cause. Regards, System Administrator [redacted]","Dear User, This is to let you know that our web-mail server will be upgraded and maintained soon. If you don't want your e-mail account to be terminated during the upgrade, Send ""[redacted]"" to <PHONE>. [altered] You will receive instructions on how to upgrade your account via text message. If you do not comply with the above, your email access will be disabled. Please accept our apologies for any inconvenience this may cause. Regards, System Administrator [redacted]","Dear User, This is to let you know that our web-mail server will be upgraded and maintained soon. If you don't want your e-mail account to be terminated during the upgrade, Send ""[redacted]"" to <PHONE>. [altered] You will receive instructions on how to upgrade your account via text message. If you do not comply with the above, your email access will be disabled. Please accept our apologies for any inconvenience this may cause. Regards, System Administrator [redacted]",smishing,1,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,public_real,False,accepted,candidate,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,original_source=Smishing-Dataset-IMC25; scam_category=wrong number; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_18752; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,dear user this is to let you know that our web mail server will be upgraded and maintained soon if you don t want your e mail account to be terminated during the upgrade send redacted to <phone> altered you will receive instructions on how to upgrade your account via text message if you do not comply with the above your email access will be disabled please accept our apologies for any inconvenience this may cause regards system administrator redacted,dear user this is to let you know that our web mail server will be upgraded and maintained soon if you don t want your e mail account to be terminated during the upgrade send redacted to 6 0 5 5 5 5 5 1 1 1 1 altered you will receive instructions on how to upgrade your account via text message if you do not comply with the above your email access will be disabled please accept our apologies for any inconvenience this may cause regards system administrator redacted,split_group_7575598570196222217,train,True,original_clean,v3_public_manual_research_synthetic_row_006517,0,,0
v3_public_manual_research_synthetic_row_001473,v3_public_manual_research_synthetic_row_001473,"Jocelyn, Big Travel Bonus is back with up to P300 CASHBACK for a min. accum. spend on all your travel spend using your BDO credit card!. Keep this message for your records.","Jocelyn, Big Travel Bonus is back with up to <AMOUNT> CASHBACK for a min. accum. spend on all your travel spend using your BDO credit card!. Keep this message for your records.","Jocelyn, Big Travel Bonus is back with up to <AMOUNT> CASHBACK for a min. accum. spend on all your travel spend using your BDO credit card!. Keep this message for your records.",ham,0,service_ham_template_generator,synthetic_service_ham_research_backed,synthetic_ham_template,synthetic_template,True,synthetic_ham_approved,approved_synthetic,manual_ph_service_templates,,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,Generated from approved manual service ham template service_ham_template_00015. Brand=BDO; synthetic values only.,jocelyn big travel bonus is back with up to <amount> cashback for a min accum spend on all your travel spend using your bdo credit card keep this message for your records,jocelyn big travel bonus is back with up to <AMOUNT> cashback for a min accum spend on all your travel spend using your bdo credit card keep this message for your records,split_group_9258704975252456795,train,True,original_clean,v3_public_manual_research_synthetic_row_001473,0,,0
v3_public_manual_research_synthetic_row_008758,v3_public_manual_research_synthetic_row_008758,"RM0 M2U: Hello, dear user, due to an abnormality in your online banking, please log in to verify your personal information","RM0 M2U: Hello, dear user, due to an abnormality in your online banking, please log in to verify your personal information","RM0 M2U: Hello, dear user, due to an abnormality in your online banking, please log in to verify your personal information",smishing,1,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,raw_recovery_91k_pool,public_real,False,accepted,candidate,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_11977; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=banking,rm0 m2u hello dear user due to an abnormality in your online banking please log in to verify your personal information,rm0 m2u hello dear user due to an abnormality in your online banking please log in to verify your personal information,split_group_4084356346342495356,train,True,original_clean,v3_public_manual_research_synthetic_row_008758,0,,0
v3_public_manual_research_synthetic_row_002542,v3_public_manual_research_synthetic_row_002542,Ill call you evening ill some ideas.,Ill call you evening ill some ideas.,Ill call you evening ill some ideas.,ham,0,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,public_real,False,accepted,accepted,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,UCI spam is preserved for later smishing relabel review.,ill call you evening ill some ideas,ill call you evening ill some ideas,split_group_1235410573198635198,train,True,original_clean,v3_public_manual_research_synthetic_row_002542,0,,0
v3_public_manual_research_synthetic_row_005468,v3_public_manual_research_synthetic_row_005468,Credit score update: There is your current credit score. To receive details open link! 5wac5ltscn.co/oaktfqv Reply END to unsubscribe,Credit score update: There is your current credit score. To receive details open link! <URL> Reply END to unsubscribe,Credit score update: There is your current credit score. To receive details open link! <URL> Reply END to unsubscribe,smishing,1,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,public_real,False,accepted,accepted,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,category=Finance/Crypto; brand=; sender_type=Phone Number; url=5wac5ltscn.co/oaktfqv; domain=5wac5ltscn.co,credit score update there is your current credit score to receive details open link <url> reply end to unsubscribe,credit score update there is your current credit score to receive details open link <URL> reply end to unsubscribe,split_group_7519049797410254656,train,True,original_clean,v3_public_manual_research_synthetic_row_005468,0,,0
