unified_id,source_name,dataset_name,source_group,source_row_id,message_text,source_label,normalized_label,label_status,review_status,contains_url,contains_email,contains_phone,source_file,notes,normalized_text_key,duplicate_cluster_id,duplicate_cluster_size,is_dedup_representative,duplicate_cluster_sources,duplicate_cluster_labels,message_raw,message_clean,raw_text_available,raw_text_status,cleaning_status,redaction_detected_in_raw,raw_lookup_status,raw_lookup_notes
smishtank_3,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,3,"Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Prize/Contest; brand=Costco; sender_type=Short Code; url=f2gpy.info/RzNKEwsZve; domain=f2gpy.info,costco daniel the code <num> printed on your receipt from 10 came in 2nd in our airpods draw <url> zve,,1,true,SmishTank,smishing,"Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve","Costco: Daniel, the code <OTP> printed on your receipt from 10 came in 2nd in our Airpods draw: <URL> Zve",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_5,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,5,"Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Delivery; brand=UPS; sender_type=Phone Number; url=; domain=,hi you still owe ups 4 10 usd in customs fees for your previous package reply 1 to receive a secure link to pay your invoice,dup_001599,2,false,SmishTank + Smishing-Dataset-IMC25,smishing,"Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.","Hi, you still owe UPS <AMOUNT> USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_6,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,6,"wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Account Alert; brand=WELLS FARGO; sender_type=Phone Number; url=wel01.us/r/rest05; domain=wel01.us,<url> wells fargo cs profile locked because of unusual activities kindly restore reply stop to unsubscribe,,1,true,SmishTank,smishing,"wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe","<URL> WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_7,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,7,"Hi, are you who played golf together last time? I'm Lisa",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=; url=; domain=,hi are you who played golf together last time i m lisa,,1,true,SmishTank,smishing,"Hi, are you who played golf together last time? I'm Lisa","Hi, are you who played golf together last time? I'm Lisa",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_8,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,8,"(8 Hi Julianne long time no see, I'm Aleen, how are you doing",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,8 hi julianne long time no see i m aleen how are you doing,,1,true,SmishTank,smishing,"(8 Hi Julianne long time no see, I'm Aleen, how are you doing","(8 Hi Julianne long time no see, I'm Aleen, how are you doing",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_10,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,10,"hi Jessie, it's been a long time since I came out, what are you doing recently?",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,hi jessie it s been a long time since i came out what are you doing recently,,1,true,SmishTank,smishing,"hi Jessie, it's been a long time since I came out, what are you doing recently?","hi Jessie, it's been a long time since I came out, what are you doing recently?",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_11,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,11,"Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Advertisement; brand=Whatsapp; sender_type=Phone Number; url=https://chat.whatsapp.com/Djci PB8b7gTGGt16QJ5mJm; domain=chat.whatsapp.com,dear you are invited to join the bitcoin internal discussion group the team will publish daily how to make a profit in the bitcoin market reply to the number 1 and click the link to join <url> djci pb8b7gtggt16qj5mjm,,1,true,SmishTank,smishing,"Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm","Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. <URL> Djci PB8b7gTGGt16QJ5mJm",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_12,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,12,"CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch.",verified_smishing,smishing,accepted,accepted,true,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Account Alert; brand=CITI; sender_type=Phone Number; url=http://citibsec.com; domain=citibsec.com,citi unauthorized activity was detected we have moved foward in locking your account please verify at <url> or at a local branch,dup_000587,2,false,SmishTank + Smishing-Dataset-IMC25,smishing,"CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch.","CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at <URL> or at a local branch.",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_13,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,13,"Evanie, I'm Anna, how have you been, I'm back in Denver.",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,evanie i m anna how have you been i m back in denver,,1,true,SmishTank,smishing,"Evanie, I'm Anna, how have you been, I'm back in Denver.","Evanie, I'm Anna, how have you been, I'm back in Denver.",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
smishtank_14,SmishTank,SmishTank Dataset / Smishing Dataset I,public_baseline,14,"Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",verified_smishing,smishing,accepted,accepted,false,false,false,data\source_archives\public_baseline\analysisdataset.csv,category=Wrong Number/Romance Scam; brand=; sender_type=Phone Number; url=; domain=,hello i m amy are you annie i m really sorry i dialed the wrong number and i thought you were my friend it was so embarrassing have a nice day thank you you re a really nice guy and today was really awkward but it s nice to meet you as a new friend,,1,true,SmishTank,smishing,"Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.","Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",True,original_unredacted,cleaned_from_raw,False,found_in_source_archive,Recovered source text from the original source archive using source_row_id.
